Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,
Filename: jeee11t05.csv,,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2011",,,,,,,,,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2011 Final, NCJ 250631",,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2011",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,Police protection,,,,Judicial and legal,,,,Corrections,,,,
,,Number of employees,,Full-time equivalent employment,,Number of employees,,Full-time equivalent employment,,Number of employees,,Full-time equivalent employment,,Number of employees,,Full-time equivalent employment,,
State and type of government,Total full-time equivalent employment/a,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,State and type of government
"States-local, total",16333170,2183487,2021027,2084767,12.8,1010911,913462,948079,45.5,439093,396669,413644,19.8,733483,710896,723044,34.7,"States-local, total"
State,4359380,748824,727552,739232,17,105880,103272,104506,14.1,176820,167030,172177,23.3,466124,457250,462549,62.6,State
"Local, total",11973790,1434663,1293475,1345535,11.2,905031,810190,843573,62.7,262273,229639,241467,17.9,267359,253646,260495,19.4,"Local, total"
Counties,2694473,730072,663294,689995,25.6,298072,267062,278178,40.3,202516,179616,188881,27.4,229484,216616,222936,32.3,Counties
Municipalities,2910854,646946,573509,597932,20.5,552666,489648,510136,85.3,58137,48707,52077,8.7,36143,35154,35719,6,Municipalities
,,,,,,,,,,,,,,,,,,
Alabama,284598,28617,26766,27650,9.7,14446,13357,13884,50.2,5149,4701,4869,17.6,9022,8708,8897,32.2,Alabama
State,89768,10465,10319,10400,11.6,1604,1604,1604,15.4,3387,3299,3340,32.1,5474,5416,5456,52.5,State
"Local, total",194830,18152,16447,17250,8.9,12842,11753,12280,71.2,1762,1402,1529,8.9,3548,3292,3441,19.9,"Local, total"
Counties,21334,8410,7283,7705,36.1,4089,3494,3684,47.8,1059,779,867,11.3,3262,3010,3154,40.9,Counties
Municipalities,38445,10101,9165,9607,25,9110,8259,8657,90.1,703,623,662,6.9,288,283,288,3,Municipalities
,,,,,,,,,,,,,,,,,,
Alaska,54518,5493,5334,5411,9.9,1880,1834,1846,34.1,1591,1539,1563,28.9,2022,1961,2002,37,Alaska
State,26747,4134,3991,4060,15.2,702,664,673,16.6,1481,1434,1455,35.8,1951,1893,1932,47.6,State
"Local, total",27771,1359,1343,1351,4.9,1178,1170,1173,86.8,110,105,108,8,71,68,70,5.2,"Local, total"
Boroughs,10378,98,95,96,0.9,57,57,57,59.4,31,28,29,30.2,10,10,10,10.4,Boroughs
Municipalities,16762,1258,1248,1255,7.5,1121,1113,1116,88.9,79,77,79,6.3,58,58,60,4.8,Municipalities
,,,,,,,,,,,,,,,,,,
Arizona,279257,47199,46119,46650,16.7,20184,19919,20043,43,10955,10388,10668,22.9,16060,15812,15939,34.2,Arizona
State,68786,14157,14015,14092,20.5,1928,1898,1910,13.6,2104,2023,2069,14.7,10125,10094,10113,71.8,State
"Local, total",210471,33042,32104,32558,15.5,18256,18021,18133,55.7,8851,8365,8599,26.4,5935,5718,5826,17.9,"Local, total"
Counties,33109,18709,18078,18406,55.6,5577,5526,5551,30.2,7243,6880,7075,38.4,5889,5672,5780,31.4,Counties
Municipalities,45352,14333,14026,14152,31.2,12679,12495,12582,88.9,1608,1485,1524,10.8,46,46,46,0.3,Municipalities
,,,,,,,,,,,,,,,,,,
Arkansas,175763,21184,19979,20481,11.7,9634,9045,9229,45.1,3582,3100,3315,16.2,7968,7834,7937,38.8,Arkansas
State,62562,8151,7981,8073,12.9,1233,1223,1228,15.2,1520,1370,1453,18,5398,5388,5392,66.8,State
"Local, total",113201,13033,11998,12408,11,8401,7822,8001,64.5,2062,1730,1862,15,2570,2446,2545,20.5,"Local, total"
Counties,14198,6658,5888,6164,43.4,2715,2319,2431,39.4,1398,1165,1255,20.4,2545,2404,2478,40.2,Counties
Municipalities,21787,6438,6110,6234,28.6,5730,5503,5584,89.6,664,565,607,9.7,44,42,43,0.7,Municipalities
,,,,,,,,,,,,,,,,,,
California,1756397,250501,237214,243668,13.9,106732,99744,102890,42.2,47925,45573,46600,19.1,95844,91897,94178,38.7,California
State,407321,79208,76349,78056,19.2,11645,11521,11564,14.8,6754,6273,6485,8.3,60809,58555,60007,76.9,State
"Local, total",1349076,171293,160865,165612,12.3,95087,88223,91326,55.1,41171,39300,40115,24.2,35035,33342,34171,20.6,"Local, total"
Counties,373708,111963,106439,109137,29.2,41234,39063,40236,36.9,37234,35501,36234,33.2,33495,31875,32667,29.9,Counties
Municipalities,228250,59333,54427,56620,24.8,53856,49161,51235,90.5,3937,3799,3881,6.9,1540,1467,1504,2.7,Municipalities
,,,,,,,,,,,,,,,,,,
Colorado,269654,34373,32488,33372,12.4,16153,15409,15686,47,7461,6478,6998,21,10759,10601,10688,32,Colorado
State,72113,13748,13015,13476,18.7,1552,1498,1507,11.2,4657,4053,4453,33,7539,7464,7516,55.8,State
"Local, total",197541,20625,19473,19896,10.1,14601,13911,14179,71.3,2804,2425,2545,12.8,3220,3137,3172,15.9,"Local, total"
Counties,29990,9152,8352,8602,28.7,5343,4849,4992,58,1542,1314,1390,16.2,2267,2189,2220,25.8,Counties
Municipalities,46333,11883,11121,11422,24.7,9583,9062,9292,81.4,1347,1111,1178,10.3,953,948,952,8.3,Municipalities
,,,,,,,,,,,,,,,,,,
Connecticut,183988,23469,21772,22318,12.1,11054,9838,10245,45.9,5260,4914,4992,22.4,7155,7020,7081,31.7,Connecticut
State,62090,14140,13632,13770,22.2,1905,1854,1865,13.5,5081,4758,4824,35,7154,7020,7081,51.4,State
"Local, total",121898,9329,8140,8548,7,9149,7984,8380,98,179,156,168,2,1,0,0,0,"Local, total"
Municipalities,57711,5479,4914,5151,8.9,5347,4791,5022,97.5,132,123,129,2.5,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Delaware,49416,7397,7083,7262,14.7,2626,2425,2536,34.9,1859,1787,1827,25.2,2912,2871,2899,39.9,Delaware
State,26215,5693,5579,5648,21.5,1005,994,1000,17.7,1776,1714,1749,31,2912,2871,2899,51.3,State
"Local, total",23201,1704,1504,1614,7,1621,1431,1536,95.2,83,73,78,4.8,0,0,0,0,"Local, total"
Counties,2520,657,504,597,23.7,585,436,527,88.3,72,68,70,11.7,0,0,0,0,Counties
Municipalities,2936,1050,1000,1018,34.7,1039,995,1010,99.2,11,5,8,0.8,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
District of Columbia,42547,7974,7942,7965,18.7,4510,4509,4510,56.6,2144,2116,2135,26.8,1320,1317,1320,16.6,District of Columbia
"Local, total",42547,7974,7942,7965,18.7,4510,4509,4510,56.6,2144,2116,2135,26.8,1320,1317,1320,16.6,"Local, total"
Municipality,32391,7974,7942,7965,24.6,4510,4509,4510,56.6,2144,2116,2135,26.8,1320,1317,1320,16.6,Municipality
,,,,,,,,,,,,,,,,,,
Florida,890474,147498,140192,142956,16.1,67850,62016,64070,44.8,33075,31897,32487,22.7,46573,46279,46399,32.5,Florida
State,184237,55535,54068,54653,29.7,4638,4161,4287,7.8,20373,19605,19984,36.6,30524,30302,30382,55.6,State
"Local, total",706237,91963,86124,88303,12.5,63212,57855,59783,67.7,12702,12292,12503,14.2,16049,15977,16017,18.1,"Local, total"
Counties,178074,65318,61482,62946,35.3,37996,34602,35837,56.9,12127,11736,11938,19,15195,15144,15171,24.1,Counties
Municipalities,93427,26645,24642,25357,27.1,25216,23253,23946,94.4,575,556,565,2.2,854,833,846,3.3,Municipalities
,,,,,,,,,,,,,,,,,,
Georgia,508817,70791,66896,68489,13.5,28160,26852,27379,40,14641,12854,13521,19.7,27990,27190,27589,40.3,Georgia
State,123627,23139,22772,22975,18.6,1934,1927,1931,8.4,3659,3648,3654,15.9,17546,17197,17390,75.7,State
"Local, total",385190,47652,44124,45514,11.8,26226,24925,25448,55.9,10982,9206,9867,21.7,10444,9993,10199,22.4,"Local, total"
Counties,66235,32133,29386,30392,45.9,13680,12973,13207,43.5,9618,8022,8595,28.3,8835,8391,8590,28.3,Counties
Municipalities,46141,15521,14739,15123,32.8,12546,11952,12241,80.9,1364,1184,1272,8.4,1611,1603,1610,10.6,Municipalities
,,,,,,,,,,,,,,,,,,
Hawaii,73749,9337,9110,9168,12.4,3992,3836,3871,42.2,3039,2978,2997,32.7,2306,2296,2300,25.1,Hawaii
State,58142,4778,4718,4735,8.1,0,0,0,0,2472,2422,2435,51.4,2306,2296,2300,48.6,State
"Local, total",15607,4559,4392,4433,28.4,3992,3836,3871,87.3,567,556,562,12.7,0,0,0,0,"Local, total"
Counties,6145,1504,1432,1449,23.6,1252,1183,1198,82.7,252,249,251,17.3,0,0,0,0,Counties
Municipalities,9280,3055,2960,2984,32.2,2740,2653,2673,89.6,315,307,311,10.4,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Idaho,77797,10453,9729,10011,12.9,4541,4235,4342,43.4,2154,1982,2056,20.5,3758,3512,3613,36.1,Idaho
State,21773,2918,2827,2875,13.2,463,445,452,15.7,505,457,481,16.7,1950,1925,1942,67.5,State
"Local, total",56024,7535,6902,7136,12.7,4078,3790,3890,54.5,1649,1525,1575,22.1,1808,1587,1671,23.4,"Local, total"
Counties,9339,5260,4726,4920,52.7,1932,1732,1797,36.5,1520,1407,1452,29.5,1808,1587,1671,34,Counties
Municipalities,8423,2295,2176,2229,26.5,2166,2058,2106,94.5,129,118,123,5.5,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
