Bureau of Justice Statistics,,,,,,,,,,,
Filename: jeee11t07.csv,,,,,,,,,,,
"Table 7. Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment by state and type of government, March 2011",,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2011 Final, NCJ 250631",,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,,,
,,,,,,,,,,,
"Table 7. Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment by state and type of government, March 2011",,,,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,,,
,,,,,,,,,,,
,,Sworn,,,,,Nonsworn,,,,
,,Number of employees ,,Full-time equivalent employment,,,Number of employees ,,Full-time equivalent employment,,
State and type of government,Total police protection full-time equivalent employment,Total,Full-time only,Number,Percent of total police protection full-time equivalent employment,March payrolls,Total,Full-time only,Number,Percent of total police protection full-time equivalent employment,March payrolls
"States-local, total",948079,735544,702759,713784,75.3,4158974,275367,210703,234295,24.7,917888
State,104506,67280,66671,66850,64,416954,38600,36601,37656,36,151620
"Local, total",843573,668264,636088,646934,76.7,3742020,236767,174102,196639,23.3,766268
Counties,278178,204273,189468,193752,69.7,1010158,93799,77594,84426,30.3,331696
Municipalities,510136,415089,397585,403893,79.2,2378738,137577,92063,106243,20.8,412606
,,,,,,,,,,,
Alabama,13884,10794,10390,10622,76.5,42206,3652,2967,3262,23.5,9288
State,1604,831,831,831,51.8,3724,773,773,773,48.2,2427
"Local, total",12280,9963,9559,9791,79.7,38481,2879,2194,2489,20.3,6860
Counties,3684,3235,2796,2914,79.1,10863,854,698,770,20.9,2055
Municipalities,8657,7085,6763,6938,80.1,27737,2025,1496,1719,19.9,4805
,,,,,,,,,,,
Alaska,1846,1089,1086,1087,58.9,7915,791,748,759,41.1,3507
State,673,301,301,301,44.7,2440,401,363,372,55.3,1622
"Local, total",1173,788,785,786,67,5475,390,385,387,33,1885
Boroughs,57,43,43,43,75.4,289,14,14,14,24.6,78
Municipalities,1116,745,742,743,66.6,5187,376,371,373,33.4,1807
,,,,,,,,,,,
Arizona,20043,14996,14964,14979,74.7,85015,5188,4955,5064,25.3,22073
State,1910,1128,1127,1128,59.1,6288,800,771,782,40.9,3448
"Local, total",18133,13868,13837,13851,76.4,78727,4388,4184,4282,23.6,18625
Counties,5551,4894,4869,4880,87.9,21139,683,657,671,12.1,2484
Municipalities,12582,8974,8968,8971,71.3,57588,3705,3527,3611,28.7,16141
,,,,,,,,,,,
Arkansas,9229,7112,6765,6859,74.3,21969,2522,2280,2370,25.7,5975
