Bureau of Justice Statistics,,,,,,,,,,
Filename: jeee11t08.csv,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2011) and full-time equivalent justice employment per 10,000 population (July 2011) of state and local governments by activity and State",,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2011 Final, NCJ 250631",,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,,
,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2011) and full-time equivalent justice employment per 10,000 population (July 2011) of state and local governments by activity and State",,,,,,,,,,
,,,,,,,,,,
,,"Per capita justice expenditure, fiscal 2011 ",,,,"Full-time equivalent justice employment per 10,000 population, March 2011",,,,
,,,,,,,Police protection ,,,
State,Population 2011,Total justice system,Police protection,Judicial and legal,Corrections,Total justice system,Total,Sworn only,Judicial and legal,Corrections
Total,311663358,683.22,310.48,137.73,235.01,66.89,30.42,22.9,13.27,23.2
,,,,,,,,,,
Alabama,4799918,478.5,241.78,85.92,150.8,57.61,28.93,22.13,10.14,18.54
Alaska,722713,1162.03,451.08,313.54,397.41,74.87,25.54,15.04,21.63,27.7
Arizona,6467163,700.52,327.31,146.5,226.71,72.13,30.99,23.16,16.5,24.65
Arkansas,2939493,443.06,189.01,69.04,185.02,69.68,31.4,23.33,11.28,27
California,37676861,1000.46,402.73,235.97,361.77,64.67,27.31,19.07,12.37,25
,,,,,,,,,,
Colorado,5118360,685.02,316.2,131.36,237.45,65.2,30.65,22.3,13.67,20.88
Connecticut,3589893,682.67,299.27,191.78,191.62,62.17,28.54,22.85,13.91,19.72
Delaware,907924,786.73,322.54,170.48,293.71,79.98,27.93,21.96,20.12,31.93
District of Columbia,620477,1550.08,952.54,183.73,413.81,128.37,72.69,62.47,34.41,21.27
Florida,19096952,725.7,384.88,114.21,226.6,74.86,33.55,21.58,17.01,24.3
,,,,,,,,,,
Georgia,9811610,572.12,236.01,104.15,231.96,69.8,27.9,22,13.78,28.12
Hawaii,1377864,591.84,280.25,172.95,138.64,66.54,28.09,21.69,21.75,16.69
Idaho,1584143,546.77,244.02,119.64,183.11,63.2,27.41,18.79,12.98,22.81
Illinois,12860012,643.88,359.51,112.32,172.06,74.55,44.66,37.38,12.59,17.3
Indiana,6516480,425.52,198.82,73.06,153.64,53.95,23.87,17.93,11.13,18.95
,,,,,,,,,,
Iowa,3065223,473.87,210.8,110.26,152.82,48.32,23.29,17.26,9.88,15.15
Kansas,2869503,536.45,255.88,105.28,175.28,66.69,31.08,21.35,12.95,22.66
Kentucky,4369354,443.68,158.92,116.2,168.55,54.66,22.55,17.23,13.96,18.15
Louisiana,4575404,780.74,333.36,159.36,288.02,86.27,39.6,29.84,16.17,30.51
Maine,1328231,405.67,186.14,71.52,148.01,44.06,22.13,16.38,6.85,15.08
,,,,,,,,,,
Maryland,5843603,803.99,373.71,135.98,294.31,75.8,33.45,24.22,14.68,27.67
Massachusetts,6611923,624.51,320.56,144.94,159.01,58.97,36.1,29.76,13.95,8.91
Michigan,9876213,578.76,238.9,112.52,227.33,52.82,21.48,16.9,10.95,20.38
Minnesota,5348562,602.2,308.99,130.39,162.82,50.98,22.53,16.42,11.02,17.43
Mississippi,2978162,482.99,221.87,76.36,184.75,60.19,32.8,24.38,9.51,17.89
,,,,,,,,,,
Missouri,6010717,499.61,277.07,79.17,143.37,70.2,31.15,23.3,13.09,25.96
Montana,997821,663.89,268.24,154.26,241.39,62.68,26.83,17.84,15.69,20.15
Nebraska,1842283,517.88,225.72,93.54,198.62,60.81,26.7,19.68,10.61,23.5
Nevada,2718379,836.35,418.51,165.21,252.63,68.73,31.62,19.65,13.74,23.37
New Hampshire,1318473,493.99,267.09,87.45,139.45,53.58,30.25,22.58,9.35,13.98
,,,,,,,,,,
New Jersey,8841243,777.88,376.81,166.77,234.3,81.06,40.45,30.62,22.77,17.84
New Mexico,2077756,764.28,310.61,153.16,300.51,75.51,28.41,21.02,17.13,29.97
New York,19519529,981.51,464.16,216.46,300.88,88.12,43.34,36.9,16.08,28.69
North Carolina,9650963,533.74,246.94,77.84,208.97,64.03,28.95,23.18,7.65,27.44
North Dakota,685476,521.55,231.73,120.08,169.74,53.36,21.61,17.84,12.65,19.11
,,,,,,,,,,
Ohio,11544824,594.48,277.02,151.89,165.57,65.43,27.25,19.8,17.99,20.19
Oklahoma,3786274,499.39,239.64,87.68,172.07,57.2,28.18,19.45,11.78,17.24
Oregon,3868031,669.94,284.81,113.65,271.48,58.33,23.65,15.77,12.19,22.48
Pennsylvania,12744293,634.96,249.38,131.63,253.96,65.19,26.47,21.15,13.92,24.79
Rhode Island,1052451,643.07,339.55,116.25,187.27,59.32,32.72,26,11.98,14.61
,,,,,,,,,,
South Carolina,4672637,446.13,228.23,74.07,143.82,63.07,30.38,24.7,9.36,23.33
South Dakota,824398,486.32,197.3,95.06,193.96,54.43,24.31,19.17,11.39,18.73
Tennessee,6397634,520.37,266.62,94.6,159.15,60.54,29.79,22.48,10.82,19.93
Texas,25646389,595.73,262,106.3,227.43,67.54,30.12,21.77,10.59,26.83
Utah,2816124,533.15,233.87,122.71,176.57,52.76,23.5,16.21,11.06,18.2
,,,,,,,,,,
Vermont,626730,591,277.27,112.01,201.72,49.43,21.44,15.96,11.06,16.93
Virginia,8110035,616.28,250.85,100.62,264.81,67.07,26.12,20.37,10.61,30.35
Washington,6822520,595.94,238.34,123.76,233.85,54.07,21.91,15.52,11.83,20.33
West Virginia,1854972,483.94,192.56,116.51,174.87,53.8,20.77,15.8,13.94,19.1
Wisconsin,5709640,689.01,313.99,104.66,270.35,61.25,27.47,20.74,9.65,24.13
Wyoming,567725,944.81,385.56,203.57,355.68,90.71,34.86,25.24,18.16,37.69
"Note: Local government data are estimates subject to variability. Population figures are from the Bureau of the Census, Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2016 (NST-EST2016-01), December 2016.",,,,,,,,,,
