Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: jeee11t11.csv,,,,,,,,,,,,,,,,,,,,,
"Table 11. Justice system employment and payrolls of state governments by activity, March 2011",,,,,,,,,,,,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2011 Final, NCJ 250631",,,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 11. Justice system employment and payrolls of state governments by activity, March 2011",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Total justice system,,,,,Police protection,,,,,Judicial and Legal,,,,,Corrections,,,,,
,Employment,,,,,Employment,,,,,Employment,,,,,Employment,,,,,
State,Total employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees (dollars),Total employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees (dollars),Total employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees (dollars),Total employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees (dollars),State
Total,748824,727552,739232,3393386,4592,105880,103272,104506,568574,5461,176820,167030,172177,903361,5267,466124,457250,462549,1921451,4148,Total
,,,,,,,,,,,,,,,,,,,,,
Alabama,10465,10319,10400,38878,3740,1604,1604,1604,6151,3835,3387,3299,3340,15148,4542,5474,5416,5456,17579,3224,Alabama
Alaska,4134,3991,4060,22254,5517,702,664,673,4062,6080,1481,1434,1455,8502,5860,1951,1893,1932,9690,5059,Alaska
Arizona,14157,14015,14092,56669,4014,1928,1898,1910,9736,5105,2104,2023,2069,9475,4554,10125,10094,10113,37458,3701,Arizona
Arkansas,8151,7981,8073,26688,3312,1233,1223,1228,4683,3819,1520,1370,1453,5971,4190,5398,5388,5392,16034,2973,Arkansas
California,79208,76349,78056,492688,6338,11645,11521,11564,79249,6860,6754,6273,6485,41110,6349,60809,58555,60007,372329,6234,California
,,,,,,,,,,,,,,,,,,,,,
Colorado,13748,13015,13476,62079,4607,1552,1498,1507,8298,5431,4657,4053,4453,22151,5041,7539,7464,7516,31630,4206,Colorado
Connecticut,14140,13632,13770,79003,5700,1905,1854,1865,10975,5891,5081,4758,4824,28748,5875,7154,7020,7081,39280,5531,Connecticut
Delaware,5693,5579,5648,24886,4423,1005,994,1000,6117,6132,1776,1714,1749,7879,4521,2912,2871,2899,10890,3773,Delaware
Florida,55535,54068,54653,187409,3423,4638,4161,4287,16942,3903,20373,19605,19984,78609,3945,30524,30302,30382,91858,3019,Florida
Georgia,23139,22772,22975,70211,3044,1934,1927,1931,7457,3865,3659,3648,3654,16044,4387,17546,17197,17390,46710,2667,Georgia
,,,,,,,,,,,,,,,,,,,,,
Hawaii,4778,4718,4735,19566,4119,0,0,0,0,-,2472,2422,2435,10169,4161,2306,2296,2300,9397,4075,Hawaii
Idaho,2918,2827,2875,14574,5051,463,445,452,1841,4086,505,457,481,3825,7901,1950,1925,1942,8908,4598,Idaho
Illinois,17935,17837,17881,110357,6170,3555,3533,3544,24006,6775,2685,2613,2644,22642,8587,11695,11691,11693,63709,5448,Illinois
Indiana,9648,9592,9616,36323,3779,1920,1918,1919,7972,4155,1440,1389,1411,9244,6607,6288,6285,6286,19107,3039,Indiana
Iowa,6386,6040,6250,31090,4996,1002,972,977,5239,5365,2240,2105,2189,11522,5310,3144,2963,3084,14329,4652,Iowa
,,,,,,,,,,,,,,,,,,,,,
Kansas,6711,6509,6591,24097,3661,1127,1064,1095,4717,4344,2151,2030,2072,8823,4274,3433,3415,3424,10557,3084,Kansas
Kentucky,11709,11139,11602,37823,3285,2308,2308,2308,9005,3902,5218,4648,5111,17932,3594,4183,4183,4183,10886,2603,Kentucky
Louisiana,10092,9896,9988,42229,4239,1797,1716,1757,9345,5359,1692,1646,1660,7345,4438,6603,6534,6571,25539,3895,Louisiana
Maine,2717,1976,2430,11077,4585,527,526,526,2325,4418,921,551,680,3608,5447,1269,899,1224,5144,4155,Maine
Maryland,19823,19014,19663,88696,4565,2283,2254,2278,11539,5084,5146,4704,5057,26504,5406,12394,12056,12328,50653,4140,Maryland
,,,,,,,,,,,,,,,,,,,,,
Massachusetts,21239,20639,20920,114544,5458,6086,6014,6038,38653,6392,9228,8747,8989,46153,5102,5925,5878,5893,29738,5034,Massachusetts
Michigan,18274,17969,18177,95076,5220,2407,2328,2365,13973,5892,1381,1325,1361,9471,7000,14486,14316,14451,71632,4946,Michigan
Minnesota,8876,8195,8686,41026,4751,1048,1003,1029,4970,4862,3608,3094,3456,17971,5285,4220,4098,4201,18085,4321,Minnesota
Mississippi,5075,5053,5066,16371,3232,1179,1179,1179,3885,3296,718,712,713,4148,5813,3178,3162,3174,8338,2626,Mississippi
Missouri,19036,18388,18694,56317,3030,2509,2369,2450,9882,4117,4198,3827,3993,14651,3741,12329,12192,12251,31784,2596,Missouri
,,,,,,,,,,,,,,,,,,,,,
Montana,2527,2388,2466,10645,4337,474,452,468,2019,4346,725,636,684,3003,4437,1328,1300,1314,5623,4285,Montana
Nebraska,4426,4277,4354,16540,3822,757,746,753,3501,4674,762,705,726,3485,4867,2907,2826,2875,9554,3336,Nebraska
Nevada,5302,5242,5257,26126,4954,993,993,993,5443,5481,755,738,741,4933,6635,3554,3511,3523,15750,4451,Nevada
New Hampshire,2596,2507,2557,11050,4353,513,490,506,2530,5094,934,926,930,3651,3925,1149,1091,1121,4869,4385,New Hampshire
New Jersey,26576,26345,26464,165686,6273,4165,4130,4147,29691,7170,13226,13040,13137,80284,6133,9185,9175,9180,55711,6069,New Jersey
,,,,,,,,,,,,,,,,,,,,,
New Mexico,7503,7346,7433,28844,3891,504,504,504,2800,5556,3212,3094,3156,13238,4221,3787,3748,3773,12806,3395,New Mexico
New York,57756,56563,57351,356103,6228,6152,6031,6140,49887,8241,19633,18965,19411,132940,6884,31971,31567,31800,173276,5449,New York
North Carolina,31622,31107,31143,112806,3611,3428,3421,3422,15316,4473,6976,6517,6546,30943,4691,21218,21169,21175,66547,3140,North Carolina
North Dakota,1615,1480,1529,6441,4210,189,185,186,904,4871,607,561,571,2781,4898,819,734,772,2756,3518,North Dakota
Ohio,20964,20300,20641,93985,4547,2524,2513,2523,12688,5036,3152,2585,2857,16487,5845,15288,15202,15261,64810,4246,Ohio
,,,,,,,,,,,,,,,,,,,,,
Oklahoma,9641,9420,9523,35596,3745,1920,1849,1885,8184,4383,2830,2728,2774,12083,4382,4891,4843,4864,15329,3142,Oklahoma
Oregon,9770,9351,9538,43048,4510,1450,1301,1339,6663,4999,3124,2956,3063,14136,4604,5196,5094,5136,22249,4330,Oregon
Pennsylvania,28765,27587,28294,143883,5061,6693,6400,6620,38535,5896,3045,2928,3008,22065,7260,19027,18259,18666,83283,4415,Pennsylvania
Rhode Island,3008,2989,3001,18939,6318,305,303,304,2079,6845,1164,1148,1159,6627,5734,1539,1538,1538,10233,6650,Rhode Island
South Carolina,10176,10134,10156,31675,3118,1932,1930,1930,6862,3552,780,754,768,3695,4843,7464,7450,7458,21118,2832,South Carolina
,,,,,,,,,,,,,,,,,,,,,
