Bureau of Justice Statistics,,,,,,,,
Filename: jeee11t18.csv,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2011 Final, NCJ 250631",,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,
Date of version: 6/29/2018,,,,,,,,
,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
,,,,,,,,
,,,,"Expenditures, fiscal (thousands of dollars)",,,,
,,Personal income calendar year 2011/a,,All functions ,,,Full-time equivalent employment 3/1/2011,
State,Estimated population as of 7/1/2011 (thousands),Amount (millions of dollars),Per capita,Total (direct and intergovernmental),Direct expenditure only,Total general expenditure/b,All functions,General functions only/c
,,,,,,,,
Total,311663,13233436,42461,2005897234,1509047801,1644878128,4359380,4312080
Alabama,4800,169030,35215,28061237,21260450,24290468,89768,89023
Alaska,723,36527,50522,11320127,9597104,9956134,26747,26747
Arizona,6467,230920,35707,32875412,24207025,28122438,68786,68778
Arkansas,2939,99792,33954,18861507,13709526,16859911,62562,62562
California,37677,1691003,44882,282524665,191023112,226893086,407321,407321
,,,,,,,,
Colorado,5118,227052,44363,28350439,22015578,22186094,72113,72113
Connecticut,3590,215017,59893,28094106,23608298,22248867,62090,62090
Delaware,908,39541,43547,7936467,6643361,7057717,26215,25408
Florida,19097,774599,40561,84633065,64907848,71609486,184237,183591
Georgia,9812,359047,36593,45266394,34666295,37899782,123627,123627
,,,,,,,,
Hawaii,1378,59179,42946,11475771,11267783,9963247,58142,58142
Idaho,1584,53127,33540,8733485,6697173,7402614,21773,21543
Illinois,12860,569681,44299,73801032,58089975,57837665,131153,131153
Indiana,6516,236923,36360,35261522,25996136,30889752,89796,89796
Iowa,3065,128905,42057,19929621,14777994,17172149,50378,50378
,,,,,,,,
Kansas,2870,121695,42403,16686643,12477979,14526728,43555,43555
Kentucky,4369,151109,34587,29369940,24300803,24652397,81493,81493
Louisiana,4575,176202,38514,33396449,26816285,29131318,84402,84402
Maine,1328,51255,38595,9099085,7797393,8005148,21354,21353
Maryland,5844,302712,51799,37638543,29514092,31928182,86714,85999
,,,,,,,,
Massachusetts,6612,359224,54329,55225665,46399475,43780405,92033,91529
Michigan,9876,368790,37342,63108508,43230186,51980985,144921,144921
Minnesota,5349,241807,45206,38488350,27385901,32454586,79672,77154
Mississippi,2978,95239,31981,20157417,14904110,17546382,57656,57491
Missouri,6011,228655,38039,30646880,24698387,25730951,87361,87361
,,,,,,,,
Montana,998,36872,36946,7105366,5752449,6063283,20795,20767
Nebraska,1842,80727,43826,9357103,7050411,8616077,32065,32065
Nevada,2718,102612,37753,13203265,9298249,9989711,28121,28085
New Hampshire,1318,63276,48009,7638166,6447069,6375511,19394,18821
New Jersey,8841,473577,53566,67182402,56015101,48800604,146801,135099
,,,,,,,,
New Mexico,2078,71821,34563,17865171,13522408,15594493,46794,46794
New York,19520,1007280,51602,184009243,124311327,141010224,243647,226214
North Carolina,9651,353462,36624,53088745,39455366,44230801,154364,154364
North Dakota,685,32796,47878,5515725,4214736,5032457,18592,18592
Ohio,11545,448018,38806,78517498,60029173,60176964,139049,139049
,,,,,,,,
Oklahoma,3786,147813,39042,22523491,18045672,19155996,68339,67796
Oregon,3868,145084,37509,27327654,21552972,20848162,65542,65325
Pennsylvania,12744,560971,44018,90791525,70846949,72535629,168548,163940
Rhode Island,1052,46596,44293,8271963,7197661,6409769,18900,18150
South Carolina,4673,159910,34220,29169191,23583526,23476348,77342,75492
,,,,,,,,
South Dakota,824,36462,44250,4498447,3723669,4062489,14458,14458
Tennessee,6398,238810,37326,30841226,23736436,27511689,86215,86215
Texas,25646,1057983,41253,125939778,96273975,108588369,318370,318370
Utah,2816,96889,34406,16682581,13576351,14708284,53501,53142
Vermont,627,26771,42698,5853842,4300989,5371030,14419,14365
,,,,,,,,
Virginia,8110,386767,47690,45549347,34060184,40077235,124930,123182
Washington,6823,305628,44794,45999749,36653037,36884286,121136,120174
West Virginia,1855,63461,34211,13000033,10466451,11445676,39882,39824
Wisconsin,5710,233132,40829,39349832,28920878,32881695,70891,70891
Wyoming,568,27893,49108,5673561,4020493,4904854,13416,13376
"Note: ""Estimated population"" represents resident U.S. population (50 states excluding the District of Columbia) from the Bureau of the Census, Current Population Reports, July 2015.",,,,,,,,
"a/""Personal income"" is from the U.S. Department of Commerce, Survey of Current Business, August 2013.",,,,,,,,
"b/""Total general expenditure"" excludes utilities, state-operated liquor stores, and insurance trust benefits.",,,,,,,,
"c/""General functions only"" FTE excludes utilities, and state-operated liquor stores.",,,,,,,,
