Bureau of Justice Statistics,,,,,,
Filename: jeee11t19.csv,,,,,,
Table 19. Supplemental data for 68 large county governments,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2011 Final, NCJ 250631",,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version: 6/29/2018,,,,,,
,,,,,,
Table 19. Supplemental data for 68 large county governments,,,,,,
,,,,,,
,,"Expenditures, fiscal 2011 (thousands of dollars)",,,"Full-time equivalent employment, March 2011",
,,All functions,,,,
County,Population 2011/a,Total (direct and intergovernmental),Direct expenditure only,Total general expenditure/b,All functions,General functions only/c
,,,,,,
"Alameda, CA",1533052,3182287,3174505,2796952,12992,12992
"Allegheny, PA",1227677,1671152,1568144,1564932,7163,7163
"Baltimore, MD",813210,3209802,3133637,2838127,26425,26425
"Bergen, NJ",914018,1208645,1170013,1208645,4869,4869
"Bexar, TX",1755901,1662504,1637252,1662504,10630,10630
"Broward, FL",1787582,2338046,2337976,2142502,11228,10111
"Clark, NV",1967290,5465171,5299629,4953399,19621,18000
,,,,,,
"Contra Costa, CA",1066636,2578177,2493936,2285725,7876,7876
"Cook, IL",5215623,3571545,3558680,3050593,24866,24866
"Cuyahoga, OH",1269820,2305202,2276321,2305202,14422,14422
"Dade, FL",2580077,9260976,9059500,8388627,44417,40496
"Dallas, TX",2409778,2345380,2345380,2326126,16722,16722
"DeKalb, GA",698096,983358,983358,731293,6845,6315
"Delaware, PA",559075,682512,675267,658783,2689,2689
,,,,,,
"Du Page, IL",924462,461488,451397,461488,2732,2732
"Erie, NY",919924,2066312,1653522,1957321,5903,5665
"Essex, NJ",787006,923333,847313,923118,5266,5266
"Fairfax, VA",1105914,5492125,5322256,4624831,39123,38711
"Franklin, OH",1180069,1160321,1110890,1158198,6391,6391
"Fresno, CA",940971,1658463,1633842,1470955,8284,8284
"Fulton, GA",950233,1124663,896655,932846,5848,5818
,,,,,,
"Hamilton, OH",800642,1122938,1002570,1122938,4869,4869
"Harris, TX",4181238,4538360,4538296,4538260,25569,25549
"Hennepin, MN",1169437,2342972,2332362,2330217,7546,7546
"Hillsborough, FL",1271399,1896201,1757254,1696094,9939,9556
"Hudson, NJ",648350,923124,607955,923124,4345,4345
"Jackson, MO",675373,289635,289635,283376,1852,1852
"Jefferson, AL",657779,626503,626503,600600,3994,3994
,,,,,,
"King, WA",1972548,3196013,3153247,2454184,13008,8958
"Lake, IN",494788,256626,256626,256626,2447,2447
"Los Angeles, CA",9896602,21276060,20897478,18925935,105264,105169
"Macomb, MI",843001,794767,784837,744308,2307,2307
"Maricopa, AZ",3871957,1769629,1609124,1769219,12746,12746
"Middlesex, NJ",817516,750984,745910,750984,4084,4084
"Milwaukee, WI",951697,1384867,1384867,1185019,6782,5736
,,,,,,
"Monmouth, NJ",629815,714738,686434,714672,4914,4914
"Monroe, NY",747615,1613622,1267993,1522029,6038,5826
"Montgomery, MD",993068,5780351,5603035,4981322,35608,34334
"Montgomery, OH",534923,686256,657733,650054,4588,4412
"Montgomery, PA",805575,583906,558586,552738,3502,3502
"Multnomah, OR",748145,851104,820174,851104,4644,4644
"Nassau, NY",1347270,3772643,3409769,3725486,14848,14848
,,,,,,
"Norfolk, MA",678073,84920,84920,28320,111,111
"Oakland, MI",1211211,1009878,984262,938267,3872,3872
"Oklahoma, OK",730044,146101,146101,146101,2171,2171
"Orange, CA",3056084,3960378,3761864,3503583,17732,17732
"Orange, FL",1170461,1763176,1710123,1713231,10293,9831
"Palm Beach, FL",1338500,2123014,2035372,1988403,10694,10155
"Pima, AZ",988024,1409854,1374188,1389411,6781,6721
,,,,,,
"Pinellas, FL",917730,1100190,1025200,1007076,5376,5071
"Prince Georges, MD",875277,3923116,3802189,3589296,29119,28790
"Riverside, CA",2237433,3804418,3757147,3804418,20366,20366
"Sacramento, CA",1435548,3159830,3101678,2790957,12065,11568
"St. Louis, MO",999016,697858,603154,556454,3932,3932
"Salt Lake, UT",1048686,630259,630259,630259,5662,5662
"San Bernardino, CA",2064200,3830783,3627620,3507473,19421,19420
,,,,,,
"San Diego, CA",3142256,4357711,4090363,3893103,18872,18872
"San Mateo, CA",729435,1585646,1509905,1453269,6600,6600
"Santa Clara, CA",1814205,4144053,4050272,4144053,17970,17970
"Shelby, TN",933529,1942385,1450189,1881042,13190,13190
"Suffolk, NY",1500649,3151394,2912028,2891311,12843,12290
"Summit, OH",541281,497067,494494,497056,3549,3498
,,,,,,
"Tarrant, TX",1848011,1612255,1612255,1612255,12016,12016
"Travis, TX",1062041,666864,666864,666864,5268,5268
"Union, NJ",540707,635026,600367,635026,4179,4179
"Ventura, CA",831130,1961634,1839747,1747863,8919,8865
"Wayne, MI",1801273,1826257,1598607,1694366,4460,4460
"Westchester, NY",957270,3350832,3016202,3191449,9632,9589
"a/Population figures are from the Bureau of the Census, Annual Estimates of the Resident Population for the United States, regions, states, and Puerto Rico: April 1, 2010 to July 1, 2015 (May 2016).",,,,,,
"b/""Total general expenditure"" excludes utilities, county-operated liquor stores, and insurance trust benefits.",,,,,,
"c/""General functions only"" FTE excludes utilities and county-operated liquor stores.",,,,,,
