Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: jeee12fut05.csv,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2012",,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2012 - Final (Update) NCJ 250326",,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,
Date of version: 7/7/2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2012",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State and type of government,Total full-time equivalent employment/a,Total justice system total number of employees,Total justice system number of full-time employees only,Total justice system number of full-time equivalent employees,Total justice system full-time equivalent employees as a percent of total ,Police protection total number of employees,Police protection full-time employees only,Police protection number of full-time equivalent employees,Police protection full-time equivalent employees as a percent of total justice system,Judicial and legal total number of employees,Judicial and legal full-time employees only,Judicial and legal full-time equivalent employees,Judicial and legal full-time equivalent employees as a percent of total justice system,Corrections total number of employees,Corrections full-time employees only,Corrections full-time equivalent employees ,Corrections full-time equivalent employees as a percent of total justice system 
"U.S. - States-local, total","16,206,683","2,118,073","1,957,625","2,024,117",12.5,"970,976","874,907","912,308",45.1,"432,346","391,039","407,927",20.2,"714,751","691,679","703,882",34.8
U.S. - State,"4,314,932","732,039","711,306","722,031",16.7,"102,715","99,924","101,086",14,"176,949","167,998","172,456",23.9,"452,375","443,384","448,489",62.1
"U.S. - Local, total","11,891,751","1,386,034","1,246,319","1,302,086",10.9,"868,261","774,983","811,222",62.3,"255,397","223,041","235,471",18.1,"262,376","248,295","255,393",19.6
U.S. - Counties,"2,572,829","685,183","633,629","657,092",25.5,"265,455","244,704","253,678",38.6,"191,632","174,026","181,846",27.7,"228,096","214,899","221,568",33.7
U.S. - Municipalities,"2,529,231","640,945","568,199","595,321",23.5,"552,465","491,557","514,657",86.5,"57,787","46,727","50,370",8.5,"30,693","29,915","30,294",5.1
Alabama - Total,"281,585","28,855","26,658","27,717",9.8,"14,992","13,781","14,347",51.8,"5,193","4,532","4,817",17.4,"8,670","8,345","8,553",30.9
Alabama - State,"88,902","9,896","9,605","9,795",11,"1,458","1,458","1,458",14.9,"3,270","3,062","3,197",32.6,"5,168","5,085","5,140",52.5
"Alabama - Local, total","192,683","18,959","17,053","17,922",9.3,"13,534","12,323","12,889",71.9,"1,923","1,470","1,620",9,"3,502","3,260","3,413",19
Alabama - Counties,"19,274","7,522","6,773","7,144",37.1,"3,431","3,123","3,267",45.7,953,733,813,11.4,"3,138","2,917","3,064",42.9
Alabama - Municipalities,"40,340","11,437","10,280","10,778",26.7,"10,103","9,200","9,622",89.3,970,737,807,7.5,364,343,349,3.2
Alaska - Total,"55,258","5,692","5,447","5,550",10,"2,043","1,914","1,950",35.1,"1,619","1,561","1,590",28.6,"2,030","1,972","2,010",36.2
Alaska - State,"27,230","4,154","3,997","4,070",14.9,691,647,655,16.1,"1,511","1,456","1,483",36.4,"1,952","1,894","1,932",47.5
"Alaska - Local, total","28,028","1,538","1,450","1,480",5.3,"1,352","1,267","1,295",87.5,108,105,107,7.2,78,78,78,5.3
Alaska - Boroughs,"10,404",154,148,150,1.4,107,102,104,69.3,33,32,32,21.3,14,14,14,9.3
Alaska - Municipalities,"16,849","1,384","1,302","1,330",7.9,"1,245","1,165","1,191",89.5,75,73,75,5.6,64,64,64,4.8
Arizona - Total,"286,080","46,494","45,403","45,921",16.1,"19,719","19,405","19,556",42.6,"10,732","10,173","10,431",22.7,"16,043","15,825","15,934",34.7
Arizona - State,"76,547","14,588","14,442","14,522",19,"1,870","1,828","1,847",12.7,"2,144","2,066","2,111",14.5,"10,574","10,548","10,564",72.7
"Arizona - Local, total","209,533","31,906","30,961","31,399",15,"17,849","17,577","17,709",56.4,"8,588","8,107","8,320",26.5,"5,469","5,277","5,370",17.1
Arizona - Counties,"30,165","17,399","16,831","17,108",56.7,"5,222","5,165","5,194",30.4,"6,765","6,439","6,599",38.6,"5,412","5,227","5,315",31.1
Arizona - Municipalities,"43,927","14,507","14,130","14,291",32.5,"12,627","12,412","12,515",87.6,"1,823","1,668","1,721",12,57,50,55,0.4
Arkansas - Total,"171,533","20,179","18,634","19,185",11.2,"8,859","8,160","8,407",43.8,"3,417","2,802","3,012",15.7,"7,903","7,672","7,766",40.5
Arkansas - State,"63,732","7,998","7,832","7,911",12.4,"1,240","1,230","1,235",15.6,"1,442","1,294","1,364",17.2,"5,316","5,308","5,312",67.1
"Arkansas - Local, total","107,801","12,181","10,802","11,274",10.5,"7,619","6,930","7,172",63.6,"1,975","1,508","1,648",14.6,"2,587","2,364","2,454",21.8
Arkansas - Counties,"12,661","5,835","5,193","5,433",42.9,"2,169","1,959","2,039",37.5,"1,160",947,"1,019",18.8,"2,506","2,287","2,375",43.7
Arkansas - Municipalities,"20,516","6,346","5,609","5,841",28.5,"5,450","4,971","5,133",87.9,815,561,629,10.8,81,77,79,1.4
California - Total,"1,733,966","233,005","220,840","227,148",13.1,"102,721","96,549","99,357",43.7,"43,319","41,139","42,295",18.6,"86,965","83,152","85,496",37.6
California - State,"398,393","74,121","70,993","72,989",18.3,"11,115","11,003","11,041",15.1,"6,240","5,822","6,033",8.3,"56,766","54,168","55,915",76.6
"California - Local, total","1,335,573","158,884","149,847","154,159",11.5,"91,606","85,546","88,316",57.3,"37,079","35,317","36,262",23.5,"30,199","28,984","29,581",19.2
California - Counties,"335,648","97,882","93,633","95,684",28.5,"34,839","33,377","33,987",35.5,"33,988","32,369","33,238",34.7,"29,055","27,887","28,459",29.7
California - Municipalities,"227,367","60,917","56,143","58,396",25.7,"56,682","52,098","54,250",92.9,"3,091","2,948","3,024",5.2,"1,144","1,097","1,122",1.9
Colorado - Total,"272,477","33,751","31,946","32,791",12,"15,234","14,571","14,841",45.3,"7,499","6,560","7,020",21.4,"11,018","10,815","10,930",33.3
Colorado - State,"73,944","13,279","12,607","13,004",17.6,"1,235","1,218","1,226",9.4,"4,760","4,165","4,508",34.7,"7,284","7,224","7,270",55.9
"Colorado - Local, total","198,533","20,472","19,339","19,787",10,"13,999","13,353","13,615",68.8,"2,739","2,395","2,512",12.7,"3,734","3,591","3,660",18.5
Colorado - Counties,"26,762","8,602","8,138","8,346",31.2,"4,439","4,217","4,310",51.6,"1,372","1,268","1,316",15.8,"2,791","2,653","2,720",32.6
Colorado - Municipalities,"44,443","11,870","11,201","11,441",25.7,"9,560","9,136","9,305",81.3,"1,367","1,127","1,196",10.5,943,938,940,8.2
Connecticut - Total,"185,660","23,083","21,147","21,720",11.7,"10,894","9,450","9,871",45.4,"6,389","5,979","6,084",28,"5,800","5,718","5,765",26.5
Connecticut - State,"61,499","14,081","13,386","13,555",22,"2,073","1,843","1,873",13.8,"6,208","5,825","5,917",43.7,"5,800","5,718","5,765",42.5
"Connecticut - Local, total","124,161","9,002","7,761","8,165",6.6,"8,821","7,607","7,998",98,181,154,167,2,0,0,0,0
Connecticut - Municipalities,"42,573","4,381","3,910","4,092",9.6,"4,250","3,789","3,964",96.9,131,121,128,3.1,0,0,0,0
Delaware - Total,"49,263","7,344","7,043","7,222",14.7,"2,540","2,352","2,469",34.2,"1,909","1,836","1,874",25.9,"2,895","2,855","2,879",39.9
Delaware - State,"26,588","5,697","5,590","5,653",21.3,"1,014","1,003","1,012",17.9,"1,788","1,732","1,762",31.2,"2,895","2,855","2,879",50.9
"Delaware - Local, total","22,675","1,647","1,453","1,569",6.9,"1,526","1,349","1,457",92.9,121,104,112,7.1,0,0,0,0
Delaware - Counties,"2,345",595,447,541,23.1,517,375,465,86,78,72,76,14,0,0,0,0
Delaware - Municipalities,"2,918","1,052","1,006","1,028",35.2,"1,009",974,992,96.5,43,32,36,3.5,0,0,0,0
District of Columbia - Total,"44,377","7,796","7,763","7,784",17.5,"4,386","4,386","4,386",56.3,"2,139","2,108","2,127",27.3,"1,271","1,269","1,271",16.3
