Bureau of Justice Statistics,,,,,,,,,,
Filename: jeee12fut08.csv,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2012) and full-time equivalent justice employment per 10,000 population (March 2012) of state and local governments, by activity and state",,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2012 - Final (Update) NCJ 250326",,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 7/7/2021,,,,,,,,,,
,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2012) and full-time equivalent justice employment per 10,000 population (March 2012) of state and local governments, by activity and state",,,,,,,,,,
,,,,,,,,,,
State,Population 2012,Total justice system per capita expenditure,Police protection per capita expenditure,Judicial and legal per capita expenditure,Corrections per capita expenditure,"Total justice system full-time equivalent employment per 10,000 population","Police protection total full-time equivalent employment per 10,000 population","Police protection sworn full-time equivalent employment only per 10,000 population","Judicial and legal full-time equivalent employment per 10,000 population","Corrections full-time equivalent employment per 10,000 population"
U.S. total,"313,830,990",677.1,308.69,137.85,230.56,64.5,29.07,21.94,13,22.43
Alabama,"4,815,588",452.62,234.58,70.28,147.76,57.56,29.79,22.83,10,17.76
Alaska,"730,443","1,265.15",468.84,362.35,433.96,75.98,26.7,16.58,21.77,27.52
Arizona,"6,554,978",698.64,314.48,148.55,235.62,70.06,29.83,21.36,15.91,24.31
Arkansas,"2,952,164",444.41,202.4,66.87,175.14,64.99,28.48,21.44,10.2,26.31
California,"37,948,800",967.46,392.34,214.34,360.78,59.86,26.18,18.54,11.15,22.53
Colorado,"5,192,647",686.22,299.94,139.57,246.71,63.15,28.58,20.16,13.52,21.05
Connecticut,"3,594,547",676.81,307.78,178.69,190.34,60.42,27.46,21.52,16.93,16.04
Delaware,"915,179",858.37,338.57,208.34,311.46,78.91,26.98,20.6,20.48,31.46
District of Columbia,"634,924","1,436.98",887.92,170.02,379.03,122.6,69.08,59.8,33.5,20.02
Florida,"19,297,822",701.59,379.21,111.71,210.67,70.8,32.56,21.08,16.22,22.01
Georgia,"9,901,430",566.16,238.96,115.3,211.89,70.18,28.65,22.53,13.94,27.58
Hawaii,"1,394,804",604.74,276.52,188.91,139.3,64.76,26.81,20.78,21.72,16.23
Idaho,"1,595,324",652.63,248,119.26,285.37,60.68,25.24,17.54,12.41,23.03
Illinois,"12,882,510",650.93,355.87,131.62,163.45,61.07,32.39,25.72,12.06,16.62
Indiana,"6,537,703",400.53,175.31,75.14,150.09,54.3,23.9,18,11.38,19.03
Iowa,"3,076,190",496.11,223.08,103.22,169.81,47.81,22.97,17.29,9.93,14.9
Kansas,"2,885,257",521.43,255.5,101.25,164.68,65.2,31.25,21.73,12.69,21.25
Kentucky,"4,386,346",485.71,174.47,130.84,180.4,57.44,22.91,17.42,15.9,18.63
Louisiana,"4,600,972",756.74,322.05,157.67,277.02,83.51,38.02,28.44,16.54,28.95
Maine,"1,327,729",401.2,188.15,67.35,145.7,43.67,22.35,17.18,6.67,14.64
Maryland,"5,886,992",792.4,360.69,134.5,297.22,73,31.99,23.27,13.9,27.11
