Bureau of Justice Statistics,,,,,,,,
Filename: jeee12fut18.csv,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2012 - Final (Update) NCJ 250326",,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,
Date of version: 7/7/2021,,,,,,,,
,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
,,,,,,,,
State,Estimated population as of 7/1/2012 (thousands),"Personal income, calendar year 2012, amount (millions of dollars)/a","Personal income, calendar year 2012, per capita/a","Expenditures, fiscal 2012 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2012 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2012 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, 3/1/2012, all functions","Full-time equivalent employment, 3/1/2012, general functions only/c"
U.S. total,"313,831","13,998,383","44,605","1,991,289,027","1,501,212,037","1,645,834,124","4,314,932","4,268,916"
Alabama,"4,816","172,804","35,881","30,813,117","24,208,233","27,089,980","88,902","88,163"
Alaska,730,"39,169","53,656","11,729,460","9,832,129","10,262,809","27,230","27,230"
Arizona,"6,555","236,846","36,132","31,888,611","23,864,914","27,476,086","76,547","76,539"
Arkansas,"2,952","106,985","36,242","19,246,564","14,235,033","17,366,315","63,732","63,732"
California,"37,949","1,852,398","48,813","269,054,704","183,629,088","215,656,737","398,393","398,393"
Colorado,"5,193","237,142","45,666","28,117,189","22,012,059","22,315,252","73,944","73,944"
Connecticut,"3,595","233,338","64,906","28,457,194","22,783,266","23,014,568","61,499","61,499"
Delaware,915,"40,338","44,085","8,035,406","6,808,678","7,151,971","26,588","25,737"
Florida,"19,298","793,429","41,115","80,546,775","63,225,203","69,146,236","181,234","180,546"
Georgia,"9,901","368,868","37,256","43,983,937","34,525,093","36,915,899","129,502","129,502"
Hawaii,"1,395","62,456","44,771","11,682,152","11,449,887","10,226,231","57,293","57,293"
Idaho,"1,595","56,140","35,197","8,299,878","6,371,654","7,075,391","22,719","22,481"
Illinois,"12,883","593,239","46,048","78,153,823","58,697,479","62,468,449","130,126","130,126"
Indiana,"6,538","257,150","39,332","35,952,271","26,540,087","31,967,484","88,431","88,431"
Iowa,"3,076","131,984","42,908","20,030,601","15,117,129","17,351,438","47,929","47,929"
Kansas,"2,885","130,182","45,124","16,273,114","12,384,293","14,175,836","48,191","48,191"
Kentucky,"4,386","156,828","35,756","29,450,261","24,363,652","24,678,255","85,308","85,308"
Louisiana,"4,601","186,589","40,554","30,943,626","24,112,796","27,018,092","78,694","78,694"
Maine,"1,328","53,490","40,279","8,889,996","7,622,777","7,808,207","21,100","21,099"
Maryland,"5,887","315,231","53,547","38,930,310","30,550,095","33,079,544","86,873","86,156"
Massachusetts,"6,663","382,009","57,333","55,628,081","47,822,681","44,593,352","94,699","94,154"
Michigan,"9,897","386,568","39,059","61,726,983","42,705,716","51,677,343","146,542","146,542"
Minnesota,"5,377","257,320","47,856","38,233,383","27,547,139","32,999,588","80,006","77,516"
Mississippi,"2,984","99,386","33,306","20,051,299","14,913,218","17,373,134","57,709","57,543"
Missouri,"6,024","241,763","40,133","31,621,603","25,713,705","27,041,485","86,765","86,765"
Montana,"1,004","40,471","40,310","6,362,612","5,332,560","5,362,864","20,251","20,222"
Nebraska,"1,853","86,294","46,570","9,457,023","7,099,979","8,719,357","32,095","32,095"
Nevada,"2,744","108,825","39,659","13,118,898","9,022,424","10,198,114","26,743","26,709"
New Hampshire,"1,324","67,529","51,004","7,594,938","5,858,740","6,414,146","18,591","18,005"
New Jersey,"8,845","491,662","55,586","71,913,710","56,628,904","54,255,464","145,670","133,969"
New Mexico,"2,087","74,578","35,735","16,978,696","12,528,309","14,717,374","45,065","45,065"
New York,"19,573","1,056,671","53,986","181,240,199","123,834,187","139,163,739","236,826","220,530"
North Carolina,"9,749","379,925","38,971","54,583,961","39,751,190","46,515,063","149,543","149,543"
North Dakota,701,"38,860","55,435","6,327,215","4,696,467","5,620,318","18,804","18,804"
Ohio,"11,549","469,261","40,632","76,768,108","58,689,369","59,005,840","136,861","136,861"
Oklahoma,"3,819","158,354","41,465","22,730,143","18,461,722","19,405,190","65,104","64,551"
Oregon,"3,899","154,409","39,602","29,908,797","25,184,548","23,899,870","65,653","65,450"
Pennsylvania,"12,767","587,522","46,019","86,996,108","68,291,560","69,930,679","161,537","157,129"
Rhode Island,"1,055","48,810","46,265","8,308,171","7,195,293","6,598,862","18,705","17,902"
South Carolina,"4,717","167,798","35,573","27,668,443","22,356,425","22,182,826","78,585","76,752"
South Dakota,834,"37,659","45,155","4,508,858","3,751,758","4,062,706","14,401","14,401"
Tennessee,"6,454","253,613","39,295","31,067,206","24,210,371","27,956,164","80,215","80,215"
Texas,"26,084","1,132,222","43,407","125,554,913","95,737,473","108,117,982","301,260","301,260"
Utah,"2,853","103,121","36,145","17,391,588","14,322,297","15,501,352","53,236","52,893"
Vermont,626,"28,396","45,361","6,034,907","4,400,536","5,587,397","14,197","14,144"
Virginia,"8,185","405,864","49,586","46,759,952","35,106,134","41,342,571","126,238","124,439"
Washington,"6,897","329,259","47,739","45,690,215","35,376,124","37,248,735","120,886","120,053"
West Virginia,"1,857","65,206","35,114","13,222,916","10,604,884","11,709,305","40,295","40,237"
Wisconsin,"5,720","246,151","43,033","37,837,615","27,351,409","31,661,582","70,543","70,543"
Wyoming,576,"30,846","53,552","5,523,497","4,383,370","4,726,942","13,672","13,631"
"Note: Population figures are from the Bureau of the Census, Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019 (NST-EST2019-01), December 2019.",,,,,,,,
"a/""Personal income"" is from the U.S. Department of Commerce, Survey of Current Business, March 2020.",,,,,,,,
"b/""Total general expenditure"" excludes utilities, state-operated liquor stores, and insurance trust benefits.",,,,,,,,
"c/""General functions only"" FTE excludes utilities and state-operated liquor stores.",,,,,,,,
