Bureau of Justice Statistics,,,,,,,,,,
Filename: jeee13fut03.csv,,,,,,,,,,
"Table 3. Percent distribution of expenditure for the justice system, by type of government, fiscal 2013",,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2013 - Final (Update) NCJ 250327",,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 7/7/2021,,,,,,,,,,
,,,,,,,,,,
"Table 3. Percent distribution of expenditure for the justice system, by type of government, fiscal 2013",,,,,,,,,,
(Dollar amounts in thousands),,,,,,,,,,
,,,,,,,,,,
State and type of government,Population 2013 (thousands),Total direct expenditure/a,Total justice system direct expenditure,Total justice system as a percent of total direct expenditure,Police protection direct expenditure,Police protection as a percent of total justice system,Judicial and legal direct expenditure,Judicial and legal as a percent of total justice system,Corrections direct expenditure,Corrections as a percent of total justice system
"U.S. - States-local, total","315,994","3,185,700,068","212,722,568",6.7,"98,031,524",46.1,"42,188,875",19.8,"72,502,169",34.1
U.S. - State,-,"1,523,712,867","78,793,413",5.2,"12,776,147",16.2,"20,527,076",26.1,"45,490,190",57.7
"U.S. - Local, total",-,"1,661,987,201","133,929,155",8.1,"85,255,377",63.7,"21,661,799",16.2,"27,011,979",20.2
U.S. - Counties,-,"372,217,983","65,347,248",17.6,"26,171,047",40,"16,401,682",25.1,"22,774,519",34.9
U.S. - Municipalities,-,"540,572,653","63,549,451",11.8,"54,804,985",86.2,"4,879,210",7.7,"3,865,256",6.1
Alabama - Total,"4,830","46,678,459","2,185,123",4.7,"1,163,321",53.2,"338,124",15.5,"683,678",31.3
Alabama - State,-,"24,875,355","810,307",3.3,"114,472",14.1,"203,817",25.2,"492,018",60.7
"Alabama - Local, total",-,"21,803,104","1,374,816",6.3,"1,048,849",76.3,"134,307",9.8,"191,660",13.9
Alabama - Counties,-,"2,248,632","593,725",26.4,"350,441",59,"70,861",11.9,"172,423",29
Alabama - Municipalities,-,"6,861,507","781,088",11.4,"698,408",89.4,"63,446",8.1,"19,234",2.5
Alaska - Total,737,"15,488,434","960,222",6.2,"375,107",39.1,"244,332",25.4,"340,783",35.5
Alaska - State,-,"10,182,567","692,775",6.8,"140,109",20.2,"217,432",31.4,"335,234",48.4
"Alaska - Local, total",-,"5,305,867","267,447",5,"234,998",87.9,"26,900",10.1,"5,549",2.1
Alaska - Boroughs,-,"2,057,093","31,815",1.5,"18,360",57.7,"12,936",40.7,519,1.6
Alaska - Municipalities,-,"3,056,031","235,632",7.7,"216,638",91.9,"13,964",5.9,"5,030",2.1
Arizona - Total,"6,633","52,177,678","4,630,428",8.9,"2,043,431",44.1,"983,476",21.2,"1,603,521",34.6
Arizona - State,-,"24,887,640","1,384,346",5.6,"220,146",15.9,"176,613",12.8,"987,587",71.3
"Arizona - Local, total",-,"27,290,038","3,246,082",11.9,"1,823,285",56.2,"806,863",24.9,"615,934",19
Arizona - Counties,-,"3,822,831","1,649,329",43.1,"393,985",23.9,"648,148",39.3,"607,196",36.8
Arizona - Municipalities,-,"9,417,015","1,596,753",17,"1,429,300",89.5,"158,715",9.9,"8,738",0.5
Arkansas - Total,"2,959","24,023,949","1,280,562",5.3,"640,326",50,"184,720",14.4,"455,516",35.6
Arkansas - State,-,"14,220,896","513,950",3.6,"100,742",19.6,"109,709",21.3,"303,499",59.1
"Arkansas - Local, total",-,"9,803,053","766,612",7.8,"539,584",70.4,"75,011",9.8,"152,017",19.8
Arkansas - Counties,-,"1,087,405","349,164",32.1,"152,865",43.8,"46,700",13.4,"149,599",42.8
Arkansas -Municipalities,-,"3,212,491","417,448",13,"386,719",92.6,"28,311",6.8,"2,418",0.6
California - Total,"38,261","453,235,072","35,717,966",7.9,"15,090,872",42.3,"7,570,203",21.2,"13,056,891",36.6
California - State,-,"188,503,030","12,832,771",6.8,"1,580,444",12.3,"3,594,903",28,"7,657,424",59.7
"California - Local, total",-,"264,732,042","22,885,195",8.6,"13,510,428",59,"3,975,300",17.4,"5,399,467",23.6
California - Counties,-,"72,605,214","13,198,083",18.2,"4,350,916",33,"3,614,615",27.4,"5,232,552",39.6
California - Municipalities,-,"70,935,728","9,686,979",13.7,"9,159,379",94.6,"360,685",3.7,"166,915",1.7
Colorado - Total,"5,269","50,447,869","3,546,275",7,"1,636,127",46.1,"685,530",19.3,"1,224,618",34.5
