Bureau of Justice Statistics,,,,,,,,,
Filename: jeee13fut06.csv,,,,,,,,,
"Table 6. Percent distribution of justice system payrolls, by state and type of government, March 2013",,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2013 - Final (Update) NCJ 250327",,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,
Date of version: 7/7/2021,,,,,,,,,
,,,,,,,,,
"Table 6. Percent distribution of justice system payrolls, by state and type of government, March 2013",,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,
,,,,,,,,,
State and type of government,Total March payrolls/a,Total justice system March payrolls,Total justice system as a percent of total March payrolls/b,Police protection March payrolls,Police protection as a percent of total justice system March payrolls/b,Judicial and legal March payrolls,Judicial and legal as a percent of total justice system March payrolls/b,Corrections March payrolls,Corrections as a percent of total justice system March payrolls/b
"U.S. - States-local, total","71,404,657","10,038,330",14.1,"4,968,266",49.5,"2,061,603",20.5,"3,008,461",30
U.S. - State,"20,472,791","3,382,938",16.5,"564,336",16.7,"931,771",27.5,"1,886,831",55.8
"U.S. - Local, total","50,931,866","6,655,393",13.1,"4,403,931",66.2,"1,129,832",17,"1,121,630",16.9
U.S. - Counties,"11,346,735","3,081,490",27.2,"1,300,862",42.2,"856,423",27.8,"924,205",30
U.S. - Municipalities,"14,357,114","3,441,318",24,"3,005,376",87.3,"248,782",7.2,"187,160",5.4
Alabama - Total,"1,016,950","98,341",9.7,"52,400",53.3,"19,910",20.2,"26,031",26.5
Alabama - State,"373,250","35,602",9.5,"5,235",14.7,"14,303",40.2,"16,064",45.1
"Alabama - Local, total","643,700","62,740",9.7,"47,165",75.2,"5,608",8.9,"9,967",15.9
Alabama - Counties,"65,027","24,567",37.8,"12,756",51.9,"2,905",11.8,"8,906",36.3
Alabama - Municipalities,"137,700","37,465",27.2,"33,845",90.3,"2,594",6.9,"1,026",2.7
Alaska - Total,"285,611","34,045",11.9,"12,112",35.6,"9,979",29.3,"11,954",35.1
Alaska - State,"147,606","25,210",17.1,"4,343",17.2,"9,288",36.8,"11,579",45.9
"Alaska - Local, total","138,005","8,835",6.4,"7,769",87.9,691,7.8,375,4.2
Alaska - Boroughs,"51,356",791,1.5,495,62.6,233,29.5,63,8
Alaska - Municipalities,"83,699","7,640",9.1,"6,868",89.9,458,6,314,4.1
Arizona - Total,"1,169,943","204,954",17.5,"104,263",50.9,"47,130",23,"53,561",26.1
Arizona - State,"331,739","53,686",16.2,"9,588",17.9,"9,566",17.8,"34,532",64.3
"Arizona - Local, total","838,204","151,269",18,"94,675",62.6,"37,565",24.8,"19,029",12.6
Arizona - Counties,"127,951","72,793",56.9,"24,493",33.6,"29,468",40.5,"18,832",25.9
Arizona - Municipalities,"223,437","78,615",35.2,"70,270",89.4,"8,128",10.3,217,0.3
Arkansas - Total,"577,688","61,212",10.6,"28,360",46.3,"9,963",16.3,"22,889",37.4
Arkansas - State,"241,568","26,905",11.1,"4,567",17,"5,375",20,"16,963",63
"Arkansas - Local, total","336,120","34,308",10.2,"23,793",69.4,"4,589",13.4,"5,926",17.3
Arkansas - Counties,"33,340","14,400",43.2,"5,888",40.9,"2,809",19.5,"5,703",39.6
Arkansas - Municipalities,"67,840","19,928",29.4,"18,040",90.5,"1,745",8.8,143,0.7
California - Total,"9,973,884","1,606,456",16.1,"754,450",47,"307,859",19.2,"544,147",33.9
California - State,"2,432,478","483,815",19.9,"80,395",16.6,"41,536",8.6,"361,884",74.8
"California - Local, total","7,541,405","1,122,642",14.9,"674,055",60,"266,324",23.7,"182,263",16.2
California - Counties,"2,120,496","674,346",31.8,"264,489",39.2,"239,206",35.5,"170,651",25.3
California - Municipalities,"1,565,972","455,635",29.1,"415,813",91.3,"26,983",5.9,"12,839",2.8
Colorado - Total,"1,203,365","167,409",13.9,"83,825",50.1,"37,032",22.1,"46,552",27.8
Colorado - State,"374,991","58,738",15.7,"6,734",11.5,"22,875",38.9,"29,129",49.6
"Colorado - Local, total","828,374","108,671",13.1,"77,091",70.9,"14,157",13,"17,423",16
Colorado - Counties,"125,383","43,582",34.8,"24,780",56.9,"7,211",16.5,"11,591",26.6
Colorado - Municipalities,"243,200","69,330",28.5,"56,458",81.4,"7,040",10.2,"5,832",8.4
Connecticut - Total,"1,018,115","138,264",13.6,"66,767",48.3,"36,990",26.8,"34,507",25
Connecticut - State,"375,430","84,222",22.4,"13,829",16.4,"35,886",42.6,"34,507",41
"Connecticut - Local, total","642,685","54,042",8.4,"52,938",98,"1,104",2,0,0
Connecticut - Municipalities,"296,589","32,244",10.9,"31,405",97.4,839,2.6,0,0
Delaware - Total,"219,932","35,291",16,"14,942",42.3,"8,760",24.8,"11,589",32.8
Delaware - State,"114,457","26,608",23.2,"6,818",25.6,"8,201",30.8,"11,589",43.6
"Delaware - Local, total","105,475","8,683",8.2,"8,124",93.6,559,6.4,0,0
Delaware - Counties,"11,952","3,354",28.1,"2,976",88.7,378,11.3,0,0
Delaware - Municipalities,"12,569","5,173",41.2,"5,142",99.4,31,0.6,0,0
District of Columbia - Total,"284,872","55,988",19.7,"30,868",55.1,"17,797",31.8,"7,323",13.1
