Bureau of Justice Statistics,,,,,,,,,,,
Filename: jeee13fut07.csv,,,,,,,,,,,
"Table 7. Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment, by state and type of government, March 2013",,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2013 - Final (Update) NCJ 250327",,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,
Date of version: 7/7/2021,,,,,,,,,,,
,,,,,,,,,,,
"Table 7. Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment, by state and type of government, March 2013",,,,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,,,
,,,,,,,,,,,
States and type of government,Total police protection full-time equivalent employment,Sworn total number of employees,Sworn full-time employees only,Sworn full-time equivalent employees,Sworn employees as a percent of total police protection full-time equivalent,Sworn March payrolls,Nonsworn total number of employees,Nonsworn full-time employees only,Nonsworn full-time equivalent employees,Nonsworn employees as a percent of total police protection full-time equivalent,Nonsworn March payrolls
"U.S. - States-local, total","903,471","708,304","672,060","686,999",76,"4,093,525","252,825","192,871","216,472",24,"874,742"
U.S. - State,"100,242","63,964","63,371","63,502",63.3,"413,768","38,007","35,783","36,740",36.7,"150,568"
"U.S. - Local, total","803,229","644,340","608,689","623,497",77.6,"3,679,757","214,818","157,088","179,732",22.4,"724,173"
U.S. - Counties,"262,034","195,773","181,038","185,981",71,"988,673","84,022","70,027","76,053",29,"312,189"
U.S. - Municipalities,"521,826","432,500","414,370","423,957",81.2,"2,613,920","120,630","83,956","97,869",18.8,"391,456"
Alabama - Total,"14,116","11,248","10,719","10,994",77.9,"43,630","3,493","2,824","3,122",22.1,"8,770"
Alabama - State,"1,389",719,719,719,51.8,"3,159",670,670,670,48.2,"2,076"
"Alabama - Local, total","12,727","10,529","10,000","10,275",80.7,"40,471","2,823","2,154","2,452",19.3,"6,694"
Alabama - Counties,"3,702","3,188","2,884","3,005",81.2,"10,948",755,638,697,18.8,"1,808"
Alabama - Municipalities,"8,868","7,218","7,002","7,139",80.5,"29,022","2,040","1,494","1,729",19.5,"4,823"
Alaska - Total,"1,864","1,160","1,106","1,127",60.5,"8,566",775,706,737,39.5,"3,546"
Alaska - State,671,311,311,311,46.3,"2,591",380,347,360,53.7,"1,752"
"Alaska - Local, total","1,193",849,795,816,68.4,"5,974",395,359,377,31.6,"1,794"
Alaska - Boroughs,77,112,54,57,74,391,19,19,20,26,104
Alaska - Municipalities,"1,029",749,749,765,74.3,"5,593",289,251,264,25.7,"1,275"
Arizona - Total,"19,672","14,054","14,014","14,029",71.3,"79,771","5,772","5,512","5,643",28.7,"24,492"
Arizona - State,"1,901","1,103","1,103","1,103",58,"6,107",821,781,798,42,"3,480"
"Arizona - Local, total","17,771","12,951","12,911","12,926",72.7,"73,664","4,951","4,731","4,845",27.3,"21,012"
Arizona - Counties,"5,822","4,535","4,503","4,513",77.5,"19,356","1,328","1,285","1,309",22.5,"5,137"
Arizona - Municipalities,"11,958","8,427","8,417","8,422",70.4,"54,368","3,636","3,450","3,536",29.6,"15,902"
Arkansas - Total,"8,326","6,559","6,110","6,253",75.1,"22,578","2,212","1,990","2,073",24.9,"5,782"
Arkansas - State,"1,224",552,552,552,45.1,"2,419",678,665,672,54.9,"2,148"
"Arkansas - Local, total","7,102","6,007","5,558","5,701",80.3,"20,159","1,534","1,325","1,401",19.7,"3,634"
Arkansas - Counties,"2,114","1,941","1,633","1,692",80,"4,861",477,393,422,20,"1,027"
Arkansas - Municipalities,"4,760","3,873","3,744","3,831",80.5,"15,454",993,886,929,19.5,"2,586"
California - Total,"99,092","71,480","69,162","70,127",70.8,"597,706","31,382","26,683","28,965",29.2,"156,744"
California - State,"10,944","7,751","7,560","7,570",69.2,"66,892","3,404","3,347","3,374",30.8,"13,503"
"California - Local, total","88,148","63,729","61,602","62,557",71,"530,814","27,978","23,336","25,591",29,"143,241"
California - Counties,"37,977","26,808","25,667","26,208",69,"198,642","12,025","11,232","11,769",31,"65,847"
California - Municipalities,"51,404","37,878","36,831","37,376",72.7,"338,574","16,172","12,380","14,028",27.3,"77,239"
Colorado - Total,"14,847","10,603","10,473","10,521",70.9,"65,049","4,623","4,092","4,326",29.1,"18,776"
Colorado - State,"1,226",754,754,754,61.5,"4,559",481,464,472,38.5,"2,176"
"Colorado - Local, total","13,621","9,849","9,719","9,767",71.7,"60,491","4,142","3,628","3,854",28.3,"16,600"
Colorado - Counties,"4,662","3,291","3,215","3,260",69.9,"18,520","1,500","1,324","1,402",30.1,"6,260"
Colorado - Municipalities,"8,919","6,483","6,431","6,485",72.7,"45,552","2,609","2,286","2,434",27.3,"10,906"
Connecticut - Total,"9,834","7,867","7,678","7,748",78.8,"57,136","2,901","1,727","2,086",21.2,"9,631"
Connecticut - State,"1,957","1,276","1,274","1,275",65.2,"9,977",889,651,682,34.8,"3,851"
"Connecticut - Local, total","7,877","6,591","6,404","6,473",82.2,"47,159","2,012","1,076","1,404",17.8,"5,779"
Connecticut - Municipalities,"4,687","3,928","3,891","3,916",83.6,"28,469","1,087",586,771,16.4,"2,936"
Delaware - Total,"2,571","1,990","1,975","1,982",77.1,"12,638",662,481,589,22.9,"2,304"
Delaware - State,"1,058",789,789,789,74.6,"5,502",276,260,269,25.4,"1,315"
"Delaware - Local, total","1,513","1,201","1,186","1,193",78.8,"7,135",386,221,320,21.2,989
Delaware - Counties,544,411,411,413,75.9,"2,615",182,40,131,24.1,361
Delaware - Municipalities,972,790,775,783,80.6,"4,514",204,181,189,19.4,628
District of Columbia - Total,"4,478","3,903","3,903","3,903",87.2,"27,513",576,574,575,12.8,"3,355"
"District of Columbia - Local, total","4,478","3,903","3,903","3,903",87.2,"27,513",576,574,575,12.8,"3,355"
District of Columbia - Municipality,"4,478","3,903","3,903","3,903",87.2,"27,509",576,574,575,12.8,"3,354"
Florida - Total ,"61,394","40,999","40,101","40,463",65.9,"223,874","23,905","18,912","20,931",34.1,"79,933"
Florida - State,"4,128","2,402","2,165","2,204",53.4,"9,196","2,041","1,866","1,924",46.6,"6,554"
"Florida - Local, total","57,266","38,597","37,936","38,259",66.8,"214,678","21,864","17,046","19,007",33.2,"73,379"
Florida - Counties,"34,258","20,713","20,467","20,583",60.1,"115,295","15,658","12,413","13,675",39.9,"51,719"
Florida - Municipalities,"22,432","17,032","16,660","16,836",75.1,"97,083","6,458","4,922","5,596",24.9,"21,688"
Georgia - Total,"28,019","22,996","22,162","22,529",80.4,"83,830","5,967","5,161","5,490",19.6,"16,700"
Georgia - State,"3,032","1,763","1,760","1,761",58.1,"5,616","1,292","1,237","1,271",41.9,"4,073"
"Georgia - Local, total","24,987","21,233","20,402","20,768",83.1,"78,214","4,675","3,924","4,219",16.9,"12,627"
Georgia - Counties,"12,177","10,511","9,969","10,144",83.3,"38,829","2,182","1,936","2,033",16.7,"6,023"
Georgia - Municipalities,"12,770","10,767","10,477","10,623",83.2,"39,628","2,447","1,964","2,147",16.8,"6,508"
Hawaii - Total,"3,811","2,985","2,960","2,964",77.8,"20,082",957,815,847,22.2,"3,210"
Hawaii - State,0,0,0,0,-,0,0,0,0,-,0
"Hawaii - Local, total","3,811","2,985","2,960","2,964",77.8,"20,082",957,815,847,22.2,"3,210"
Hawaii - Counties,"1,225",947,922,926,75.6,"6,408",345,281,299,24.4,"1,107"
Hawaii - Municipalities,"2,592","2,038","2,038","2,038",78.6,"13,674",613,534,554,21.4,"2,114"
Idaho - Total,"4,117","2,920","2,832","2,862",69.5,"13,913","1,356","1,189","1,255",30.5,"4,265"
Idaho - State,480,271,271,271,56.5,"1,415",218,201,209,43.5,795
"Idaho - Local, total","3,637","2,649","2,561","2,591",71.2,"12,498","1,138",988,"1,046",28.8,"3,470"
Idaho - Counties,"1,565",950,907,918,58.7,"3,965",703,611,647,41.3,"2,040"
Idaho - Municipalities,"2,073","1,701","1,656","1,672",80.7,"8,543",437,378,401,19.3,"1,430"
Illinois - Total,"40,808","34,741","31,734","32,813",80.4,"213,974","10,768","6,444","7,995",19.6,"35,158"
Illinois - State,"3,194","1,957","1,957","1,957",61.3,"15,104","1,247","1,229","1,237",38.7,"7,747"
"Illinois - Local, total","37,614","32,784","29,777","30,856",82,"198,870","9,521","5,215","6,758",18,"27,411"
Illinois - Counties,"4,967","4,299","3,305","3,440",69.3,"20,010","1,672","1,456","1,527",30.7,"6,413"
Illinois - Municipalities,"45,438","40,605","38,588","39,460",86.8,"262,597","8,623","4,533","5,978",13.2,"22,463"
Indiana - Total,"15,768","12,056","11,506","11,683",74.1,"53,604","5,082","3,675","4,085",25.9,"11,986"
Indiana - State,"1,900","1,325","1,325","1,325",69.7,"6,649",575,575,575,30.3,"1,994"
"Indiana - Local, total","13,868","10,731","10,181","10,358",74.7,"46,955","4,507","3,100","3,510",25.3,"9,992"
Indiana - Counties,"3,308","2,503","2,236","2,272",68.7,"9,156","1,247",923,"1,036",31.3,"2,773"
Indiana - Municipalities,"10,519","8,284","8,001","8,087",76.9,"36,087","3,240","2,157","2,432",23.1,"7,153"
Iowa - Total,"6,917","5,570","5,191","5,284",76.4,"27,024","1,977","1,460","1,633",23.6,"6,311"
Iowa - State,940,648,646,646,68.7,"3,829",305,289,294,31.3,"1,533"
"Iowa - Local, total","5,977","4,922","4,545","4,638",77.6,"23,195","1,672","1,171","1,339",22.4,"4,778"
Iowa - Counties,"2,151","1,555","1,428","1,454",67.6,"7,012",782,658,697,32.4,"2,485"
Iowa - Municipalities,"3,850","3,349","3,105","3,166",82.2,"16,107",941,563,684,17.8,"2,523"
Kansas - Total,"8,723","6,388","5,956","6,075",69.6,"28,453","2,896","2,482","2,648",30.4,"9,375"
Kansas - State,"1,073",314,291,304,28.3,"1,537",788,754,769,71.7,"3,114"
"Kansas - Local, total","7,650","6,074","5,665","5,771",75.4,"26,917","2,108","1,728","1,879",24.6,"6,261"
Kansas - Counties,"2,277","1,619","1,505","1,529",67.1,"6,953",794,716,748,32.9,"2,444"
Kansas - Municipalities,"5,350","4,453","4,158","4,224",79,"19,970","1,316","1,012","1,126",21,"3,821"
Kentucky - Total,"9,645","7,740","7,359","7,553",78.3,"32,380","2,370","1,898","2,092",21.7,"6,331"
Kentucky - State,"2,119","1,086","1,085","1,085",51.2,"4,843","1,036","1,031","1,034",48.8,"3,582"
"Kentucky - Local, total","7,526","6,654","6,274","6,468",85.9,"27,537","1,334",867,"1,058",14.1,"2,750"
Kentucky - Counties,"1,389","1,230","1,108","1,156",83.2,"4,371",303,194,233,16.8,523
Kentucky - Municipalities,"6,130","5,416","5,161","5,305",86.5,"23,169","1,028",677,825,13.5,"2,236"
Louisiana - Total,"17,489","13,490","12,630","13,018",74.4,"51,288","5,030","3,778","4,471",25.6,"14,050"
Louisiana - State,"1,743","1,182","1,151","1,168",67,"7,030",589,555,575,33,"2,277"
"Louisiana - Local, total","15,746","12,308","11,479","11,850",75.3,"44,258","4,441","3,223","3,896",24.7,"11,772"
Louisiana - Parishes,"7,460","5,697","5,065","5,301",71.1,"20,222","2,483","1,932","2,159",28.9,"7,166"
Louisiana - Municipalities,"8,004","6,259","6,102","6,221",77.7,"23,363","1,996","1,375","1,783",22.3,"5,279"
Maine - Total,"3,017","2,634","2,284","2,411",79.9,"11,138",750,531,606,20.1,"2,233"
Maine - State,544,315,315,315,57.9,"1,739",230,228,229,42.1,945
"Maine - Local, total","2,473","2,319","1,969","2,096",84.8,"9,399",520,303,377,15.2,"1,288"
Maine - Counties,332,320,271,286,86.1,"1,202",49,40,46,13.9,153
Maine - Municipalities,"1,241","1,026","1,006","1,044",84.1,"4,775",295,155,197,15.9,681
Maryland - Total,"19,088","14,401","13,962","14,185",74.3,"87,837","5,578","4,374","4,903",25.7,"21,971"
Maryland - State,"2,211","1,452","1,452","1,452",65.7,"8,485",759,759,759,34.3,"3,211"
"Maryland - Local, total","16,877","12,949","12,510","12,733",75.4,"79,352","4,819","3,615","4,144",24.6,"18,760"
Maryland - Counties,"11,598","8,574","8,150","8,364",72.1,"52,987","3,652","2,927","3,234",27.9,"15,603"
Maryland - Municipalities,"5,244","4,340","4,327","4,332",82.6,"26,277","1,155",684,912,17.4,"3,165"
Massachusetts - Total,"19,486","16,525","15,412","15,783",81,"113,730","4,660","3,166","3,703",19,"16,103"
Massachusetts - State,"2,828","2,043","2,042","2,042",72.2,"19,830",799,778,786,27.8,"4,635"
"Massachusetts - Local, total","16,658","14,482","13,370","13,741",82.5,"93,900","3,861","2,388","2,917",17.5,"11,468"
Massachusetts - Municipalities,"13,315","11,273","10,628","10,961",82.3,"74,242","2,999","1,931","2,354",17.7,"9,221"
Michigan - Total,"20,271","17,073","15,835","16,327",80.5,"92,981","5,278","3,125","3,944",19.5,"15,450"
Michigan - State,"2,467","1,804","1,804","1,804",73.1,"11,343",678,643,663,26.9,"3,331"
"Michigan - Local, total","17,804","15,269","14,031","14,523",81.6,"81,638","4,600","2,482","3,281",18.4,"12,119"
