Bureau of Justice Statistics,,,,,,
Filename: jeee14fut19.csv,,,,,,
Table 19. Supplemental data for 106 large county governments,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2014 - Final (Update) NCJ 254124",,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version: 07/07/2021,,,,,,
,,,,,,
Table 19. Supplemental data for 106 large county governments,,,,,,
,,,,,,
County,Population 2014/a,"Expenditures, fiscal 2014 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2014 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2014 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, March 2014, all functions","Full-time equivalent employment, March 2014, general functions only/c"
"Alameda, CA","1,608,674","3,835,886","3,803,789","3,363,179","12,677","12,677"
"Allegheny, PA","1,233,073","1,782,322","1,700,452","1,665,026","7,127","7,127"
"Anne Arundel, MD","559,691","2,360,322","2,319,755","2,226,072","17,099","17,016"
"Arapahoe, CO","618,798","338,204","338,204","330,919","2,246","2,246"
"Baltimore, MD","825,006","3,463,796","3,387,490","3,105,672","26,766","26,766"
"Bergen, NJ","923,757","1,156,139","1,115,645","1,156,139","4,881","4,881"
"Bernalillo, NM","676,229","351,550","342,980","351,550","2,599","2,599"
"Bexar, TX","1,858,787","2,167,057","2,146,923","2,167,057","11,706","11,706"
"Brevard, FL","555,598","512,387","504,587","472,933","4,004","3,876"
"Bristol, MA","555,206","61,876","61,875","21,497",149,149
"Broward, FL","1,861,602","2,458,736","2,458,736","2,247,123","10,891","9,720"
"Bucks, PA","625,334","523,409","517,677","473,780","2,621","2,621"
"Camden, NJ","508,554","675,595","636,537","675,595","4,231","4,231"
"Clark, NV","2,054,263","4,784,320","4,743,171","4,250,423","19,956","18,362"
"Cobb, GA","727,757","957,970","870,684","765,525","4,378","4,190"
"Collin, TX","885,827","238,638","238,638","238,638","1,843","1,843"
"Contra Costa, CA","1,109,358","2,922,275","2,861,144","2,548,089","7,811","7,811"
"Cook, IL","5,257,481","3,741,390","3,731,891","3,093,121","21,014","21,014"
"Cuyahoga, OH","1,263,283","2,047,942","2,021,969","2,047,942","13,352","13,352"
"Dade, FL","2,660,389","7,480,323","7,480,323","6,784,214","36,107","31,910"
"Dallas, TX","2,520,434","2,762,214","2,762,214","2,732,953","18,243","18,243"
"DeKalb, GA","725,039","942,446","942,446","712,013","6,232","5,927"
"Delaware, PA","562,748","657,620","650,699","631,019","2,765","2,765"
"Denton, TX","753,429","242,174","239,158","242,174","1,933","1,933"
"Douglas, NE","543,098","325,009","325,009","325,009","2,857","2,857"
"Du Page, IL","933,820","393,435","382,604","389,611","2,422","2,422"
"El Paso, CO","663,266","283,744","283,429","260,774","2,489","2,489"
"El Paso, TX","834,992","704,961","704,961","702,432","5,566","5,566"
"Erie, NY","921,794","2,201,169","1,667,174","2,092,962","8,540","8,306"
"Essex, NJ","788,975","939,887","864,031","939,755","4,757","4,757"
"Fairfax, VA","1,136,573","6,180,103","6,031,562","5,235,801","43,503","43,061"
"Fort Bend, TX","684,345","298,988","298,988","298,988","2,280","2,267"
"Franklin, OH","1,238,527","1,214,666","1,200,632","1,211,722","6,229","6,229"
"Fresno, CA","961,311","1,761,519","1,698,152","1,530,446","7,944","7,944"
"Fulton, GA","992,022","1,138,006","870,027","934,038","4,740","4,714"
"Gwinnet, GA","871,394","1,132,683","1,105,227","914,069","4,856","4,603"
"Hamilton, OH","807,654","1,184,990","1,058,701","1,184,990","4,745","4,745"
"Harris, TX","4,458,709","4,716,856","4,716,856","4,716,649","26,811","26,796"
"Hennepin, MN","1,211,264","2,435,440","2,370,870","2,348,786","7,518","7,518"
"Hidalgo, TX","830,824","319,675","318,510","319,675","2,829","2,829"
"Hillsborough, FL","1,317,571","1,885,297","1,866,297","1,612,676","9,453","9,072"
"Hudson, NJ","660,502","901,566","605,169","901,566","4,145","4,133"
"Jackson, MO","683,033","231,755","231,755","222,517","1,254","1,254"
"Jefferson, AL","659,918","574,274","574,274","517,824","2,759","2,759"
"Jefferson, CO","559,085","413,871","393,395","413,871","2,910","2,910"
