Bureau of Justice Statistics,,,,,,
Filename: jeee14fut20.csv,,,,,,
Table 20. Supplemental data for 66 large city governments,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2014 - Final (Update) NCJ 254124",,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version: 07/07/2021,,,,,,
,,,,,,
Table 20. Supplemental data for 66 large city governments,,,,,,
,,,,,,
City,Population 2014/a,"Expenditures, fiscal 2014 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2014 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2014 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, March 2014, all functions","Full-time equivalent employment, March 2014, general functions only/c"
"Albuquerque, NM","557,702","1,046,466","1,046,194","883,365","6,441","5,747"
"Anaheim, CA","345,223","1,293,554","1,293,554","781,869","2,234","1,900"
"Arlington, TX","383,074","540,772","540,772","486,866","2,504","2,333"
"Atlanta, GA","460,998","2,256,012","2,256,012","1,530,396","7,925","7,694"
"Aurora, CO","352,391","517,286","495,092","378,171","2,642","2,356"
"Austin, TX","901,734","3,367,830","3,367,830","1,629,097","12,859","10,785"
"Bakersfield, CA","367,705","403,830","403,830","375,251","1,511","1,480"
"Baltimore, MD","623,165","3,983,509","3,920,592","3,472,622","25,718","24,208"
"Baton Rouge, LA","227,774","1,305,876","1,298,388","1,191,832","7,661","7,502"
"Boston, MA","663,017","4,041,526","3,702,768","3,287,953","19,843","19,633"
"Buffalo, NY","259,584","1,452,884","1,451,674","1,441,759","8,763","8,660"
"Charlotte, NC","807,589","1,858,049","1,841,835","1,492,736","7,259","6,173"
"Chicago, IL","2,728,524","9,623,810","9,623,810","7,243,191","31,786","29,938"
"Cleveland, OH","390,850","1,273,207","1,269,757","828,939","7,376","6,098"
"Cincinnati, OH","298,509","1,183,192","1,134,317","846,079","5,038","4,276"
"Colorado Springs, CO","441,960","1,904,267","1,902,877","1,054,369","6,668","5,058"
"Columbus, OH","841,740","1,818,191","1,818,191","1,495,760","8,239","7,651"
"Corpus Christi, TX","320,863","567,174","555,416","401,422","2,715","2,419"
"Dallas, TX","1,279,679","3,800,276","3,788,713","2,982,800","14,616","13,348"
"Denver, CO","664,870","3,008,512","3,008,512","2,594,784","12,136","11,025"
"Detroit, MI","682,669","3,310,500","3,301,301","2,279,425","11,753","9,114"
"El Paso, TX","677,745","1,036,550","1,036,550","738,187","6,140","5,434"
"Fort Worth, TX","815,135","1,460,254","1,460,254","1,127,091","6,340","5,723"
"Fresno, CA","514,452","786,193","786,193","541,475","3,206","2,652"
"Honolulu, HI","987,649","2,503,212","2,503,212","1,759,241","10,195","9,632"
"Houston, TX","2,240,982","4,985,924","4,940,824","3,989,333","21,510","20,682"
"Indianapolis, IN","859,183","4,468,296","4,461,041","3,576,746","14,462","12,945"
"Jacksonville, FL","852,560","4,027,987","4,027,987","1,683,257","9,388","7,444"
"Kansas City, MO","470,678","1,902,269","1,853,811","1,607,614","6,481","5,912"
"Las Vegas, NV","608,275","830,426","704,186","830,425","2,682","2,682"
"Long Beach, CA","469,539","2,455,145","2,455,145","2,237,878","5,309","4,253"
"Los Angeles, CA","3,913,260","16,453,214","16,453,214","9,003,620","52,664","43,649"
"Louisville - Jefferson, KY","761,973","1,300,611","1,239,858","1,067,215","7,862","6,828"
"Memphis, TN","655,936","3,175,278","3,174,133","1,128,557","10,663","7,561"
"Mesa, AZ","473,390","898,933","898,933","658,561","3,560","3,289"
"Miami, FL","429,365","967,484","967,484","785,883","3,819","3,819"
"Milwaukee, WI","600,743","1,478,373","1,438,923","1,104,191","6,503","6,193"
"Minneapolis, MN","407,122","1,173,917","1,121,802","1,096,674","5,093","4,850"
"Nashville, TN","670,180","4,065,038","4,064,774","2,537,785","21,132","19,696"
"New Orleans, LA","383,930","1,834,076","1,834,076","1,662,730","6,282","5,320"
"New York, NY","8,437,387","119,022,507","110,149,702","91,848,434","411,357","359,870"
"Newark, NJ","278,991","836,030","773,398","797,530","3,761","3,629"
"Oakland, CA","413,156","1,530,006","1,530,006","1,472,286","4,021","4,021"
"Oklahoma City, OK","621,583","1,189,654","1,189,654","975,157","4,543","4,016"
"Omaha, NE","461,386","694,015","679,963","600,529","2,788","2,788"
"Philadelphia, PA","1,565,604","7,803,163","7,676,731","6,178,258","29,471","26,601"
"Phoenix, AZ","1,556,552","3,269,497","3,257,665","2,478,012","12,875","11,830"
