"Bureau of Justice Statistics						",,,,,,
"Filename: jeee15fut20.csv						",,,,,,
"Table 20. Supplemental data for 66 large city governments						",,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2015 - Final (Update) NCJ 254125",,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version: 07/07/2021,,,,,,
"						",,,,,,
"Table 20. Supplemental data for 66 large city governments						",,,,,,
"						",,,,,,
City,Population 2015/a,"Expenditures, fiscal 2015 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2015 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2015 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, March 2015, all functions","Full-time equivalent employment, March 2015, general functions only/c"
"Albuquerque, NM","558,325","1,035,628","1,035,186","874,926","6,519","5,820"
"Anaheim, CA","348,967","1,158,773","1,158,773","681,924","2,247","1,900"
"Arlington, TX","389,101","477,267","477,267","425,701","2,513","2,354"
"Atlanta, GA","468,707","2,185,366","2,185,366","1,568,661","7,977","7,745"
"Aurora, CO","359,679","567,635","543,274","428,658","2,701","2,406"
"Austin, TX","921,545","3,723,421","3,723,421","1,877,489","13,181","10,970"
"Bakersfield, CA","372,295","516,394","456,828","484,319","1,549","1,520"
"Baltimore, MD","622,150","4,342,378","4,324,323","3,720,187","25,461","23,970"
"Baton Rouge, LA","227,044","1,231,490","1,222,791","1,108,249","6,462","6,122"
"Boston, MA","670,791","4,181,051","3,824,674","3,404,320","20,109","19,899"
"Buffalo, NY","258,339","1,409,124","1,407,730","1,399,124","8,960","8,858"
"Charlotte, NC","825,733","1,736,198","1,718,112","1,264,955","7,470","6,319"
"Chicago, IL","2,726,215","10,187,282","10,187,282","7,743,336","31,774","29,934"
"Cleveland, OH","389,248","1,277,065","1,273,834","827,629","7,148","5,953"
"Cincinnati, OH","299,338","1,114,282","1,064,482","816,230","5,252","4,506"
"Colorado Springs, CO","449,189","1,314,079","1,314,063","387,563","6,635","5,054"
"Columbus, OH","855,012","1,724,480","1,722,771","1,378,553","8,312","7,723"
"Corpus Christi, TX","324,795","701,746","688,600","454,532","2,682","2,467"
"Dallas, TX","1,301,794","3,922,839","3,910,766","3,090,019","14,651","13,406"
"Denver, CO","683,665","2,987,314","2,987,314","2,602,069","12,740","11,663"
"Detroit, MI","679,305","3,216,509","3,207,034","2,169,066","11,613","9,009"
"El Paso, TX","677,253","1,212,400","1,212,400","851,733","6,463","5,697"
"Fort Worth, TX","835,950","1,538,336","1,538,336","1,186,696","6,194","5,550"
"Fresno, CA","518,670","798,933","798,933","571,368","3,233","2,682"
"Honolulu, HI","991,339","2,719,438","2,719,438","1,748,656","10,268","9,699"
"Houston, TX","2,286,630","5,292,223","5,288,586","4,218,370","21,566","20,953"
"Indianapolis, IN","862,825","3,680,387","3,673,118","2,720,241","14,628","13,056"
"Jacksonville, FL","865,835","3,870,278","3,870,278","1,729,484","9,803","7,782"
"Kansas City, MO","475,069","1,897,372","1,850,202","1,602,847","6,388","5,788"
"Las Vegas, NV","617,840","897,458","764,787","897,457","2,709","2,709"
"Long Beach, CA","470,708","1,940,149","1,940,149","1,739,238","5,289","4,239"
"Los Angeles, CA","3,943,215","17,300,250","17,300,250","9,597,750","53,292","43,958"
"Louisville - Jefferson, KY","765,192","1,377,496","1,313,995","1,096,912","7,881","6,823"
"Memphis, TN","654,876","3,054,479","3,054,479","1,013,679","10,349","7,364"
"Mesa, AZ","482,108","795,582","795,582","610,347","3,653","3,379"
"Miami, FL","439,404","979,445","979,445","760,149","3,829","3,829"
"Milwaukee, WI","600,627","1,593,399","1,554,049","1,175,981","6,485","6,189"
"Minneapolis, MN","411,150","1,119,524","1,119,524","1,059,003","5,141","4,896"
"Nashville, TN","680,884","4,276,053","4,276,025","2,673,002","21,141","19,673"
"New Orleans, LA","389,791","1,852,112","1,850,106","1,682,610","6,226","5,273"
"New York, NY","8,468,181","118,542,817","109,712,461","91,651,647","416,657","366,524"
"Newark, NJ","279,629","812,231","748,951","772,198","3,759","3,625"
"Oakland, CA","418,263","1,659,821","1,659,821","1,600,814","4,061","4,061"
"Oklahoma City, OK","632,193","1,252,167","1,252,167","981,364","4,614","4,098"
"Omaha, NE","463,472","715,177","701,302","617,215","2,816","2,816"
"Philadelphia, PA","1,571,258","7,928,409","7,792,685","6,172,359","29,598","26,718"
"Phoenix, AZ","1,584,927","3,061,066","3,050,317","2,317,340","13,032","11,973"
"Pittsburgh, PA","304,211","668,672","668,672","570,833","3,021","3,021"
"Portland, OR","631,539","1,562,344","1,562,344","1,279,976","5,839","5,295"
"Raleigh, NC","449,427","756,721","756,721","569,790","4,313","3,840"
"Riverside, CA","320,673","811,755","799,505","460,880","2,367","1,920"
"Sacramento, CA","488,353","1,032,957","1,032,957","837,528","4,021","3,685"
"San Antonio, TX","1,464,531","4,856,152","4,856,152","2,013,182","15,233","10,929"
"San Diego, CA","1,388,674","3,238,652","3,229,058","2,329,764","9,754","9,046"
"San Francisco, CA","863,836","10,866,463","10,866,463","7,476,441","31,364","24,381"
"San Jose, CA","1,026,099","1,871,145","1,841,148","1,480,554","4,883","4,630"
"Santa Ana, CA","333,736","390,943","390,943","341,983","1,087","1,008"
"Seattle, WA","688,156","3,161,463","2,980,793","1,856,704","11,495","8,757"
"St. Louis, MO","315,878","1,189,243","1,154,447","962,781","6,162","5,855"
"Tampa, FL","367,413","901,420","901,420","687,860","4,131","3,810"
"Toledo, OH","279,816","533,835","502,837","446,049","2,802","2,488"
"Tucson, AZ","535,772","1,063,380","1,063,380","710,328","4,862","4,370"
"Tulsa, OK","403,733","848,978","848,373","685,550","3,703","3,162"
"Virginia Beach, VA","450,474","1,931,552","1,912,068","1,866,533","17,533","17,242"
"Washington, DC","675,254","13,487,421","13,001,493","12,388,397","35,313","34,901"
"Wichita, KS","389,437","731,461","731,461","573,203","2,891","2,631"
