Bureau of Justice Statistics,,,,,,,,,,
Filename: jeee16t03.csv,,,,,,,,,,
"Table 3. Percent distribution of expenditure for the justice system, by type of government, fiscal 2016",,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2016 - Final NCJ 300061",,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,
,,,,,,,,,,
"Table 3. Percent distribution of expenditure for the justice system, by type of government, fiscal 2016",,,,,,,,,,
(Dollar amounts in thousands),,,,,,,,,,
,,,,,,,,,,
State and type of government,Population 2016 (thousands),Total direct expenditure/a,Total justice system direct expenditure,Total justice system as a percent of total direct expenditure,Police protection direct expenditure,Police protection as a percent of total justice system,Judicial and legal direct expenditure,Judicial and legal as a percent of total justice system,Corrections direct expenditure,Corrections as a percent of total justice system
"U.S. - States-local, total","322,941","3,527,966,752","232,885,681",6.6,"108,499,902",46.6,"46,186,244",19.8,"78,199,535",33.6
U.S. - State,-,"1,701,713,640","86,201,819",5.1,"14,384,724",16.7,"22,602,228",26.2,"49,214,867",57.1
"U.S. - Local, total",-,"1,826,253,112","146,683,862",8,"94,115,178",64.2,"23,584,016",16.1,"28,984,668",19.8
U.S. - Counties,-,"393,525,150","71,738,357",18.2,"29,400,188",41,"17,904,239",25,"24,433,930",34.1
U.S. - Municipalities,-,"585,077,894","69,079,296",11.8,"59,812,413",86.6,"5,291,278",7.7,"3,975,605",5.8
Alabama - Total,"4,864","47,285,873","2,333,371",4.9,"1,249,556",53.6,"362,247",15.5,"721,568",30.9
Alabama - State,-,"24,910,661","870,057",3.5,"165,168",19,"200,146",23,"504,743",58
"Alabama - Local, total",-,"22,375,212","1,463,314",6.5,"1,084,388",74.1,"162,101",11.1,"216,825",14.8
Alabama - Counties,-,"2,240,178","643,464",28.7,"357,758",55.6,"90,787",14.1,"194,919",30.3
Alabama - Municipalities,-,"6,604,154","819,850",12.4,"726,630",88.6,"71,314",8.7,"21,906",2.7
Alaska - Total,741,"15,839,199","961,960",6.1,"368,170",38.3,"254,253",26.4,"339,537",35.3
Alaska - State,-,"10,321,860","674,357",6.5,"117,117",17.4,"225,002",33.4,"332,238",49.3
"Alaska - Local, total",-,"5,517,339","287,603",5.2,"251,053",87.3,"29,251",10.2,"7,299",2.5
Alaska - Boroughs,-,"2,183,738","37,458",1.7,"23,697",63.3,"12,050",32.2,"1,711",4.6
Alaska - Municipalities,-,"3,151,314","250,145",7.9,"227,356",90.9,"17,201",6.9,"5,588",2.2
Arizona - Total,"6,941","56,101,988","4,961,846",8.8,"2,267,170",45.7,"1,008,079",20.3,"1,686,597",34
Arizona - State,-,"27,776,472","1,410,214",5.1,"220,801",15.7,"152,058",10.8,"1,037,355",73.6
"Arizona - Local, total",-,"28,325,516","3,551,632",12.5,"2,046,369",57.6,"856,021",24.1,"649,242",18.3
Arizona - Counties,-,"4,096,764","1,750,596",42.7,"418,036",23.9,"684,248",39.1,"648,312",37
Arizona - Municipalities,-,"9,737,884","1,801,036",18.5,"1,628,333",90.4,"171,773",9.5,930,0.1
Arkansas - Total,"2,990","26,782,493","1,407,595",5.3,"680,398",48.3,"222,794",15.8,"504,403",35.8
Arkansas - State,-,"16,488,063","573,457",3.5,"107,858",18.8,"128,256",22.4,"337,343",58.8
"Arkansas - Local, total",-,"10,294,430","834,138",8.1,"572,540",68.6,"94,538",11.3,"167,060",20
Arkansas - Counties,-,"1,141,666","366,381",32.1,"154,224",42.1,"54,655",14.9,"157,502",43
Arkansas - Municipalities,-,"3,299,144","467,757",14.2,"418,316",89.4,"39,883",8.5,"9,558",2
California - Total,"39,167","547,244,317","41,702,684",7.6,"17,557,870",42.1,"8,676,531",20.8,"15,468,283",37.1
California - State,-,"239,075,372","15,482,042",6.5,"1,918,745",12.4,"4,181,175",27,"9,382,122",60.6
"California - Local, total",-,"308,168,945","26,220,642",8.5,"15,639,125",59.6,"4,495,356",17.1,"6,086,161",23.2
California - Counties,-,"71,189,272","15,129,190",21.3,"5,205,206",34.4,"4,042,002",26.7,"5,881,982",38.9
California - Municipalities,-,"76,170,696","11,089,410",14.6,"10,431,877",94.1,"453,354",4.1,"204,179",1.8
Colorado - Total,"5,539","57,846,998","3,963,582",6.9,"1,829,355",46.2,"824,632",20.8,"1,309,595",33
Colorado - State,-,"27,068,452","1,618,678",6,"181,864",11.2,"544,535",33.6,"892,279",55.1
"Colorado - Local, total",-,"30,778,546","2,344,904",7.6,"1,647,491",70.3,"280,097",11.9,"417,316",17.8
Colorado - Counties,-,"4,141,457","963,728",23.3,"509,236",52.8,"138,488",14.4,"316,004",32.8
Colorado - Municipalities,-,"10,126,369","1,381,176",13.6,"1,138,255",82.4,"141,609",10.3,"101,312",7.3
Connecticut - Total,"3,578","41,402,584","2,650,680",6.4,"1,249,334",47.1,"718,484",27.1,"682,862",25.8
Connecticut - State,-,"22,242,094","1,612,732",7.3,"251,565",15.6,"678,305",42.1,"682,862",42.3
"Connecticut - Local, total",-,"19,160,490","1,037,948",5.4,"997,769",96.1,"40,179",3.9,0,0
Connecticut - Municipalities,-,"7,356,659","532,719",7.2,"510,735",95.9,"21,984",4.1,0,0
Delaware - Total,949,"11,268,655","864,518",7.7,"354,420",41,"199,184",23,"310,914",36
Delaware - State,-,"7,751,594","635,166",8.2,"139,208",21.9,"185,044",29.1,"310,914",49
"Delaware - Local, total",-,"3,517,061","229,352",6.5,"215,212",93.8,"14,140",6.2,0,0
Delaware - Counties,-,"519,302","97,866",18.8,"87,694",89.6,"10,172",10.4,0,0
Delaware - Municipalities,-,"693,462","131,486",19,"127,518",97,"3,968",3,0,0
District of Columbia - Total,686,"16,593,661","870,775",5.1,"593,345",67.5,"132,515",15.8,"144,915",16.7
"District of Columbia - Local, total",-,"16,593,661","870,775",5.1,"593,345",67.5,"132,515",15.8,"144,915",16.7
District of Columbia - Municipality,-,"13,377,697","870,775",6.8,"593,345",67.5,"132,515",15.8,"144,915",16.7
Florida - Total ,"20,613","167,777,134","14,834,859",8.8,"7,869,704",53,"2,518,119",17,"4,447,036",30
Florida - State,-,"68,456,450","4,626,824",6.8,"586,992",12.7,"1,532,688",33.1,"2,507,144",54.2
"Florida - Local, total",-,"99,320,684","10,208,035",10.3,"7,282,712",71.3,"985,431",9.7,"1,939,892",19
Florida - Counties,-,"29,141,737","6,559,911",22.5,"3,819,503",58.2,"854,858",13,"1,885,550",28.7
Florida - Municipalities,-,"24,454,282","3,648,124",14.9,"3,463,209",94.9,"130,573",3.6,"54,342",1.5
Georgia - Total,"10,302","82,044,149","5,964,529",7.3,"2,667,236",44.7,"1,307,792",21.9,"1,989,501",33.4
Georgia - State,-,"35,623,824","1,872,406",5.3,"352,890",18.8,"325,398",17.4,"1,194,118",63.8
"Georgia - Local, total",-,"46,420,325","4,092,123",8.8,"2,314,346",56.6,"982,394",24,"795,383",19.4
Georgia - Counties,-,"9,524,701","2,735,803",28.7,"1,213,491",44.4,"841,194",30.7,"681,118",24.9
Georgia - Municipalities,-,"9,497,426","1,356,320",14.3,"1,100,855",81.2,"141,200",10.4,"114,265",8.4
Hawaii - Total,"1,428","16,353,263","975,399",6,"457,839",46.9,"300,445",30.8,"217,115",22.3
Hawaii - State,-,"12,071,739","501,622",4.2,"37,632",7.5,"246,875",49.2,"217,115",43.3
"Hawaii - Local, total",-,"4,281,524","473,777",11.1,"420,207",88.7,"53,570",11.3,0,0
Hawaii - Counties,-,"1,346,005","169,795",12.6,"144,749",85.2,"25,046",14.8,0,0
