Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: jeee16t04.csv,,,,,,,,,,,,,,,,,,,,
"Table 4. Justice system expenditure, by character, state, and type of government, fiscal 2016",,,,,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2016 - Final NCJ 300061",,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Table 4. Justice system expenditure, by character, state, and type of government, fiscal 2016",,,,,,,,,,,,,,,,,,,,
(Thousands of dollars),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
State and type of government,Total justice system total expenditure/a,Total justice system total direct expenditure,Total justice system direct current expenditure,Total justice system capital outlay ,Total justice system intergovernmental expenditure total,Police protection total expenditure/a,Police protection total direct expenditure,Police protection direct current expenditure,Police protection capital outlay,Police protection intergovernmental expenditure total,Judicial and legal total expenditure/a,Judicial and legal total direct expenditure,Judicial and legal direct current expenditure,Judicial and legal capital outlay,Judicial and legal intergovernmental expenditure total ,Corrections total expenditure/a,Corrections total direct expenditure,Corrections direct current expenditure,Corrections capital outlay,Corrections intergovernmental expenditure total
"U.S. - States-local, total","238,664,332","232,885,681","225,402,116","7,483,565",-,"109,922,747","108,499,902","104,751,613","3,748,289",-,"48,244,748","46,186,244","44,874,615","1,311,629",-,"80,496,837","78,199,535","75,775,888","2,423,647",-
U.S. - State,"91,245,088","86,201,819","83,400,060","2,801,759","5,043,269","15,798,190","14,384,724","13,752,106","632,618","1,413,466","23,966,239","22,602,228","22,001,362","600,866","1,364,011","51,480,659","49,214,867","47,646,592","1,568,275","2,265,792"
"U.S. - Local, total","147,419,244","146,683,862","142,002,056","4,681,806","735,382","94,124,557","94,115,178","90,999,507","3,115,671","9,379","24,278,509","23,584,016","22,873,253","710,763","694,493","29,016,178","28,984,668","28,129,296","855,372","31,510"
U.S. - Counties,"72,613,279","71,738,357","69,310,941","2,427,416","874,922","29,469,869","29,400,188","28,271,363","1,128,825","69,681","18,604,830","17,904,239","17,296,092","608,147","700,591","24,538,580","24,433,930","23,743,486","690,444","104,650"
U.S. - Municipalities,"70,743,709","69,079,296","66,979,779","2,099,517","1,664,413","61,265,591","59,812,413","57,959,499","1,852,914","1,453,178","5,345,650","5,291,278","5,190,443","100,835","54,372","4,132,468","3,975,605","3,829,837","145,768","156,863"
Alabama - Total,"2,378,412","2,333,371","2,257,258","76,113",-,"1,254,909","1,249,556","1,208,140","41,416",-,"365,131","362,247","356,225","6,022",-,"758,372","721,568","692,893","28,675",-
Alabama - State,"914,269","870,057","842,076","27,981","44,212","170,514","165,168","155,408","9,760","5,346","202,230","200,146","197,747","2,399","2,084","541,525","504,743","488,921","15,822","36,782"
"Alabama - Local, total","1,464,143","1,463,314","1,415,182","48,132",829,"1,084,395","1,084,388","1,052,732","31,656",7,"162,901","162,101","158,478","3,623",800,"216,847","216,825","203,972","12,853",22
Alabama - Counties,"657,494","643,464","621,987","21,477","14,030","371,788","357,758","351,819","5,939","14,030","90,787","90,787","87,521","3,266",0,"194,919","194,919","182,647","12,272",0
Alabama - Municipalities,"821,912","819,850","793,195","26,655","2,062","726,955","726,630","700,913","25,717",325,"72,508","71,314","70,957",357,"1,194","22,448","21,906","21,325",581,542
Alaska - Total,"985,612","961,960","924,552","37,408",-,"391,207","368,170","347,826","20,344",-,"254,663","254,253","251,337","2,916",-,"339,742","339,537","325,389","14,148",-
Alaska - State,"698,009","674,357","657,528","16,829","23,652","140,154","117,117","116,547",570,"23,037","225,412","225,002","222,862","2,140",410,"332,443","332,238","318,119","14,119",205
"Alaska - Local, total","287,603","287,603","267,024","20,579",0,"251,053","251,053","231,279","19,774",0,"29,251","29,251","28,475",776,0,"7,299","7,299","7,270",29,0
Alaska - Boroughs,"37,458","37,458","31,614","5,844",0,"23,697","23,697","17,868","5,829",0,"12,050","12,050","12,048",2,0,"1,711","1,711","1,698",13,0
Alaska - Municipalities,"250,145","250,145","235,410","14,735",0,"227,356","227,356","213,411","13,945",0,"17,201","17,201","16,427",774,0,"5,588","5,588","5,572",16,0
Arizona - Total,"5,067,700","4,961,846","4,875,246","86,600",-,"2,294,020","2,267,170","2,208,604","58,566",-,"1,049,085","1,008,079","1,002,223","5,856",-,"1,724,595","1,686,597","1,664,419","22,178",-
Arizona - State,"1,515,881","1,410,214","1,389,383","20,831","105,667","247,559","220,801","212,643","8,158","26,758","193,064","152,058","151,324",734,"41,006","1,075,258","1,037,355","1,025,416","11,939","37,903"
"Arizona - Local, total","3,551,819","3,551,632","3,485,863","65,769",187,"2,046,461","2,046,369","1,995,961","50,408",92,"856,021","856,021","850,899","5,122",0,"649,337","649,242","639,003","10,239",95
Arizona - Counties,"1,751,050","1,750,596","1,733,257","17,339",454,"418,490","418,036","414,959","3,077",454,"684,248","684,248","680,159","4,089",0,"648,312","648,312","638,139","10,173",0
Arizona - Municipalities,"1,824,556","1,801,036","1,752,606","48,430","23,520","1,639,991","1,628,333","1,581,002","47,331","11,658","171,773","171,773","170,740","1,033",0,"12,792",930,864,66,"11,862"
