Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: jeee16t05.csv,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2016",,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2016 - Final NCJ 300061",,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2016",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State and type of government,Total full-time equivalent employment/a,Total justice system total number of employees,Total justice system number of full-time employees only,Total justice system number of full-time equivalent employees,Total justice system full-time equivalent employees as a percent of total ,Police protection total number of employees,Police protection full-time employees only,Police protection number of full-time equivalent employees,Police protection full-time equivalent employees as a percent of total justice system,Judicial and legal total number of employees,Judicial and legal full-time employees only,Judicial and legal full-time equivalent employees,Judicial and legal full-time equivalent employees as a percent of total justice system,Corrections total number of employees,Corrections full-time employees only,Corrections full-time equivalent employees ,Corrections full-time equivalent employees as a percent of total justice system 
"U.S. - States-local, total","16,435,105","2,129,988","1,972,915","2,039,299",12.4,"977,613","883,878","921,124",45.2,438273,"397,946","414,629",20.3,"714,102","691,091","703,546",34.5
U.S. - State,"4,360,635","727,269","707,321","717,774",16.5,"103,282","100,361","101,421",14.1,179223,"170,762","175,205",24.4,"444,764","436,198","441,148",61.5
"U.S. - Local, total","12,074,470","1,402,719","1,265,594","1,321,525",10.9,"874,331","783,517","819,703",62,259050,"227,184","239,424",18.1,"269,338","254,893","262,398",19.9
U.S. - Counties,"2,706,499","714,578","651,587","677,436",25,"289,281","260,435","271,121",40,197164,"175,984","184,574",27.2,"228,133","215,168","221,741",32.7
U.S. - Municipalities,"2,970,595","647,568","582,771","609,979",20.5,"551,025","496,560","519,591",85.2,59066,"49,978","53,363",8.7,"37,477","36,233","37,025",6.1
Alabama - Total,"280,681","28,180","25,815","26,963",9.6,"14,821","13,561","14,149",52.5,5076,"4,439","4,731",17.5,"8,283","7,815","8,083",30
Alabama - State,"90,141","9,134","8,580","8,903",9.9,"1,303","1,284","1,291",14.5,3167,"2,855","3,048",34.2,"4,664","4,441","4,564",51.3
"Alabama - Local, total","190,540","19,046","17,235","18,060",9.5,"13,518","12,277","12,858",71.2,1909,"1,584","1,683",9.3,"3,619","3,374","3,519",19.5
Alabama - Counties,"20,501","8,384","7,415","7,835",38.2,"4,064","3,522","3,752",47.9,1121,933,983,12.5,"3,199","2,960","3,100",39.6
Alabama - Municipalities,"40,511","10,662","9,820","10,225",25.2,"9,454","8,755","9,106",89.1,788,651,700,6.8,420,414,419,4.1
