Bureau of Justice Statistics,,,,,,,,,
Filename: jeee16t06.csv,,,,,,,,,
"Table 6. Percent distribution of justice system payrolls, by state and type of government, March 2016",,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2016 - Final NCJ 300061",,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,
,,,,,,,,,
"Table 6. Percent distribution of justice system payrolls, by state and type of government, March 2016",,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,
,,,,,,,,,
State and type of government,Total March payrolls/a,Total justice system March payrolls,Total justice system as a percent of total March payrolls/b,Police protection March payrolls,Police protection as a percent of total justice system March payrolls/b,Judicial and legal March payrolls,Judicial and legal as a percent of total justice system March payrolls/b,Corrections March payrolls,Corrections as a percent of total justice system March payrolls/b
"U.S. - States-local, total","77,324,657","10,901,685",14.1,"5,418,639",49.7,"2,219,897",20.4,"3,263,149",29.9
U.S. - State,"22,148,678","3,637,242",16.4,"623,297",17.1,"991,258",27.3,"2,022,687",55.6
"U.S. - Local, total","55,175,979","7,264,443",13.2,"4,795,342",66,"1,228,639",16.9,"1,240,462",17.1
U.S. - Counties,"12,424,240","3,414,579",27.5,"1,459,693",42.7,"938,903",27.5,"1,015,983",29.8
U.S. - Municipalities,"15,545,250","3,627,033",23.3,"3,133,946",86.4,"281,653",7.8,"211,434",5.8
Alabama - Total,"1,067,317","105,049",9.8,"55,949",53.3,"20,467",19.5,"28,633",27.3
Alabama - State,"396,746","37,020",9.3,"5,148",13.9,"14,292",38.6,"17,580",47.5
"Alabama - Local, total","670,572","68,029",10.1,"50,801",74.7,"6,175",9.1,"11,053",16.2
Alabama - Counties,"68,067","26,819",39.4,"14,105",52.6,"3,138",11.7,"9,576",35.7
Alabama - Municipalities,"152,781","41,208",27,"36,695",89,"3,037",7.4,"1,476",3.6
Alaska - Total,"290,332","37,137",12.8,"13,259",35.7,"9,967",26.8,"13,911",37.5
Alaska - State,"143,228","27,090",18.9,"4,290",15.8,"9,242",34.1,"13,558",50
"Alaska - Local, total","147,104","10,048",6.8,"8,969",89.3,726,7.2,353,3.5
Alaska - Boroughs,"57,704",964,1.7,625,64.8,271,28.1,68,7.1
Alaska - Municipalities,"86,236","9,085",10.5,"8,345",91.9,455,5,285,3.1
Arizona - Total,"1,222,891","223,375",18.3,"114,392",51.2,"52,303",23.4,"56,680",25.4
Arizona - State,"331,117","56,542",17.1,"9,973",17.6,"11,654",20.6,"34,915",61.8
"Arizona - Local, total","891,775","166,833",18.7,"104,419",62.6,"40,649",24.4,"21,765",13
Arizona - Counties,"139,856","81,837",58.5,"28,726",35.1,"31,793",38.8,"21,318",26
Arizona - Municipalities,"245,860","84,996",34.6,"75,693",89.1,"8,856",10.4,447,0.5
