Bureau of Justice Statistics,,,,,,,,,,,
Filename: jeee16t07.csv,,,,,,,,,,,
"Table 7. Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment, by state and type of government, March 2016",,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2016 - Final NCJ 300061",,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,
,,,,,,,,,,,
"Table 7. Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment, by state and type of government, March 2016",,,,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,,,
,,,,,,,,,,,
States and type of government,Total police protection full-time equivalent employment,Sworn total number of employees,Sworn full-time employees only,Sworn full-time equivalent employees,Sworn employees as a percent of total police protection full-time equivalent,Sworn March payrolls,Nonsworn total number of employees,Nonsworn full-time employees only,Nonsworn full-time equivalent employees,Nonsworn employees as a percent of total police protection full-time equivalent,Nonsworn March payrolls
"U.S. - States-local, total","921,124","722,847","687,643","702,108",76.2,"4,466,980","254,766","196,235","219,016",23.8,"951,658"
U.S. - State,"101,421","65,259","64,692","64,831",63.9,"460,327","38,023","35,669","36,590",36.1,"162,971"
"U.S. - Local, total","819,703","657,588","622,951","637,277",77.7,"4,006,654","216,743","160,566","182,426",22.3,"788,688"
U.S. - Counties,"271,121","203,852","189,131","193,765",71.5,"1,115,145","85,429","71,304","77,356",28.5,"344,548"
U.S. - Municipalities,"519,591","428,575","411,238","420,107",80.9,"2,711,989","122,450","85,322","99,484",19.1,"421,957"
Alabama - Total,"14,149","11,495","10,925","11,189",79.1,"47,158","3,326","2,636","2,960",20.9,"8,792"
Alabama - State,"1,291",819,819,819,63.4,"3,709",484,465,472,36.6,"1,440"
"Alabama - Local, total","12,858","10,676","10,106","10,370",80.7,"43,449","2,842","2,171","2,488",19.3,"7,352"
Alabama - Counties,"3,752","3,174","2,826","2,953",78.7,"11,938",890,696,799,21.3,"2,167"
Alabama - Municipalities,"9,106","7,502","7,280","7,417",81.5,"31,510","1,952","1,475","1,689",18.5,"5,185"
Alaska - Total,"1,904","1,186","1,131","1,155",60.7,"9,407",801,726,749,39.3,"3,852"
Alaska - State,650,293,293,293,45.1,"2,515",390,347,357,54.9,"1,775"
"Alaska - Local, total","1,254",893,838,862,68.7,"6,892",411,379,392,31.3,"2,077"
Alaska - Boroughs,107,78,70,73,68.2,457,34,34,34,31.8,168
Alaska - Municipalities,"1,147",815,768,789,68.8,"6,435",377,345,358,31.2,"1,910"
Arizona - Total,"19,659","14,235","14,152","14,189",72.2,"88,574","5,594","5,361","5,470",27.8,"25,818"
Arizona - State,"1,932","1,167","1,167","1,167",60.4,"6,525",796,752,765,39.6,"3,448"
"Arizona - Local, total","17,727","13,068","12,985","13,022",73.5,"82,050","4,798","4,609","4,705",26.5,"22,370"
Arizona - Counties,"5,769","4,480","4,419","4,443",77,"22,691","1,340","1,313","1,326",23,"6,035"
Arizona - Municipalities,"11,958","8,588","8,566","8,579",71.7,"59,358","3,458","3,296","3,379",28.3,"16,335"
Arkansas - Total,"8,822","6,924","6,442","6,611",74.9,"24,437","2,365","2,110","2,211",25.1,"6,335"
Arkansas - State,"1,214",542,542,542,44.6,"2,503",681,665,672,55.4,"2,194"
"Arkansas - Local, total","7,608","6,382","5,900","6,069",79.8,"21,934","1,684","1,445","1,539",20.2,"4,140"
Arkansas - Counties,"2,293","1,986","1,686","1,752",76.4,"5,165",607,508,541,23.6,"1,424"
Arkansas - Municipalities,"5,315","4,396","4,214","4,317",81.2,"16,769","1,077",937,998,18.8,"2,716"
California - Total,"100,558","72,668","70,890","71,629",71.2,"676,109","31,478","26,586","28,929",28.8,"169,638"
California - State,"11,216","7,879","7,660","7,675",68.4,"78,183","3,565","3,516","3,541",31.6,"15,882"
"California - Local, total","89,342","64,789","63,230","63,954",71.6,"597,927","27,913","23,070","25,388",28.4,"153,756"
California - Counties,"40,761","29,023","27,949","28,453",69.8,"246,797","12,604","11,704","12,308",30.2,"75,017"
