Bureau of Justice Statistics,,,,,,,,,,
Filename: jeee16t08.csv,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2016) and full-time equivalent justice employment per 10,000 population (March 2016) of state and local governments, by activity and state",,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2016 - Final NCJ 300061",,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,
,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2016) and full-time equivalent justice employment per 10,000 population (March 2016) of state and local governments, by activity and state",,,,,,,,,,
,,,,,,,,,,
State,Population 2016,Total justice system per capita expenditure,Police protection per capita expenditure,Judicial and legal per capita expenditure,Corrections per capita expenditure,"Total justice system full-time equivalent employment per 10,000 population","Police protection total full-time equivalent employment per 10,000 population","Police protection sworn full-time equivalent employment only per 10,000 population","Judicial and legal full-time equivalent employment per 10,000 population","Corrections full-time equivalent employment per 10,000 population"
U.S. total,"322,941,311",721.14,335.97,143.02,242.15,63.15,28.52,21.74,12.84,21.79
Alabama,"4,863,525",479.77,256.92,74.48,148.36,55.44,29.09,23.01,9.73,16.62
Alaska,"741,456","1,297.39",496.55,342.91,457.93,77.19,25.68,15.58,20.08,31.42
Arizona,"6,941,072",714.85,326.63,145.23,242.99,66.11,28.32,20.44,15.92,21.86
Arkansas,"2,989,918",470.78,227.56,74.52,168.7,68.45,29.51,22.11,11.53,27.42
California,"39,167,117","1,064.74",448.28,221.53,394.93,59.91,25.67,18.29,11.33,22.91
Colorado,"5,539,215",715.55,330.26,148.87,236.42,62.83,28.13,19.82,14.1,20.61
Connecticut,"3,578,141",740.8,349.16,200.8,190.84,61.59,28.15,22.44,17.24,16.21
Delaware,"948,921",911.05,373.5,209.91,327.65,78.63,27.46,21.58,20.29,30.88
District of Columbia,"685,815","1,269.69",865.17,193.22,211.3,112.65,63.43,54.91,29.42,19.8
Florida,"20,613,477",719.67,381.77,122.16,215.73,64.47,29.71,19.79,15.13,19.62
Georgia,"10,301,890",578.97,258.91,126.95,193.12,66.33,26.66,21.33,13.89,25.78
Hawaii,"1,427,559",683.26,320.71,210.46,152.09,68.65,28.55,22.13,23.59,16.5
Idaho,"1,682,380",590.17,256.05,118.4,215.72,61.66,24.06,16.56,13.15,24.45
Illinois,"12,820,527",677.03,405.63,124.45,146.95,60.37,31.97,25.51,10.68,17.72
Indiana,"6,634,304",434.59,188.96,89.69,155.94,53.14,23.61,17.99,11.39,18.14
Iowa,"3,131,371",502.63,248.76,112.17,141.7,47.08,22.95,17.32,10.16,13.98
Kansas,"2,910,844",558.41,270.94,108.55,178.93,66.27,31.25,22.14,13.23,21.79
Kentucky,"4,438,182",475.02,159.73,125.29,190.01,55.93,21.95,17.2,16.05,17.92
Louisiana,"4,678,135",733.34,341.82,148.44,243.08,79.39,37.75,28.8,15.42,26.22
Maine,"1,331,317",491.54,217.79,80.31,193.44,42.66,21.34,17.34,7.29,14.03
Maryland,"6,003,323",914.37,442.31,154.76,317.3,71.71,31.73,23.08,14.21,25.77
Massachusetts,"6,823,608",669.57,318.04,146.58,204.95,61.37,29.65,24.11,14,17.73
Michigan,"9,950,571",622.9,252.15,117.36,253.39,49.58,20.81,16.68,10.77,18
Minnesota,"5,522,744",659.6,345.53,135.35,178.72,51.9,22.52,16.53,11.43,17.95
Mississippi,"2,987,938",511.09,253.32,91.3,166.47,57.7,32.38,24.31,8.92,16.4
