Bureau of Justice Statistics,,,,,,,,
Filename: jeee16t18.csv,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2016 - Final NCJ 300061",,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,
Date of version: 07/07/2021,,,,,,,,
,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
,,,,,,,,
State,Estimated population as of 7/1/2016 (thousands),"Personal income, calendar year 2016, amount (millions of dollars)/a","Personal income, calendar year 2016, per capita/a","Expenditures, fiscal 2016 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2016 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2016 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, 3/1/2016, all functions","Full-time equivalent employment, 3/1/2016, general functions only/c"
U.S. total,"322,941","16,111,636","49,890","2,244,466,985","1,701,713,640","1,915,359,638","4,360,635","4,313,151"
Alabama,"4,864","190,815","39,230","31,582,710","24,910,661","27,719,883","90,141","89,324"
Alaska,741,"41,536","56,054","12,359,938","10,321,860","10,797,248","25,073","25,073"
Arizona,"6,941","282,478","40,697","36,928,099","27,776,472","32,631,188","72,316","72,311"
Arkansas,"2,990","120,060","40,154","22,427,443","16,488,063","20,486,982","62,476","62,476"
California,"39,167","2,263,890","57,801","343,799,050","239,075,372","293,486,671","414,679","414,679"
Colorado,"5,539","289,581","52,280","34,229,139","27,068,452","28,725,667","87,844","87,844"
Connecticut,"3,578","249,581","69,754","28,148,820","22,242,094","23,102,325","62,863","62,863"
Delaware,949,"46,042","48,516","9,281,102","7,751,594","8,428,990","25,881","24,977"
Florida,"20,613","942,461","45,722","85,763,417","68,456,450","76,581,069","178,571","177,803"
Georgia,"10,302","439,943","42,705","47,459,456","35,623,824","41,051,840","128,151","128,151"
Hawaii,"1,428","72,879","51,036","12,365,540","12,071,739","10,980,347","58,777","58,777"
Idaho,"1,682","68,445","40,693","9,161,671","6,916,515","7,945,384","24,025","23,778"
Illinois,"12,821","670,504","52,297","79,673,954","59,739,100","63,979,911","123,611","123,611"
Indiana,"6,634","290,148","43,737","39,249,194","29,502,387","36,286,332","89,278","89,278"
Iowa,"3,131","145,411","46,442","22,900,620","17,579,874","20,144,637","51,005","51,005"
Kansas,"2,911","138,315","47,515","18,652,551","13,898,066","16,760,093","52,118","52,118"
Kentucky,"4,438","175,921","39,640","34,574,385","29,789,595","30,119,246","85,606","85,606"
Louisiana,"4,678","199,879","42,727","31,382,182","24,887,484","26,919,597","73,796","73,796"
Maine,"1,331","59,697","44,851","8,917,608","7,641,299","7,898,641","20,647","20,637"
Maryland,"6,003","354,451","59,046","43,902,288","34,416,452","37,992,585","85,928","85,224"
Massachusetts,"6,824","446,918","65,492","64,190,467","55,193,406","53,992,756","99,315","98,832"
Michigan,"9,951","446,521","44,872","70,110,424","49,292,114","61,174,932","144,350","144,350"
Minnesota,"5,523","293,894","53,213","46,326,308","32,974,701","40,486,858","82,697","79,714"
Mississippi,"2,988","106,424","35,617","21,860,791","16,592,848","18,935,661","56,841","56,573"
Missouri,"6,087","269,881","44,337","32,964,751","26,754,949","28,374,015","87,140","87,140"
Montana,"1,041","45,508","43,716","7,020,952","5,912,038","5,976,120","20,392","20,360"
Nebraska,"1,906","94,731","49,701","10,663,426","8,156,651","9,922,974","31,924","31,924"
Nevada,"2,918","131,294","44,995","14,656,453","10,276,629","12,023,658","28,314","28,279"
New Hampshire,"1,342","75,817","56,496","8,534,007","6,801,165","7,235,295","19,092","18,416"
New Jersey,"8,871","556,440","62,726","77,324,516","60,574,132","61,255,819","139,043","127,857"
New Mexico,"2,092","81,252","38,839","20,808,142","15,834,431","18,484,110","45,775","45,775"
New York,"19,633","1,202,569","61,252","194,351,031","131,195,967","154,243,969","242,184","224,537"
North Carolina,"10,155","433,196","42,658","55,720,833","41,597,188","49,497,199","140,047","140,047"
North Dakota,754,"39,622","52,549","8,302,530","5,866,326","7,275,698","19,321","19,321"
Ohio,"11,634","524,044","45,044","85,802,240","67,693,493","67,747,260","137,846","137,846"
Oklahoma,"3,926","164,419","41,880","24,714,458","20,227,158","21,169,255","68,649","67,998"
Oregon,"4,090","190,241","46,514","36,172,358","30,591,099","30,275,433","68,128","67,951"
Pennsylvania,"12,782","659,803","51,620","96,739,063","76,470,073","81,388,165","162,573","157,985"
Rhode Island,"1,057","53,426","50,545","8,884,859","7,679,047","7,502,716","18,302","17,512"
