Bureau of Justice Statistics,,,,,,
Filename: jeee16t19.csv,,,,,,
Table 19. Supplemental data for 106 large county governments,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2016 - Final NCJ 300061",,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version: 07/07/2021,,,,,,
,,,,,,
Table 19. Supplemental data for 106 large county governments,,,,,,
,,,,,,
County,Population 2016/a,"Expenditures, fiscal 2016 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2016 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2016 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, March 2016, all functions","Full-time equivalent employment, March 2016, general functions only/c"
"Alameda, CA","1,650,306","4,056,392","4,021,112","3,558,732","13,336","13,336"
"Allegheny, PA","1,226,660","1,796,350","1,764,974","1,676,015","6,374","6,374"
"Anne Arundel, MD","567,665","2,467,533","2,425,408","2,324,947","17,140","17,065"
"Arapahoe, CO","638,571","357,783","356,520","325,426","2,335","2,335"
"Baltimore, MD","828,616","3,885,847","3,810,468","3,434,969","26,852","26,852"
"Bergen, NJ","928,979","1,234,448","1,192,288","1,234,448","4,736","4,736"
"Bernalillo, NM","678,165","344,165","334,264","344,165","2,478","2,478"
"Bexar, TX","1,929,530","2,052,475","2,018,279","2,052,364","12,419","12,419"
"Brevard, FL","577,338","529,953","522,153","488,575","4,042","3,906"
"Bristol, MA","557,848","58,508","58,507","21,435",147,147
"Broward, FL","1,912,977","2,354,023","2,354,023","2,113,369","11,068","9,824"
"Bucks, PA","625,925","466,854","463,439","463,439","2,623","2,623"
"Camden, NJ","507,075","596,891","553,888","596,891","3,806","3,806"
"Clark, NV","2,140,547","5,290,120","5,243,550","4,705,606","19,986","18,505"
"Cobb, GA","748,563","1,237,063","1,143,477","991,347","4,624","4,426"
"Collin, TX","943,719","253,545","253,545","253,545","1,959","1,959"
"Contra Costa, CA","1,137,194","3,430,585","3,368,277","3,025,055","8,051","8,051"
"Cook, IL","5,228,455","4,731,393","4,720,878","3,940,470","21,459","21,459"
"Cuyahoga, OH","1,254,482","2,204,466","2,169,136","2,204,466","14,424","14,424"
"Dade, FL","2,722,574","7,748,628","7,748,628","6,857,709","37,680","33,035"
"Dallas, TX","2,592,844","3,095,829","3,095,829","3,046,438","19,267","19,267"
"DeKalb, GA","747,482","1,204,454","1,204,454","876,180","6,196","5,900"
"Delaware, PA","563,490","724,791","717,455","692,685","2,721","2,721"
"Denton, TX","807,883","278,604","275,456","278,604","2,025","2,025"
"Douglas, NE","555,358","388,644","388,644","364,367","3,070","3,070"
"Du Page, IL","931,680","384,430","371,023","381,412","2,398","2,396"
"El Paso, CO","688,687","340,334","340,287","313,000","2,583","2,583"
"El Paso, TX","838,014","839,386","839,386","835,921","5,600","5,600"
"Erie, NY","918,479","2,404,877","1,687,768","2,363,333","8,986","8,764"
"Essex, NJ","792,617","961,676","895,020","958,155","4,728","4,728"
"Fairfax, VA","1,143,229","6,429,630","6,302,183","5,382,828","43,803","43,356"
"Fort Bend, TX","743,303","361,458","361,458","361,458","2,456","2,439"
"Franklin, OH","1,274,580","1,473,066","1,468,710","1,466,065","6,146","6,146"
"Fresno, CA","977,956","1,912,572","1,859,512","1,655,572","8,182","8,182"
"Fulton, GA","1,022,714","1,015,601","914,277","799,768","5,054","5,018"
"Gwinnet, GA","905,277","1,316,940","1,280,908","994,579","5,073","4,855"
"Hamilton, OH","811,572","1,133,946","1,027,140","1,133,946","4,786","4,786"
"Harris, TX","4,629,189","5,064,844","5,064,780","5,017,988","27,963","27,947"
"Hennepin, MN","1,235,875","2,649,941","2,563,355","2,540,149","7,813","7,813"
"Hidalgo, TX","850,798","428,910","427,919","428,910","2,208","2,208"
"Hillsborough, FL","1,380,991","1,905,224","1,886,219","1,625,339","9,426","9,043"
"Hudson, NJ","668,928","912,153","673,938","909,274","4,365","4,365"
"Jackson, MO","692,255","252,035","252,035","240,967","1,126","1,126"
"Jefferson, AL","660,326","519,503","519,503","461,624","2,808","2,808"
"Jefferson, CO","571,779","411,602","390,209","411,602","3,124","3,124"
"Johnson, KS","585,921","581,989","504,592","573,284","3,578","3,568"
"Kane, IL","531,463","207,385","207,304","207,385","1,350","1,347"
"Kent, MI","643,927","677,998","677,998","612,278","1,960","1,960"
"Kern, CA","882,361","2,289,217","2,200,567","2,014,573","9,740","9,740"
"King, WA","2,166,602","3,052,334","3,051,379","2,216,378","13,411","9,191"
"Lake, IL","704,644","509,087","508,930","499,809","2,502","2,466"
"Lake, IN","486,199","222,764","219,739","222,542","2,428","2,428"
"Lancaster, PA","538,069","367,374","366,919","367,063","1,754","1,754"
"Lee, FL","722,386","884,178","879,538","805,772","4,630","4,218"
"Los Angeles, CA","10,120,540","24,752,571","24,356,471","21,638,457","102,976","102,879"
"Macomb, MI","868,739","842,924","822,884","779,647","2,516","2,516"
"Maricopa, AZ","4,258,603","2,094,133","1,870,922","2,094,133","13,201","13,201"
"Mecklenburg, NC","1,056,665","2,844,727","2,771,807","2,708,651","26,934","26,934"
"Middlesex, NJ","825,907","721,864","714,486","721,864","3,706","3,706"
"Milwaukee, WI","955,057","1,639,159","1,639,159","1,263,124","6,781","5,736"
"Monmouth, NJ","623,286","689,253","654,809","689,213","4,244","4,244"
"Monroe, NY","743,531","1,995,138","1,310,171","1,976,836","5,624","5,416"
"Montgomery, MD","1,040,245","7,807,219","7,687,009","6,628,459","37,567","36,726"
"Montgomery, OH","531,863","493,644","465,594","462,565","4,417","4,247"
"Montgomery, PA","820,084","549,085","529,068","544,813","3,344","3,344"
"Multnomah, OR","803,741","1,120,035","1,084,923","1,120,035","4,941","4,941"
"Nassau, NY","1,356,463","4,189,761","3,844,299","4,098,207","13,499","13,499"
"New Castle, DE","555,403","371,461","371,461","333,688","1,659","1,659"
"Norfolk, MA","697,353","103,552","103,552","41,651",205,205
"Oakland, MI","1,251,126","1,221,485","1,188,839","1,125,330","3,989","3,989"
"Ocean, NJ","590,990","571,315","567,684","571,255","3,438","3,313"
"Oklahoma, OK","785,333","106,376","106,376","104,554","1,984","1,984"
"Orange, CA","3,170,707","4,258,491","4,145,498","3,582,245","19,620","19,603"
"Orange, FL","1,324,843","2,030,032","1,965,008","1,939,244","10,586","9,974"
"Palm Beach, FL","1,451,384","2,210,940","2,177,940","2,033,741","10,516","9,972"
"Passaic, NJ","503,853","616,119","586,792","616,106","3,641","3,641"
"Pierce, WA","860,072","680,400","680,394","680,300","2,926","2,926"
"Pima, AZ","1,017,624","1,047,130","1,047,127","1,034,709","6,431","6,376"
"Pinellas, FL","960,737","1,138,189","1,106,177","1,053,637","5,490","5,277"
