Bureau of Justice Statistics,,,,,,
Filename: jeee16t20.csv,,,,,,
Table 20. Supplemental data for 66 large city governments,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2016 - Final NCJ 300061",,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version: 07/07/2021,,,,,,
,,,,,,
Table 20. Supplemental data for 66 large city governments,,,,,,
,,,,,,
City,Population 2016/a,"Expenditures, fiscal 2016 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2016 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2016 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, March 2016, all functions","Full-time equivalent employment, March 2016, general functions only/c"
"Albuquerque, NM","559,626","1,030,313","1,029,810","839,075","6,663","5,950"
"Anaheim, CA","350,848","1,326,158","1,316,942","841,387","2,285","1,935"
"Arlington, TX","394,780","492,994","492,994","439,306","2,592","2,449"
"Atlanta, GA","478,916","2,197,379","2,197,379","1,662,612","8,266","8,065"
"Aurora, CO","362,941","684,467","659,502","528,363","2,750","2,389"
"Austin, TX","939,768","3,684,408","3,684,408","1,905,350","13,481","11,219"
"Bakersfield, CA","375,844","480,070","480,070","450,991","1,516","1,490"
"Baltimore, MD","615,849","4,212,975","4,174,149","3,561,318","25,709","24,197"
"Baton Rouge, LA","226,397","1,223,997","1,207,823","1,110,291","6,816","6,540"
"Boston, MA","680,470","4,209,619","3,847,456","3,433,895","20,087","19,868"
"Buffalo, NY","256,960","1,392,481","1,390,873","1,381,363","8,973","8,863"
"Charlotte, NC","842,937","2,002,960","1,990,254","1,403,599","7,684","6,504"
"Chicago, IL","2,718,946","10,498,006","10,498,006","7,931,156","31,625","29,787"
"Cleveland, OH","387,708","1,383,065","1,379,673","959,901","7,186","6,038"
"Cincinnati, OH","299,707","1,141,639","1,091,839","841,351","5,355","4,601"
"Colorado Springs, CO","458,531","1,229,250","1,228,641","451,348","6,726","5,143"
"Columbus, OH","866,918","1,948,635","1,947,203","1,566,962","8,418","7,814"
"Corpus Christi, TX","325,947","643,792","629,322","432,270","2,844","2,549"
"Dallas, TX","1,324,477","3,940,426","3,928,999","3,107,239","14,836","13,580"
"Denver, CO","696,618","3,045,884","3,036,408","2,536,585","13,128","12,017"
"Detroit, MI","676,883","2,841,958","2,831,700","1,898,541","11,759","9,124"
"El Paso, TX","681,485","1,116,240","1,116,037","737,720","6,171","5,403"
"Fort Worth, TX","856,902","1,594,692","1,594,692","1,227,551","6,455","5,905"
"Fresno, CA","521,986","828,356","824,222","556,655","3,232","2,601"
"Honolulu, HI","992,692","2,868,909","2,868,909","1,805,520","10,426","9,857"
"Houston, TX","2,309,752","5,079,571","5,041,946","4,023,459","21,671","21,071"
"Indianapolis, IN","867,118","4,010,856","4,010,005","2,929,761","13,859","12,294"
"Jacksonville, FL","880,495","3,745,538","3,745,538","1,678,646","9,672","7,726"
"Kansas City, MO","481,626","1,916,644","1,860,258","1,608,660","6,289","5,649"
"Las Vegas, NV","626,950","813,543","664,297","813,542","2,809","2,809"
"Long Beach, CA","469,435","1,816,013","1,816,013","1,615,552","5,355","4,289"
"Los Angeles, CA","3,969,262","17,526,852","17,526,852","10,122,378","53,297","43,985"
"Louisville - Jefferson, KY","767,711","1,571,097","1,550,522","1,210,247","7,948","6,904"
"Memphis, TN","653,184","2,995,500","2,995,422","1,024,030","10,523","7,422"
"Mesa, AZ","491,041","827,106","827,106","642,196","3,666","3,389"
"Miami, FL","454,293","1,069,199","1,069,169","854,931","3,839","3,839"
"Milwaukee, WI","597,123","1,604,544","1,604,544","1,195,048","6,486","6,189"
"Minneapolis, MN","415,239","1,181,049","1,181,049","1,123,243","5,188","4,942"
"Nashville, TN","687,430","4,302,330","4,300,633","2,660,065","21,320","19,854"
"New Orleans, LA","391,977","1,764,296","1,764,296","1,597,172","6,138","5,200"
"New York, NY","8,475,976","123,240,273","115,004,447","95,476,998","425,913","374,886"
"Newark, NJ","280,628","886,608","823,328","845,192","3,737","3,604"
"Oakland, CA","420,798","1,520,748","1,520,748","1,462,307","4,185","4,185"
"Oklahoma City, OK","640,144","1,434,628","1,434,628","1,075,769","4,634","4,091"
"Omaha, NE","465,554","711,345","696,660","602,767","2,877","2,877"
"Philadelphia, PA","1,576,390","8,627,467","8,447,160","6,725,461","30,017","27,078"
"Phoenix, AZ","1,613,581","3,065,541","3,056,262","2,353,644","13,306","12,226"
"Pittsburgh, PA","304,814","775,183","775,183","684,754","3,318","3,318"
"Portland, OR","643,136","1,649,943","1,649,943","1,344,694","6,233","5,676"
"Raleigh, NC","459,194","810,057","810,057","599,515","4,227","3,714"
"Riverside, CA","323,877","913,160","913,160","505,039","2,402","1,949"
"Sacramento, CA","494,324","1,238,652","1,238,652","1,049,603","4,068","3,748"
"San Antonio, TX","1,488,512","5,189,544","5,189,544","2,294,581","15,001","10,528"
"San Diego, CA","1,403,865","3,579,406","3,577,241","2,659,518","10,387","9,638"
"San Francisco, CA","872,795","11,742,650","11,740,722","8,442,210","32,514","25,210"
"San Jose, CA","1,030,359","1,977,064","1,977,064","1,583,811","5,091","4,882"
"Santa Ana, CA","334,175","417,391","417,391","367,428","1,137","1,057"
"Seattle, WA","710,510","3,797,139","3,598,076","2,327,512","11,915","9,097"
"St. Louis, MO","312,389","1,206,538","1,166,254","947,081","5,835","5,529"
"Tampa, FL","376,170","954,191","954,191","723,746","4,104","3,755"
"Toledo, OH","278,780","547,474","516,476","459,688","2,677","2,370"
"Tucson, AZ","537,831","1,132,566","1,132,052","732,019","4,964","4,462"
"Tulsa, OK","404,182","864,544","864,544","703,872","3,752","3,213"
"Virginia Beach, VA","451,136","1,921,567","1,901,699","1,851,258","17,500","17,214"
"Washington, DC","686,575","13,990,322","13,377,697","12,770,520","35,531","35,096"
"Wichita, KS","390,549","757,744","757,744","594,219","2,959","2,702"
"a/Population figures are from the Bureau of the Census, Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2017 (September 2018).",,,,,,
"b/""Total general expenditure"" excludes utilities, city-operated liquor stores, and insurance trust benefits.",,,,,,
"c/""General functions only"" FTE excludes utilities and city-operated liquor stores.",,,,,,
