Bureau of Justice Statistics,,,,,,,,,,
Filename: jeee17t03.csv,,,,,,,,,,
"Table 3. Percent distribution of expenditure for the justice system, by type of government, fiscal 2017",,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2017 - Preliminary NCJ 300017",,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,
,,,,,,,,,,
"Table 3. Percent distribution of expenditure for the justice system, by type of government, fiscal 2017",,,,,,,,,,
(Dollar amounts in thousands),,,,,,,,,,
,,,,,,,,,,
State and type of government,Population 2017 (thousands),Total direct expenditure/a,Total justice system direct expenditure,Total justice system as a percent of total direct expenditure,Police protection direct expenditure,Police protection as a percent of total justice system,Judicial and legal direct expenditure,Judicial and legal as a percent of total justice system,Corrections direct expenditure,Corrections as a percent of total justice system
"U.S. - States-local, total","324,986","3,658,981,629","240,680,095",6.6,"114,050,866",47.4,"47,475,570",19.7,"79,153,659",32.9
U.S. - State,-,"1,762,476,164","87,841,785",5,"14,973,037",17,"23,597,577",26.9,"49,271,171",56.1
"U.S. - Local, total",-,"1,896,505,465","152,838,310",8.1,"99,077,829",64.8,"23,877,993",15.6,"29,882,488",19.6
U.S. - Counties,-,"416,547,295","74,364,750",17.9,"31,284,815",42.1,"18,037,977",24.3,"25,041,958",33.7
U.S. - Municipalities,-,"609,938,218","72,733,978",11.9,"62,900,286",86.5,"5,471,284",7.5,"4,362,408",6
Alabama - Total,"4,874","48,693,136","2,369,839",4.9,"1,274,476",53.8,"365,759",15.4,"729,604",30.8
Alabama - State,-,"25,561,397","880,658",3.4,"167,017",19,"198,318",22.5,"515,323",58.5
"Alabama - Local, total",-,"23,131,739","1,489,181",6.4,"1,107,459",74.4,"167,441",11.2,"214,281",14.4
Alabama - Counties,-,"2,236,986","623,994",27.9,"346,319",55.5,"88,841",14.2,"188,834",30.3
Alabama - Municipalities,-,"6,945,882","862,184",12.4,"761,140",88.3,"78,600",9.1,"22,444",2.6
Alaska - Total,740,"14,928,131","928,980",6.2,"365,305",39.3,"241,023",25.9,"322,652",34.7
Alaska - State,-,"9,464,102","651,065",6.9,"116,524",17.9,"218,346",33.5,"316,195",48.6
"Alaska - Local, total",-,"5,464,029","277,915",5.1,"248,781",89.5,"22,677",8.2,"6,457",2.3
Alaska - Boroughs,-,"2,097,012","39,617",1.9,"30,210",76.3,"7,670",19.4,"1,737",4.4
Alaska - Municipalities,-,"3,191,725","238,298",7.5,"218,571",91.7,"15,007",6.3,"4,720",2
Arizona - Total,"7,044","58,536,456","5,214,499",8.9,"2,502,013",48,"1,055,779",20.2,"1,656,707",31.8
Arizona - State,-,"29,499,507","1,440,130",4.9,"251,431",17.5,"148,007",10.3,"1,040,692",72.3
"Arizona - Local, total",-,"29,036,949","3,774,369",13,"2,250,582",59.6,"907,772",24.1,"616,015",16.3
Arizona - Counties,-,"4,074,791","1,791,279",44,"453,347",25.3,"723,139",40.4,"614,793",34.3
Arizona - Municipalities,-,"10,383,722","1,983,090",19.1,"1,797,235",90.6,"184,633",9.3,"1,222",0.1
Arkansas - Total,"3,001","27,713,994","1,408,482",5.1,"671,379",47.7,"226,022",16,"511,081",36.3
Arkansas - State,-,"17,272,642","566,825",3.3,"105,687",18.6,"127,112",22.4,"334,026",58.9
"Arkansas - Local, total",-,"10,441,352","841,657",8.1,"565,692",67.2,"98,910",11.8,"177,055",21
Arkansas - Counties,-,"1,197,866","394,240",32.9,"160,839",40.8,"59,692",15.1,"173,709",44.1
Arkansas - Municipalities,-,"3,380,110","447,417",13.2,"404,853",90.5,"39,218",8.8,"3,346",0.7
California - Total,"39,358","563,875,029","42,778,443",7.6,"19,169,992",44.8,"8,994,524",21,"14,613,927",34.2
California - State,-,"242,000,703","15,009,748",6.2,"1,882,560",12.5,"4,751,108",31.7,"8,376,080",55.8
"California - Local, total",-,"321,874,326","27,768,695",8.6,"17,287,432",62.3,"4,243,416",15.3,"6,237,847",22.5
California - Counties,-,"84,380,149","15,723,106",18.6,"5,798,852",36.9,"3,938,377",25,"5,985,877",38.1
California - Municipalities,-,"81,083,203","12,017,033",14.8,"11,460,024",95.4,"305,039",2.5,"251,970",2.1
Colorado - Total,"5,612","60,824,781","4,076,538",6.7,"1,854,577",45.5,"862,801",21.2,"1,359,160",33.3
Colorado - State,-,"27,701,766","1,640,295",5.9,"192,826",11.8,"555,778",33.9,"891,691",54.4
"Colorado - Local, total",-,"33,123,015","2,436,243",7.4,"1,661,751",68.2,"307,023",12.6,"467,469",19.2
Colorado - Counties,-,"4,363,879","1,004,936",23,"514,780",51.2,"162,619",16.2,"327,537",32.6
Colorado - Municipalities,-,"10,980,286","1,430,484",13,"1,146,148",80.1,"144,404",10.1,"139,932",9.8
Connecticut - Total,"3,573","40,974,389","2,477,969",6,"1,178,349",47.6,"677,597",27.3,"622,023",25.1
Connecticut - State,-,"22,296,264","1,479,590",6.6,"223,119",15.1,"634,448",42.9,"622,023",42
"Connecticut - Local, total",-,"18,678,125","998,379",5.3,"955,230",95.7,"43,149",4.3,0,0
Connecticut - Municipalities,-,"7,064,561","515,256",7.3,"490,767",95.2,"24,489",4.8,0,0
