Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: jeee17t05.csv,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2017",,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2017 - Preliminary NCJ 300017",,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2017",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State and type of government,Total full-time equivalent employment/a,Total justice system total number of employees,Total justice system number of full-time employees only,Total justice system number of full-time equivalent employees,Total justice system full-time equivalent employees as a percent of total ,Police protection total number of employees,Police protection full-time employees only,Police protection number of full-time equivalent employees,Police protection full-time equivalent employees as a percent of total justice system,Judicial and legal total number of employees,Judicial and legal full-time employees only,Judicial and legal full-time equivalent employees,Judicial and legal full-time equivalent employees as a percent of total justice system,Corrections total number of employees,Corrections full-time employees only,Corrections full-time equivalent employees ,Corrections full-time equivalent employees as a percent of total justice system 
"U.S. - States-local, total","16,598,394","2,144,392","1,985,591","2,054,983",12.4,"984,957","889,737","928,791",45.2,"440,129","399,947","417,290",20.3,"719,306","695,907","708,902",34.5
U.S. - State,"4,399,978","732,409","711,540","722,534",16.4,"104,527","101,692","102,775",14.2,"180,089","171,186","175,701",24.3,"447,793","438,662","444,058",61.5
"U.S. - Local, total","12,198,416","1,411,983","1,274,051","1,332,449",10.9,"880,430","788,045","826,016",62,"260,040","228,761","241,589",18.1,"271,513","257,245","264,844",19.9
U.S. - Counties,"2,622,621","693,470","643,079","667,265",25.4,"270,724","249,748","258,854",38.8,"193,637","176,967","185,234",27.8,"229,109","216,364","223,177",33.4
U.S. - Municipalities,"2,531,205","636,338","565,520","593,827",23.5,"546,321","487,125","511,397",86.1,"56,496","45,993","49,446",8.3,"33,521","32,402","32,984",5.6
Alabama - Total,"282,266","28,335","25,640","26,952",9.5,"15,099","13,691","14,384",53.4,"5,053","4,328","4,628",17.2,"8,183","7,621","7,940",29.5
Alabama - State,"91,199","8,879","8,229","8,573",9.4,"1,296","1,273","1,283",15,"3,170","2,821","3,002",35,"4,413","4,135","4,288",50
"Alabama - Local, total","191,067","19,456","17,411","18,379",9.6,"13,803","12,418","13,101",71.3,"1,883","1,507","1,626",8.8,"3,770","3,486","3,652",19.9
Alabama - Counties,"18,819","7,868","7,052","7,460",39.6,"3,649","3,245","3,457",46.3,881,736,777,10.4,"3,338","3,071","3,226",43.2
Alabama - Municipalities,"40,997","11,588","10,359","10,918",26.6,"10,154","9,173","9,643",88.3,"1,002",771,849,7.8,432,415,426,3.9
