Bureau of Justice Statistics,,,,,,,,,
Filename: jeee17t06.csv,,,,,,,,,
"Table 6. Percent distribution of justice system payrolls, by state and type of government, March 2017",,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2017 - Preliminary NCJ 300017",,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,
,,,,,,,,,
"Table 6. Percent distribution of justice system payrolls, by state and type of government, March 2017",,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,
,,,,,,,,,
State and type of government,Total March payrolls/a,Total justice system March payrolls,Total justice system as a percent of total March payrolls/b,Police protection March payrolls,Police protection as a percent of total justice system March payrolls/b,Judicial and legal March payrolls,Judicial and legal as a percent of total justice system March payrolls/b,Corrections March payrolls,Corrections as a percent of total justice system March payrolls/b
"U.S. - States-local, total","80,419,556","11,297,185",14,"5,618,771",49.7,"2,310,243",20.4,"3,368,171",29.8
U.S. - State,"23,023,836","3,757,630",16.3,"651,184",17.3,"1,023,196",27.2,"2,083,250",55.4
"U.S. - Local, total","57,395,720","7,539,553",13.1,"4,967,586",65.9,"1,287,047",17.1,"1,284,920",17
U.S. - Counties,"12,440,349","3,480,303",28,"1,433,660",41.2,"984,024",28.3,"1,062,619",30.5
U.S. - Municipalities,"13,762,829","3,624,388",26.3,"3,168,861",87.4,"267,514",7.4,"188,013",5.2
Alabama - Total,"1,115,215","108,478",9.7,"59,289",54.7,"20,140",18.6,"29,049",26.8
Alabama - State,"416,095","36,933",8.9,"5,679",15.4,"13,985",37.9,"17,269",46.8
"Alabama - Local, total","699,119","71,545",10.2,"53,610",74.9,"6,155",8.6,"11,780",16.5
Alabama - Counties,"64,952","26,654",41,"13,774",51.7,"2,650",9.9,"10,230",38.4
Alabama - Municipalities,"158,886","44,884",28.2,"39,831",88.7,"3,505",7.8,"1,548",3.4
Alaska - Total,"296,335","37,234",12.6,"14,471",38.9,"9,408",25.3,"13,355",35.9
Alaska - State,"143,576","26,776",18.6,"5,026",18.8,"8,695",32.5,"13,055",48.8
"Alaska - Local, total","152,760","10,459",6.8,"9,446",90.3,713,6.8,300,2.9
Alaska - Boroughs,"59,810","1,230",2.1,930,75.6,243,19.8,57,4.6
Alaska - Municipalities,"89,564","9,230",10.3,"8,518",92.3,468,5.1,244,2.6
Arizona - Total,"1,272,412","235,352",18.5,"125,558",53.3,"53,270",22.6,"56,524",24
Arizona - State,"340,879","57,029",16.7,"10,295",18.1,"12,335",21.6,"34,399",60.3
"Arizona - Local, total","931,533","178,324",19.1,"115,264",64.6,"40,935",23,"22,125",12.4
Arizona - Counties,"132,356","80,089",60.5,"28,025",35,"30,358",37.9,"21,706",27.1
Arizona - Municipalities,"270,416","98,228",36.3,"87,234",88.8,"10,575",10.8,419,0.4
Arkansas - Total,"597,339","67,555",11.3,"31,141",46.1,"11,606",17.2,"24,808",36.7
Arkansas - State,"251,780","29,554",11.7,"4,647",15.7,"6,556",22.2,"18,351",62.1
"Arkansas - Local, total","345,560","38,003",11,"26,495",69.7,"5,050",13.3,"6,458",17
California - Total,"12,062,665","1,905,010",15.8,"886,880",46.6,"360,835",18.9,"657,295",34.5
California - State,"2,977,057","576,184",19.4,"98,387",17.1,"45,817",8,"431,980",75
"California - Local, total","9,085,608","1,328,828",14.6,"788,494",59.3,"315,019",23.7,"225,315",17
California - Counties,"2,385,565","783,402",32.8,"292,698",37.4,"277,339",35.4,"213,365",27.2
California - Municipalities,"1,807,051","544,693",30.1,"495,063",90.9,"37,682",6.9,"11,948",2.2
Colorado - Total,"1,435,021","202,572",14.1,"102,058",50.4,"45,619",22.5,"54,895",27.1
Colorado - State,"460,391","68,313",14.8,"7,781",11.4,"28,885",42.3,"31,647",46.3
"Colorado - Local, total","974,630","134,260",13.8,"94,278",70.2,"16,734",12.5,"23,248",17.3
Colorado - Counties,"134,113","47,763",35.6,"24,483",51.3,"7,950",16.6,"15,330",32.1
Colorado - Municipalities,"275,353","86,496",31.4,"69,791",80.7,"8,786",10.2,"7,919",9.2
Connecticut - Total,"1,086,259","146,887",13.5,"73,818",50.3,"39,217",26.7,"33,852",23
Connecticut - State,"391,967","86,754",22.1,"14,901",17.2,"38,001",43.8,"33,852",39
"Connecticut - Local, total","694,292","60,132",8.7,"58,917",98,"1,215",2,0,0
Connecticut - Municipalities,"237,656","30,390",12.8,"29,487",97,903,3,0,0
Delaware - Total,"232,235","38,712",16.7,"17,486",45.2,"9,096",23.5,"12,130",31.3
Delaware - State,"118,746","28,679",24.2,"7,836",27.3,"8,713",30.4,"12,130",42.3
"Delaware - Local, total","113,489","10,033",8.8,"9,650",96.2,383,3.8,0,0
Delaware - Counties,"12,258","3,929",32.1,"3,593",91.4,336,8.6,0,0
Delaware - Municipalities,"14,637","6,102",41.7,"6,056",99.2,46,0.8,0,0
District of Columbia - Total,"352,111","65,804",18.7,"39,165",59.5,"15,674",23.8,"10,965",16.7
"District of Columbia - Local, total","352,111","65,804",18.7,"39,165",59.5,"15,674",23.8,"10,965",16.7
Florida - Total ,"3,744,714","632,337",16.9,"340,315",53.8,"133,295",21.1,"158,727",25.1
Florida - State,"776,622","170,034",21.9,"16,740",9.8,"82,005",48.2,"71,289",41.9
"Florida - Local, total","2,968,092","462,304",15.6,"323,575",70,"51,290",11.1,"87,439",18.9
Florida - Counties,"803,637","308,286",38.4,"177,421",57.6,"46,810",15.2,"84,055",27.3
Florida - Municipalities,"508,497","154,014",30.3,"146,150",94.9,"4,480",2.9,"3,384",2.2
Georgia - Total,"2,052,601","261,716",12.8,"113,175",43.2,"62,798",24,"85,743",32.8
Georgia - State,"560,642","79,930",14.3,"12,264",15.3,"18,050",22.6,"49,616",62.1
"Georgia - Local, total","1,491,959","181,785",12.2,"100,911",55.5,"44,747",24.6,"36,127",19.9
Georgia - Counties,"247,956","116,052",46.8,"46,827",40.4,"37,951",32.7,"31,274",26.9
Georgia - Municipalities,"186,669","65,744",35.2,"54,094",82.3,"6,796",10.3,"4,854",7.4
Hawaii - Total,"373,115","58,474",15.7,"28,399",48.6,"17,489",29.9,"12,586",21.5
Hawaii - State,"277,677","26,304",9.5,0,0,"13,718",52.2,"12,586",47.8
"Hawaii - Local, total","95,438","32,170",33.7,"28,399",88.3,"3,771",11.7,0,0
Hawaii - Counties,"36,212","10,627",29.3,"8,791",82.7,"1,836",17.3,0,0
Hawaii - Municipalities,"58,337","21,542",36.9,"19,608",91,"1,934",9,0,0
Idaho - Total,"340,540","52,857",15.5,"20,210",38.2,"13,046",24.7,"19,601",37.1
Idaho - State,"122,571","21,262",17.3,"2,750",12.9,"5,589",26.3,"12,923",60.8
"Idaho - Local, total","217,969","31,595",14.5,"17,460",55.3,"7,457",23.6,"6,678",21.1
Idaho - Counties,"40,875","20,697",50.6,"7,256",35.1,"6,764",32.7,"6,677",32.3
Idaho - Municipalities,"38,033","10,897",28.7,"10,204",93.6,693,6.4,0,0
Illinois - Total,"3,224,673","489,088",15.2,"277,354",56.7,"80,268",16.4,"131,466",26.9
Illinois - State,"688,619","122,455",17.8,"23,539",19.2,"24,479",20,"74,437",60.8
"Illinois - Local, total","2,536,054","366,634",14.5,"253,815",69.2,"55,790",15.2,"57,029",15.6
Illinois - Counties,"266,444","137,630",51.7,"29,782",21.6,"50,860",37,"56,988",41.4
Illinois - Municipalities,"578,394","228,916",39.6,"224,044",97.9,"4,830",2.1,42,0
Indiana - Total,"1,286,996","140,710",10.9,"68,380",48.6,"31,641",22.5,"40,689",28.9
Indiana - State,"394,547","39,107",9.9,"8,139",20.8,"11,145",28.5,"19,823",50.7
"Indiana - Local, total","892,449","101,603",11.4,"60,241",59.3,"20,496",20.2,"20,866",20.5
Indiana - Counties,"180,917","49,907",27.6,"16,150",32.4,"15,180",30.4,"18,577",37.2
Indiana - Municipalities,"197,308","51,385",26,"44,061",85.7,"5,035",9.8,"2,289",4.5
Iowa - Total,"866,373","78,722",9.1,"39,318",49.9,"18,354",23.3,"21,050",26.7
Iowa - State,"297,792","33,397",11.2,"5,878",17.6,"13,044",39.1,"14,475",43.3
"Iowa - Local, total","568,582","45,325",8,"33,441",73.8,"5,310",11.7,"6,574",14.5
Iowa - Counties,"109,945","22,555",20.5,"11,305",50.1,"4,677",20.7,"6,573",29.1
Iowa - Municipalities,"109,549","22,773",20.8,"22,139",97.2,634,2.8,0,0
Kansas - Total,"789,496","82,065",10.4,"42,598",51.9,"17,223",21,"22,244",27.1
Kansas - State,"245,981","25,098",10.2,"5,165",20.6,"9,181",36.6,"10,752",42.8
"Kansas - Local, total","543,514","56,968",10.5,"37,434",65.7,"8,042",14.1,"11,492",20.2
Kansas - Counties,"96,338","27,945",29,"12,214",43.7,"5,452",19.5,"10,279",36.8
Kansas - Municipalities,"109,216","28,795",26.4,"25,018",86.9,"2,566",8.9,"1,211",4.2
Kentucky - Total,"926,539","91,567",9.9,"42,301",46.2,"23,391",25.5,"25,875",28.3
Kentucky - State,"364,420","41,666",11.4,"8,120",19.5,"19,558",46.9,"13,988",33.6
"Kentucky - Local, total","562,118","49,901",8.9,"34,181",68.5,"3,833",7.7,"11,887",23.8
Kentucky - Counties,"63,603","17,007",26.7,"6,807",40,"2,301",13.5,"7,899",46.4
Kentucky - Municipalities,"112,299","32,898",29.3,"27,370",83.2,"1,535",4.7,"3,993",12.1
Louisiana - Total,"995,298","161,985",16.3,"73,344",45.3,"44,083",27.2,"44,558",27.5
Louisiana - State,"336,070","42,381",12.6,"12,256",28.9,"7,653",18.1,"22,472",53
"Louisiana - Local, total","659,228","119,604",18.1,"61,088",51.1,"36,430",30.5,"22,086",18.5
Louisiana - Parishes,"182,239","71,291",39.1,"26,143",36.7,"29,804",41.8,"15,344",21.5
Louisiana - Municipalities,"137,779","47,760",34.7,"34,936",73.1,"6,627",13.9,"6,197",13
Maine - Total,"280,553","28,686",10.2,"15,294",53.3,"5,123",17.9,"8,269",28.8
Maine - State,"89,106","12,811",14.4,"3,104",24.2,"4,300",33.6,"5,407",42.2
"Maine - Local, total","191,447","15,874",8.3,"12,190",76.8,823,5.2,"2,861",18
Maine - Counties,"8,012","5,983",74.7,"2,385",39.9,735,12.3,"2,863",47.9
Maine - Municipalities,"49,643","5,322",10.7,"5,259",98.8,63,1.2,0,0
Maryland - Total,"1,648,197","242,079",14.7,"118,288",48.9,"45,158",18.7,"78,633",32.5
Maryland - State,"453,242","100,751",22.2,"14,608",14.5,"27,633",27.4,"58,510",58.1
"Maryland - Local, total","1,194,956","141,327",11.8,"103,680",73.4,"17,525",12.4,"20,122",14.2
Maryland - Counties,"1,011,482","101,043",10,"67,197",66.5,"13,724",13.6,"20,122",19.9
Maryland - Municipalities,"177,763","40,288",22.7,"36,486",90.6,"3,802",9.4,0,0
Massachusetts - Total,"1,850,486","287,112",15.5,"157,208",54.8,"61,036",21.3,"68,868",24
Massachusetts - State,"621,326","154,874",24.9,"26,889",17.4,"59,119",38.2,"68,866",44.5
"Massachusetts - Local, total","1,229,160","132,237",10.8,"130,319",98.5,"1,917",1.4,1,0
