Bureau of Justice Statistics,,,,,,,,,,
Filename: jeee17t08.csv,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2017) and full-time equivalent justice employment per 10,000 population (March 2017) of state and local governments, by activity and state",,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2017 - Preliminary NCJ 300017",,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,
,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2017) and full-time equivalent justice employment per 10,000 population (March 2017) of state and local governments, by activity and state",,,,,,,,,,
,,,,,,,,,,
State,Population 2017,Total justice system per capita expenditure,Police protection per capita expenditure,Judicial and legal per capita expenditure,Corrections per capita expenditure,"Total justice system full-time equivalent employment per 10,000 population","Police protection total full-time equivalent employment per 10,000 population","Police protection sworn full-time equivalent employment only per 10,000 population","Judicial and legal full-time equivalent employment per 10,000 population","Corrections full-time equivalent employment per 10,000 population"
U.S. total,"324,985,539",740.59,350.94,146.09,243.56,63.23,28.58,21.79,12.84,21.81
Alabama,"4,874,486",486.17,261.46,75.04,149.68,55.29,29.51,23.19,9.49,16.29
Alaska,"739,700","1,255.89",493.86,325.84,436.19,76.54,27.02,17.12,19.17,30.35
Arizona,"7,044,008",740.27,355.2,149.88,235.19,64.96,28.34,20.6,15.46,21.16
Arkansas,"3,001,345",469.28,223.69,75.31,170.28,67.51,29.07,21.75,10.95,27.49
California,"39,358,497","1,086.89",487.06,228.53,371.3,60.65,25.9,18.4,11.39,23.36
Colorado,"5,611,885",726.41,330.47,153.75,242.19,64.05,29.1,20.49,14.06,20.89
Connecticut,"3,573,297",693.47,329.77,189.63,174.08,59.27,28.16,21.98,15.62,15.5
Delaware,"956,823",948.55,396.06,210.01,342.48,78.21,28.59,22.23,19.92,29.69
District of Columbia,"694,906","1,350.78",911.35,213.23,226.2,120.48,69.25,60.53,28.68,22.55
Florida,"20,963,613",742.11,405.91,118.87,217.33,63.57,29.37,19.39,14.92,19.28
Georgia,"10,410,330",598.75,262.17,132.92,203.66,65.43,26.54,21.5,13.86,25.02
