Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: jeee17t09.csv,,,,,,,,,,,,,,,,,,,,,
"Table 9. Justice system expenditure of state governments, by activity and character and object, fiscal 2017",,,,,,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2017 - Preliminary NCJ 300017",,,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 9. Justice system expenditure of state governments, by activity and character and object, fiscal 2017",,,,,,,,,,,,,,,,,,,,,
(Thousands of dollars),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
State,Total justice system total expenditure,Total justice system direct expenditure total,Total justice system direct current expenditure,Total justice system capital outlay,Total justice system intergovernmental expenditure,Police protection total expenditure,Police protection direct expenditure total,Police protection direct current expenditure,Police protection capital outlay,Police protection intergovernmental expenditure,Judicial and legal total expenditure,Judicial and legal direct expenditure total ,Judicial and legal direct current expenditure,Judicial and legal capital outlay,Judicial and legal intergovernmental expenditure,Corrections total expenditure,Corrections direct expenditure total,Corrections direct current expenditure,Corrections total capital outlay,Corrections construction capital outlay only,Corrections intergovernmental expenditure
U.S. total,"93,110,557","87,841,785","84,934,647","2,907,138","5,268,772","16,621,322","14,973,037","14,255,413","717,624","1,648,285","25,012,645","23,597,577","22,763,639","833,938","1,415,068","51,476,590","49,271,171","47,915,595","1,355,576","877,905","2,205,419"
Alabama,"925,752","880,658","842,496","38,162","45,094","171,607","167,017","152,219","14,798","4,590","200,201","198,318","196,940","1,378","1,883","553,944","515,323","493,337","21,986","2,540","38,621"
Alaska,"677,469","651,065","642,328","8,737","26,404","142,360","116,524","114,534","1,990","25,836","218,756","218,346","214,269","4,077",410,"316,353","316,195","313,525","2,670","2,027",158
Arizona,"1,551,065","1,440,130","1,407,699","32,431","110,935","280,662","251,431","233,259","18,172","29,231","189,480","148,007","145,719","2,288","41,473","1,080,923","1,040,692","1,028,721","11,971",333,"40,231"
Arkansas,"574,699","566,825","565,539","1,286","7,874","106,981","105,687","105,675",12,"1,294","129,526","127,112","125,838","1,274","2,414","338,192","334,026","334,026",0,0,"4,166"
California,"15,262,063","15,009,748","14,043,700","966,048","252,315","1,907,378","1,882,560","1,814,219","68,341","24,818","4,826,610","4,751,108","4,299,418","451,690","75,502","8,528,075","8,376,080","7,930,063","446,017","445,127","151,995"
Colorado,"1,805,763","1,640,295","1,597,061","43,234","165,468","204,940","192,826","186,487","6,339","12,114","560,615","555,778","543,860","11,918","4,837","1,040,208","891,691","866,714","24,977","7,268","148,517"
Connecticut,"1,590,141","1,479,590","1,446,772","32,818","110,551","252,050","223,119","217,453","5,666","28,931","716,067","634,448","609,971","24,477","81,619","622,024","622,023","619,348","2,675",425,1
Delaware,"665,557","660,639","650,026","10,613","4,918","148,260","146,756","140,000","6,756","1,504","189,604","186,190","184,880","1,310","3,414","327,693","327,693","325,146","2,547","1,502",0
Florida,"4,771,008","4,755,230","4,680,884","74,346","15,778","607,898","606,373","579,095","27,278","1,525","1,570,343","1,556,209","1,530,906","25,303","14,134","2,592,767","2,592,648","2,570,883","21,765","1,830",119
Georgia,"2,138,202","2,056,031","1,965,367","90,664","82,171","450,818","416,467","371,144","45,323","34,351","360,581","350,013","348,034","1,979","10,568","1,326,803","1,289,551","1,246,189","43,362","29,286","37,252"
Hawaii,"550,473","540,335","505,254","35,081","10,138","44,877","44,877","43,302","1,575",0,"276,950","266,812","236,726","30,086","10,138","228,646","228,646","225,226","3,420",0,0
Idaho,"429,755","415,742","400,060","15,682","14,013","65,099","63,977","59,746","4,231","1,122","83,608","78,975","75,343","3,632","4,633","281,048","272,790","264,971","7,819",448,"8,258"
Illinois,"2,484,960","2,347,835","2,312,736","35,099","137,125","437,216","409,153","390,325","18,828","28,063","666,549","558,297","556,586","1,711","108,252","1,381,195","1,380,385","1,365,825","14,560","11,684",810
Indiana,"1,204,379","1,083,970","1,063,751","20,219","120,409","236,549","223,462","217,160","6,302","13,087","261,337","228,386","224,907","3,479","32,951","706,493","632,122","621,684","10,438","1,482","74,371"
Iowa,"667,355","628,887","625,266","3,621","38,468","102,859","95,515","94,518",997,"7,344","277,258","246,134","244,532","1,602","31,124","287,238","287,238","286,216","1,022",372,0
Kansas,"629,156","583,803","566,318","17,485","45,353","111,385","107,868","97,409","10,459","3,517","166,840","166,621","166,410",211,219,"350,931","309,314","302,499","6,815","3,335","41,617"
Kentucky,"1,351,340","1,261,125","1,249,170","11,955","90,215","207,079","175,080","169,197","5,883","31,999","542,512","506,921","502,097","4,824","35,591","601,749","579,124","577,876","1,248",170,"22,625"
Louisiana,"1,360,077","1,057,992","1,036,376","21,616","302,085","358,733","242,872","236,681","6,191","115,861","333,688","309,470","307,817","1,653","24,218","667,656","505,650","491,878","13,772","10,045","162,006"
Maine,"343,182","343,182","333,828","9,354",0,"90,368","90,368","89,275","1,093",0,"90,246","90,246","89,653",593,0,"162,568","162,568","154,900","7,668",0,0
Maryland,"2,805,630","2,683,135","2,585,233","97,902","122,495","648,809","546,535","528,579","17,956","102,274","656,456","638,724","611,133","27,591","17,732","1,500,365","1,497,876","1,445,521","52,355","29,322","2,489"
Massachusetts,"3,016,185","2,945,499","2,795,792","149,707","70,686","571,887","505,958","481,054","24,904","65,929","989,723","987,388","913,605","73,783","2,335","1,454,575","1,452,153","1,401,133","51,020","32,280","2,422"
Michigan,"2,688,267","2,527,406","2,522,620","4,786","160,861","501,930","473,644","471,665","1,979","28,286","291,488","187,575","187,504",71,"103,913","1,894,849","1,866,187","1,863,451","2,736",314,"28,662"
Minnesota,"1,559,959","1,350,326","1,313,568","36,758","209,633","476,588","357,023","333,264","23,759","119,565","504,678","484,556","477,289","7,267","20,122","578,693","508,747","503,015","5,732",913,"69,946"
Mississippi,"602,470","588,577","576,060","12,517","13,893","139,942","135,917","128,910","7,007","4,025","131,726","121,899","121,141",758,"9,827","330,802","330,761","326,009","4,752",346,41
Missouri,"1,292,097","1,240,745","1,187,143","53,602","51,352","250,537","246,996","211,360","35,636","3,541","269,349","261,012","251,893","9,119","8,337","772,211","732,737","723,890","8,847",504,"39,474"
Montana,"400,056","399,001","393,913","5,088","1,055","56,261","55,206","54,057","1,149","1,055","131,515","131,515","131,103",412,0,"212,280","212,280","208,753","3,527",751,0
Nebraska,"520,590","511,584","504,629","6,955","9,006","90,473","82,537","79,437","3,100","7,936","80,252","79,182","79,181",1,"1,070","349,865","349,865","346,011","3,854","1,952",0
Nevada,"499,319","482,362","458,401","23,961","16,957","90,666","88,480","84,082","4,398","2,186","96,603","88,604","88,197",407,"7,999","312,050","305,278","286,122","19,156","13,941","6,772"
New Hampshire,"349,931","346,061","301,089","44,972","3,870","71,944","70,914","57,969","12,945","1,030","132,160","129,320","125,908","3,412","2,840","145,827","145,827","117,212","28,615","27,440",0
New Jersey,"3,185,041","2,960,827","2,894,899","65,928","224,214","799,882","620,161","610,160","10,001","179,721","909,289","908,676","886,276","22,400",613,"1,475,870","1,431,990","1,398,463","33,527","25,924","43,880"
New Mexico,"911,781","893,036","893,023",13,"18,745","141,245","125,181","125,181",0,"16,064","286,663","286,380","286,367",13,283,"483,873","481,475","481,475",0,0,"2,398"
New York,"7,111,113","6,651,588","6,532,310","119,278","459,525","1,033,334","865,298","830,456","34,842","168,036","2,874,826","2,665,894","2,650,873","15,021","208,932","3,202,953","3,120,396","3,050,981","69,415","53,775","82,557"
North Carolina,"2,788,660","2,643,155","2,559,432","83,723","145,505","583,315","532,743","485,026","47,717","50,572","817,265","722,332","703,039","19,293","94,933","1,388,080","1,388,080","1,371,367","16,713","6,690",0
North Dakota,"230,131","228,158","223,495","4,663","1,973","35,252","35,252","33,444","1,808",0,"91,901","90,228","88,243","1,985","1,673","102,978","102,678","101,808",870,166,300
Ohio,"2,573,333","2,198,216","2,088,739","109,477","375,117","397,380","332,849","309,954","22,895","64,531","439,983","344,878","338,738","6,140","95,105","1,735,970","1,520,489","1,440,047","80,442","62,921","215,481"
Oklahoma,"1,065,516","1,023,217","1,005,778","17,439","42,299","176,811","176,778","170,076","6,702",33,"282,423","253,238","248,737","4,501","29,185","606,282","593,201","586,965","6,236",294,"13,081"
Oregon,"1,718,446","1,525,159","1,474,030","51,129","193,287","201,595","200,061","196,288","3,773","1,534","619,242","558,838","553,102","5,736","60,404","897,609","766,260","724,640","41,620","4,640","131,349"
Pennsylvania,"3,754,090","3,637,803","3,563,651","74,152","116,287","1,116,107","1,081,972","1,039,338","42,634","34,135","414,282","385,308","383,408","1,900","28,974","2,223,701","2,170,523","2,140,905","29,618","12,977","53,178"
Rhode Island,"432,561","432,561","411,735","20,826",0,"92,833","92,833","84,759","8,074",0,"129,619","129,619","121,738","7,881",0,"210,109","210,109","205,238","4,871","3,956",0
South Carolina,"810,443","749,314","741,680","7,634","61,129","198,606","180,591","178,599","1,992","18,015","141,583","98,469","98,465",4,"43,114","470,254","470,254","464,616","5,638","5,130",0
South Dakota,"229,478","225,111","220,351","4,760","4,367","47,261","44,756","42,762","1,994","2,505","56,033","55,667","54,750",917,366,"126,184","124,688","122,839","1,849",285,"1,496"
Tennessee,"1,475,610","1,209,683","1,189,800","19,883","265,927","223,217","223,029","213,845","9,184",188,"334,912","329,633","326,826","2,807","5,279","917,481","657,021","649,129","7,892","3,847","260,460"
Texas,"6,344,431","5,822,460","5,659,669","162,791","521,971","1,232,165","1,229,950","1,167,717","62,233","2,215","893,235","778,978","748,126","30,852","114,257","4,219,031","3,813,532","3,743,826","69,706","7,192","405,499"
Utah,"712,670","707,090","647,907","59,183","5,580","150,315","150,315","143,275","7,040",0,"189,739","184,159","179,485","4,674","5,580","372,616","372,616","325,147","47,469",0,0
Vermont,"311,653","301,963","295,851","6,112","9,690","85,713","79,194","75,470","3,724","6,519","82,048","81,902","80,644","1,258",146,"143,892","140,867","139,737","1,130",0,"3,025"
Virginia,"2,744,633","2,372,593","2,304,076","68,517","372,040","670,451","407,212","382,643","24,569","263,239","535,571","534,786","534,375",411,785,"1,538,611","1,430,595","1,387,058","43,537","22,386","108,016"
Washington,"1,764,410","1,612,504","1,523,510","88,994","151,906","438,529","305,035","267,123","37,912","133,494","327,028","308,862","300,982","7,880","18,166","998,853","998,607","955,405","43,202","22,187",246
West Virginia,"591,701","591,701","571,902","19,799",0,"81,031","81,031","74,138","6,893",0,"209,629","209,629","206,837","2,792",0,"301,041","301,041","290,927","10,114","6,644",0
Wisconsin,"1,388,792","1,332,594","1,314,649","17,945","56,198","51,250","44,780","44,275",505,"6,470","353,348","306,652","305,486","1,166","46,696","984,194","981,162","964,888","16,274","13,174","3,032"
