Bureau of Justice Statistics,,,,,,,,
Filename: jeee17t18.csv,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2017 - Preliminary NCJ 300017",,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,
Date of version: 07/07/2021,,,,,,,,
,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
,,,,,,,,
State,Estimated population as of 7/1/2017 (thousands),"Personal income, calendar year 2017, amount (millions of dollars)/a","Personal income, calendar year 2017, per capita/a","Expenditures, fiscal 2017 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2017 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2017 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, 3/1/2017, all functions","Full-time equivalent employment, 3/1/2017, general functions only/c"
U.S. total,"324,986","16,870,106","51,910","2,315,996,563","1,762,476,164","1,974,323,702","4,399,978","4,346,995"
Alabama,"4,874","197,283","40,477","32,493,023","25,561,397","28,680,131","91,199","90,371"
Alaska,740,"42,015","56,777","11,293,742","9,464,102","9,778,966","24,565","24,565"
Arizona,"7,044","299,613","42,534","39,529,659","29,499,507","35,185,900","72,901","72,896"
Arkansas,"3,001","124,684","41,547","22,699,462","17,272,642","20,717,142","62,066","62,066"
California,"39,358","2,370,112","60,219","349,878,002","242,000,703","296,655,755","424,156","424,156"
Colorado,"5,612","310,755","55,373","35,163,327","27,701,766","29,544,612","88,537","88,537"
Connecticut,"3,573","258,079","72,230","27,853,110","22,296,264","22,584,939","59,109","59,109"
Delaware,957,"48,189","50,354","9,937,802","8,332,231","9,074,270","25,872","24,937"
Florida,"20,964","1,004,144","47,898","90,301,871","72,058,799","80,531,919","179,738","178,970"
Georgia,"10,410","463,756","44,549","49,604,549","37,279,054","42,988,656","130,049","130,049"
Hawaii,"1,424","75,690","53,153","12,682,493","12,354,473","11,193,547","59,619","59,619"
