Bureau of Justice Statistics,,,,,,
Filename: jeee17t19.csv,,,,,,
Table 19. Supplemental data for 106 large county governments,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2017 - Preliminary NCJ 300017",,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version: 07/07/2021,,,,,,
,,,,,,
Table 19. Supplemental data for 106 large county governments,,,,,,
,,,,,,
County,Population 2017/a,"Expenditures, fiscal 2017 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2017 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2017 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, March 2017, all functions","Full-time equivalent employment, March 2017, general functions only/c"
"Alameda, CA","1,658,131","4,143,373","4,111,691","3,721,150","14,310","14,310"
"Allegheny, PA","1,220,656","1,891,679","1,857,711","1,764,683","7,009","7,009"
"Anne Arundel, MD","571,592","2,521,191","2,478,714","2,351,539","17,675","17,598"
"Arapahoe, CO","644,132","353,285","353,285","327,103","2,373","2,373"
"Baltimore, MD","828,603","4,181,475","4,103,643","3,695,947","28,273","28,273"
"Bergen, NJ","933,569","1,079,110","1,038,048","1,079,110","4,621","4,621"
"Bernalillo, NM","678,686","322,898","320,437","322,898","2,441","2,441"
"Bexar, TX","1,958,841","2,387,722","2,353,266","2,387,663","13,171","13,171"
"Brevard, FL","588,265","559,609","551,809","516,294","4,010","3,871"
"Bristol, MA","560,571","58,945","58,944","22,414",145,145
"Broward, FL","1,934,471","2,399,071","2,399,071","2,200,585","11,069","9,857"
"Bucks, PA","627,028","567,574","564,159","517,319","2,622","2,622"
"Camden, NJ","506,343","606,003","560,268","606,003","3,928","3,928"
"Clark, NV","2,183,310","5,308,915","5,266,161","4,701,207","19,129","17,873"
"Cobb, GA","752,783","1,305,734","1,214,191","1,152,812","4,583","4,387"
"Collin, TX","971,393","259,939","259,939","259,939","2,054","2,054"
"Contra Costa, CA","1,144,863","3,332,345","3,249,830","2,912,341","7,983","7,983"
"Cook, IL","5,204,502","4,695,546","4,695,546","3,865,417","21,511","21,511"
"Cuyahoga, OH","1,248,371","2,443,597","2,443,597","2,443,597","15,066","15,066"
"Dade, FL","2,744,878","7,933,511","7,933,511","6,997,666","39,194","33,547"
"Dallas, TX","2,622,799","3,246,033","3,246,033","3,208,750","19,076","19,076"
"DeKalb, GA","752,088","1,109,246","1,109,246","798,320","6,134","5,818"
"Delaware, PA","563,487","764,205","756,632","735,217","3,104","3,104"
"Denton, TX","835,330","283,518","280,399","283,518","2,049","2,049"
"Douglas, NE","560,573","420,987","420,987","394,018","3,211","3,211"
"Du Page, IL","930,662","398,285","395,086","398,285","2,447","2,445"
"El Paso, CO","700,800","335,741","335,542","305,980","2,610","2,610"
"El Paso, TX","840,545","949,347","949,347","945,735","5,665","5,665"
"Erie, NY","918,794","2,495,768","1,770,292","2,457,752","8,974","8,751"
"Essex, NJ","795,908","952,835","881,944","952,345","4,723","4,723"
"Fairfax, VA","1,146,883","6,712,813","6,530,475","5,593,172","43,405","42,957"
"Fort Bend, TX","766,136","434,347","434,347","434,347","2,606","2,588"
