Bureau of Justice Statistics,,,,,,
Filename: jeee17t20.csv,,,,,,
Table 20. Supplemental data for 66 large city governments,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2017 - Preliminary NCJ 300017",,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version: 07/07/2021,,,,,,
,,,,,,
Table 20. Supplemental data for 66 large city governments,,,,,,
,,,,,,
City,Population 2017/a,"Expenditures, fiscal 2017 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2017 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2017 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, March 2017, all functions","Full-time equivalent employment, March 2017, general functions only/c"
"Albuquerque, NM","560,111","1,032,533","1,032,091","813,944","6,496","5,714"
"Anaheim, CA","351,301","1,117,310","1,117,310","705,413","2,310","1,960"
"Arlington, TX","397,105","519,537","519,537","463,295","2,558","2,404"
"Atlanta, GA","491,763","2,287,500","2,287,476","1,607,998","7,636","7,432"
"Aurora, CO","367,255","635,098","607,355","493,803","2,891","2,477"
"Austin, TX","951,750","3,849,840","3,849,840","2,010,385","13,610","11,324"
"Bakersfield, CA","379,171","499,577","499,577","467,932","1,490","1,464"
"Baltimore, MD","609,841","4,173,134","4,139,457","3,478,775","25,611","24,095"
"Baton Rouge, LA","223,948","1,253,703","1,237,529","1,138,237","6,637","6,360"
"Boston, MA","688,276","4,389,645","4,080,810","3,563,534","19,672","19,453"
"Buffalo, NY","256,430","1,493,687","1,491,899","1,482,696","9,000","8,864"
"Charlotte, NC","859,347","2,097,059","2,083,454","1,535,364","8,026","6,778"
"Chicago, IL","2,713,067","10,401,108","10,401,108","7,769,195","31,205","29,367"
"Cleveland, OH","385,428","1,490,259","1,490,259","1,055,999","7,046","5,901"
"Cincinnati, OH","301,648","1,183,008","1,133,208","878,892","5,538","4,745"
"Colorado Springs, CO","465,160","1,196,615","1,196,615","480,509","6,779","5,195"
"Columbus, OH","881,763","2,105,712","2,105,712","1,749,477","8,528","7,944"
"Corpus Christi, TX","325,373","585,213","566,048","424,769","2,997","2,656"
"Dallas, TX","1,343,087","4,183,756","4,172,491","3,235,586","14,767","13,509"
"Denver, CO","705,439","3,567,796","3,567,728","3,002,785","14,214","13,148"
"Detroit, MI","674,188","2,973,616","2,963,051","2,108,499","8,675","7,486"
"El Paso, TX","682,938","1,201,949","1,201,832","744,645","6,522","5,758"
"Fort Worth, TX","875,456","1,696,675","1,696,675","1,299,586","6,633","6,067"
"Fresno, CA","526,037","837,429","833,716","440,509","3,451","2,757"
"Honolulu, HI","986,429","3,034,391","3,034,364","1,934,111","10,455","9,726"
"Houston, TX","2,317,445","5,180,259","5,141,456","4,065,294","21,657","21,014"
"Indianapolis, IN","871,572","3,331,544","3,330,102","2,462,058","13,456","11,718"
"Jacksonville, FL","891,736","3,826,298","3,826,298","1,680,409","9,087","8,307"
"Kansas City, MO","488,266","1,985,767","1,924,554","1,649,672","6,332","5,656"
"Las Vegas, NV","635,628","796,547","654,083","796,547","2,867","2,867"
"Long Beach, CA","467,367","1,854,291","1,854,291","1,647,669","5,477","4,402"
"Los Angeles, CA","3,982,002","17,033,533","16,910,390","9,618,230","52,287","42,920"
"Louisville - Jefferson, KY","770,377","1,536,301","1,467,824","1,215,284","7,864","6,762"
"Memphis, TN","651,562","3,107,579","3,107,579","1,048,785","10,604","7,596"
"Mesa, AZ","500,395","912,459","912,459","699,217","3,715","3,443"
"Miami, FL","462,030","1,150,578","1,150,578","894,390","3,951","3,951"
"Milwaukee, WI","593,905","1,541,532","1,541,532","1,116,747","6,506","6,196"
"Minneapolis, MN","421,072","1,652,051","1,652,051","1,582,294","5,298","5,046"
"Nashville, TN","689,006","4,748,542","4,714,188","2,860,520","21,283","19,793"
"New Orleans, LA","391,538","1,555,182","1,555,182","1,359,088","6,342","5,244"
"New York, NY","8,438,271","129,468,995","120,942,567","100,303,777","434,465","382,294"
"Newark, NJ","281,014","917,078","853,798","876,126","3,735","3,603"
"Oakland, CA","423,869","1,377,213","1,377,213","1,319,335","4,239","4,239"
"Oklahoma City, OK","643,337","1,362,700","1,362,700","1,025,980","4,494","3,947"
"Omaha, NE","466,774","644,976","625,094","540,193","2,910","2,910"
"Philadelphia, PA","1,580,221","8,487,838","8,273,771","6,781,475","30,557","27,567"
"Phoenix, AZ","1,634,984","3,201,786","3,190,331","2,422,265","12,939","11,586"
"Pittsburgh, PA","301,720","849,799","849,799","757,141","3,293","3,293"
"Portland, OR","648,630","1,759,816","1,759,816","1,449,059","6,225","5,654"
"Raleigh, NC","465,524","822,681","822,681","552,398","4,556","4,006"
"Riverside, CA","326,988","790,855","790,855","404,282","2,170","1,782"
"Sacramento, CA","500,944","910,769","910,769","776,044","4,106","3,783"
"San Antonio, TX","1,511,409","5,364,452","5,364,107","2,273,708","15,578","11,033"
"San Diego, CA","1,414,427","3,645,189","3,601,597","2,548,601","10,726","9,974"
"San Francisco, CA","879,166","14,038,543","13,458,656","10,262,871","33,660","26,124"
"San Jose, CA","1,032,136","1,973,323","1,915,918","1,544,222","3,403","3,266"
"Santa Ana, CA","333,007","527,520","459,483","452,248","1,094","1,094"
"Seattle, WA","729,601","4,116,980","3,933,912","2,586,164","11,309","8,722"
"St. Louis, MO","307,866","1,239,886","1,200,834","991,110","6,658","6,089"
"Tampa, FL","386,577","935,405","935,405","732,511","4,198","3,852"
"Toledo, OH","276,618","567,856","536,858","480,070","2,644","2,346"
"Tucson, AZ","541,779","1,088,396","1,087,800","721,171","4,956","4,455"
"Tulsa, OK","402,119","905,909","905,003","720,925","3,773","3,212"
"Virginia Beach, VA","449,962","1,945,207","1,925,920","1,859,028","17,638","17,364"
"Washington, DC","695,691","14,562,674","13,879,740","13,255,086","38,191","37,286"
"Wichita, KS","390,307","737,913","737,913","575,705","2,961","2,704"
"a/Population figures are from the Bureau of the Census, Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2017 (September 2018).",,,,,,
