Bureau of Justice Statistics,,,,,,,,,,,,,
filename:  jeeus0305.csv,,,,,,,,,,,,,
"table #:  5 Employment and monthly payroll of the justice system, by activity and level of government, March 2003",,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment in the United States 2003, NCJ 212350",,,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,
author:  Kristen A. Hughes ,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,
date of version:  4/26/2006,,,,,,,,,,,,,

"Table 5. Employment and monthly payroll of the justice system, by activity and level of government, March 2003",,,,,,,,,,,,,

,,,,,,Percent distribution,,,,,,,
Activity,,All governments,Federal,State,Local,Total,,Federal,,State,,Local,
Total justice system,,,,,,,,,,,,,
,  Total employees,"2,361,193","253,367","733,570","1,374,256",100,%,10.7,%,31.1,%,58.2,%
,  2003 March payroll*,"$9,041 ","$1,279 ","$2,639 ","$5,123 ",,,14.1,,29.2,,56.1,
Police protection,,,,,,,,,,,,,
,  Total employees,"1,118,936","156,607","105,933","856,396",100,%,14.0,%,9.5,%,76.5,%
,  2003 March payroll,"$4,545 ",$760 ,$438 ,"$3,347 ",,,16.7,,9.6,,73.6,
Judicial and legal,,,,,,,,,,,,,
,  Total employees,"494,007","61,984","164,051","267,972",100,%,12.5,%,33.2,%,54.2,%
,  2003 March payroll,"$1,969 ",$353 ,$682 ,$934 ,,,17.9,,34.6,,47.4,
Corrections,,,,,,,,,,,,,
,  Total employees,"748,250","34,776","463,586","249,888",100,%,4.6,%,62.0,%,33.4,%
,  2003 March payroll,"$2,526 ",$165 ,"$1,519 ",$842 ,,,6.5,,60.1,,33.3,

"* Payroll is in millions. Detail may not add to total because of rounding. These data are based on a summation of responses from individual State and local government agencies. Local government data are estimates subject to sampling variability, see Methodology for details. Refer to Bureau of Justice Statistics Report, Federal Law Enforcement Officers, 2002 for detail of Federal employment <http://www.ojp.usdoj.gov/bjs/abstract/fleo02.htm>.",,,,,,,,,,,,,
