Bureau of Justice Statistics,,
filename:  jeeus03f3.csv,,
"figure #: 3   Percent change of State and local expenditures for select functions, 1977-2003",,
"series title:  Justice Expenditure and Employment in the United States 2003, NCJ 212350",,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,
author:  Kristen A. Hughes ,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,
date of version:  4/26/2006,,

"Figure 3. Percent change of State and local expenditures for select functions, 1977-2003",,

Select Functions,Percent Change,
Total interest on debt,577,%
Education,505,
Health and hospitals,572,
Public welfare,766,
Justice total,849
Natural resources and parks,509
"Note: Figures may not match those from the Expenditure and Employment Extracts because of definitional differences. Source: Historical Finances, U.S. Census Bureau.",
