Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,
Filename:  jeeus0905.csv,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2009 (final)",,,,,,,,,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2009, NCJ 247018",,,,,,,,,,,,,,,,,,
Data source:  Justice Expenditure and Employment Extracts Program (JEE),,,,,,,,,,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,
Date of version:  ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2009 (revised)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,,Police protection,,,,Judicial and legal,,,,Corrections,,,
,,,,,,,,,,,,,,,,,,
,,,Full-time equivalent employment,,,,,Full-time equivalent employment,,,,Full-time equivalent employment,,,,Full-time equivalent employment,,
,,Number of employees,,,,Number of employees,,,,Number of employees,,,,Number of employees,,,,
,,,,,,,,,,,,,,,,,,
,,,,,Percent of,,,,Percent of,,,,Percent of,,,,Percent of,
,,,,,total,,,,total justice,,,,total justice,,,,total justice,
,Total full-time,,,,full-time,,,,full-time,,,,full-time,,,,full-time,
State and,equivalent,,Full-time,,equivalent,,Full-time,,equivalent,,Full-time,,equivalent,,Full-time,,equivalent,State and
type of government,employment/a,Total,only,Number,employment/b,Total,only,Number,employment/b,Total,only,Number,employment/b,Total,only,Number,employment/b,type of government
,,,,,,,,,,,,,,,,,,
"States-local, total",16611750,2197555,2040014,2105563,12.7,950746,861537,893451,42.4,461020,421178,439283,20.9,785789,757299,772829,36.7,"States-local, total"
State,4407910,780975,757854,770270,17.5,107833,104960,106267,13.8,183107,173414,178628,23.2,490035,479480,485375,63,State
"Local, total",12203840,1416580,1282160,1335293,10.9,842913,756577,787184,59,277913,247764,260655,19.5,295754,277819,287454,21.5,"Local, total"
Counties,3140204,755622,691600,720328,22.9,281567,256990,267117,37.1,218563,195844,205733,28.6,255492,238766,247478,34.4,Counties
Municipalities,3256363,660958,590560,614965,18.9,561346,499587,520067,84.6,59350,51920,54922,8.9,40262,39053,39976,6.5,Municipalities
,,,,,,,,,,,,,,,,,,
Alabama,286963,28576,26549,27418,9.6,14330,13097,13623,49.7,4960,4479,4628,16.9,9286,8973,9167,33.4,Alabama
State,89467,10071,9952,10021,11.2,1693,1693,1693,16.9,3077,2991,3030,30.2,5301,5268,5298,52.9,State
"Local, total",197496,18505,16597,17397,8.8,12637,11404,11930,68.6,1883,1488,1598,9.2,3985,3705,3869,22.2,"Local, total"
Counties,25519,8573,7635,8050,31.5,3780,3400,3580,44.5,1121,841,915,11.4,3672,3394,3555,44.2,Counties
Municipalities,43906,9932,8962,9347,21.3,8857,8004,8350,89.3,762,647,683,7.3,313,311,314,3.4,Municipalities
,,,,,,,,,,,,,,,,,,
Alaska,53943,5340,5061,5170,9.6,1774,1634,1681,32.5,1575,1506,1533,29.7,1991,1921,1956,37.8,Alaska
State,26183,3903,3719,3781,14.4,516,449,459,12.1,1455,1397,1419,37.5,1932,1873,1903,50.3,State
