Bureau of Justice Statistics,,,,,,,,,,
Filename:  jeeus0910.csv,,,,,,,,,,
"Table 10.   Detail of direct expenditure for correctional activities of state governments by character and object, fiscal 2009 (final)",,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2009, NCJ 247018",,,,,,,,,,
Data source:  Justice Expenditure and Employment Extracts Program (JEE),,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version:  ,,,,,,,,,,
,,,,,,,,,,
"Table 10.   Detail of direct expenditure for correctional activities of state governments by character and object, fiscal 2009 (revised)",,,,,,,,,,
(Dollar amounts in thousands.),,,,,,,,,,
,,,,,,,,,,
,,Institutions,,,,,Other corrections,,,
,,,,Capital outlay,,Percent,,,,Percent
,Total,,,,,of total,,,,of total
,corrections,,,,,corrections,,,,corrections
State,direct,,Direct,,,direct,,Direct,Capital,direct
,expenditure,Total,current,Construction,Other,expenditure,Total,current,outlay,expenditure
,,,,,,,,,,
Total,47841508,39814354,37845194,1393134,576026,83.2,8027154,7912526,114628,16.8
,,,,,,,,,,
Alabama,508639,420269,416245,2379,1645,82.6,88370,85630,2740,17.4
Alaska,259889,225485,222141,3063,281,86.8,34404,34300,104,13.2
Arizona,1086400,991532,883326,104075,4131,91.3,94868,92627,2241,8.7
Arkansas,304715,265281,233239,32042,0,87.1,39434,39434,0,12.9
California,8827297,7659623,7346492,0,313131,86.8,1167674,1167393,281,13.2
,,,,,,,,,,
Colorado,918965,657922,556115,96326,5481,71.6,261043,256489,4554,28.4
Connecticut,724989,708269,704275,635,3359,97.7,16720,16359,361,2.3
Delaware,272763,214198,213307,0,891,78.5,58565,58116,449,21.5
Florida,2670803,2076984,1881047,186752,9185,77.8,593819,592133,1686,22.2
Georgia,1393618,1066065,1006546,41486,18033,76.5,327553,319251,8302,23.5
,,,,,,,,,,
Hawaii,230656,213817,204296,6670,2851,92.7,16839,16568,271,7.3
Idaho,249070,213254,193436,19253,565,85.6,35816,35470,346,14.4
Illinois,1291144,1094300,1085380,7946,974,84.8,196844,194860,1984,15.2
Indiana,674337,619371,616111,1327,1933,91.8,54966,54402,564,8.2
Iowa,290201,275732,266185,6414,3133,95,14469,14351,118,5
,,,,,,,,,,
Kansas,307911,261463,247809,12377,1277,84.9,46448,45769,679,15.1
Kentucky,487781,440276,439199,1,1076,90.3,47505,47453,52,9.7
Louisiana,682288,517603,507806,3145,6652,75.9,164685,161289,3396,24.1
Maine,148446,103166,102917,0,249,69.5,45280,45098,182,30.5
Maryland,1392474,1071847,1042051,25417,4379,77,320627,319172,1455,23
,,,,,,,,,,
Massachusetts,1098664,887798,875607,4330,7861,80.8,210866,209911,955,19.2
Michigan,1741363,1500444,1499144,316,984,86.2,240919,240842,77,13.8
Minnesota,483771,307487,254999,47474,5014,63.6,176284,174250,2034,36.4
Mississippi,336025,300831,299156,63,1612,89.5,35194,34734,460,10.5
Missouri,720432,640128,608271,26072,5785,88.9,80304,74073,6231,11.1
,,,,,,,,,,
Montana,180160,136426,129260,1973,5193,75.7,43734,43248,486,24.3
Nebraska,228717,96741,95649,1067,25,42.3,131976,131239,737,57.7
Nevada,392944,342551,241553,99564,1434,87.2,50393,49509,884,12.8
New Hampshire,107634,85419,82093,2857,469,79.4,22215,22138,77,20.6
New Jersey,1422317,1073330,1062126,6719,4485,75.5,348987,339031,9956,24.5
,,,,,,,,,,
New Mexico,379599,282376,275915,3509,2952,74.4,97223,94772,2451,25.6
New York,2978347,2598193,2310113,261347,26733,87.2,380154,377429,2725,12.8
North Carolina,1350714,1147555,1088836,54385,4334,85,203159,200452,2707,15
North Dakota,65456,63973,62477,476,1020,97.7,1483,1069,414,2.3
Ohio,1584691,1217147,1179287,36009,1851,76.8,367544,352254,15290,23.2
,,,,,,,,,,
Oklahoma,610889,462682,451950,3893,6839,75.7,148207,138608,9599,24.3
Oregon,601698,468352,458969,9383,0,77.8,133346,126027,7319,22.2
Pennsylvania,1649238,1554547,1518632,26181,9734,94.3,94691,93006,1685,5.7
Rhode Island,179649,132180,131564,384,232,73.6,47469,47246,223,26.4
South Carolina,484347,432818,414406,16685,1727,89.4,51529,50893,636,10.6
,,,,,,,,,,
South Dakota,112932,98313,97036,1016,261,87.1,14619,12125,2494,12.9
Tennessee,609006,492679,449877,42390,412,80.9,116327,115628,699,19.1
Texas,3560644,3238338,3144702,20627,73009,90.9,322306,320369,1937,9.1
Utah,333720,197883,196147,0,1736,59.3,135837,135557,280,40.7
Vermont,119181,55936,55590,8,338,46.9,63245,63185,60,53.1
,,,,,,,,,,
Virginia,1198482,893262,879291,2235,11736,74.5,305220,295022,10198,25.5
Washington,1158049,822139,689409,118413,14317,71,335910,333038,2872,29
West Virginia,255904,235294,230856,2860,1578,91.9,20610,20124,486,8.1
Wisconsin,1026271,835708,802664,27915,5129,81.4,190563,189844,719,18.6
Wyoming,148278,117367,91692,25675,0,79.2,30911,30739,172,20.8
