Bureau of Justice Statistics,,,,,,,,
Filename:  jeeus0918.csv,,,,,,,,
Table 18. Supplemental data for state governments (final),,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2009, NCJ 247018",,,,,,,,
Data source:  Justice Expenditure and Employment Extracts Program (JEE),,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,
Date of version:  ,,,,,,,,
,,,,,,,,
Table 18. Supplemental data for state governments (revised),,,,,,,,
,,,,,,,,
,,"Personal income,",,"Expenditures, fiscal 2009",,,Full-time equivalent employment,
,,calendar year 2009/a,,(thousands of dollars),,,9-Mar,
,,,,All functions,,,,
,Estimated,,,,,,,
,population as of,Amount,,Total (direct,Direct,,,
,1-Jul-09,(millions of,,and inter,expenditure,Total general,,General
State,(thousands),dollars),Per capita,governmental),only,expenditure/b,All functions,functions only/c
,,,,,,,,
Total,306407,11876666,38761,1831977703,1341115850,1559306310,4407910,4361004
,,,,,,,,
Alabama,4709,155399,33002,26422265,19886631,23335185,89467,88726
Alaska,698,30215,43259,10991829,9375140,9896330,26183,26183
Arizona,6596,215398,32657,31516818,21897848,27819006,68972,68964
Arkansas,2889,92610,32051,16164504,11465615,14553101,61337,61337
California,36962,1528457,41352,253944548,159035308,211083320,411142,411142
,,,,,,,,
Colorado,5025,205437,40885,24443854,18040727,20374991,72778,72778
Connecticut,3518,190818,54236,25648727,21332351,21341539,66498,66498
Delaware,885,34444,38914,7360953,6155706,6634392,26510,25768
Florida,18538,697362,37618,75653366,57975438,66993514,185630,184930
Georgia,9829,327892,33359,41452427,30635855,35956143,122582,122582
,,,,,,,,
Hawaii,1295,54786,42300,11244913,11085461,10096387,60041,60041
Idaho,1546,48236,31205,8260478,6183450,7161726,23179,22940
Illinois,12910,525411,40697,68424788,53390001,57082222,136542,136542
Indiana,6423,215503,33551,31821826,23606835,28560715,92484,92484
Iowa,3008,112442,37383,18303986,13643184,16172418,52288,52288
,,,,,,,,
Kansas,2819,108340,38436,15832222,11517282,14155854,45163,45163
Kentucky,4314,137959,31979,26853131,22083260,23019129,81117,81117
Louisiana,4492,162402,36153,33406414,26901025,29956928,91809,91809
Maine,1318,47942,36367,8775249,7449526,7885803,21497,21496
Maryland,5699,273193,47933,36023284,27368349,31665036,89511,88747
,,,,,,,,
Massachusetts,6594,324680,49242,48028405,39137905,40908513,96865,96344
Michigan,9970,331847,33285,58997843,39340966,50187731,142924,142924
Minnesota,5266,217705,41340,36308889,25109659,31550435,80536,78025
Mississippi,2952,88780,30075,19246076,14089426,17162353,57773,57597
Missouri,5988,216049,36083,28613023,22676335,24818836,90092,90092
,,,,,,,,
Montana,975,33168,34019,6268607,4992495,5419903,20590,20562
Nebraska,1797,70072,39002,9110284,7046111,8548494,32333,32333
Nevada,2643,98041,37093,12056208,8191985,9869734,29517,29481
New Hampshire,1325,55859,42171,6956174,5677585,5846814,19591,19032
New Jersey,8708,433997,49840,62037950,50902141,48208101,154106,143496
,,,,,,,,
New Mexico,2010,65980,32831,17377696,12637027,15771442,48680,48680
New York,19541,901616,46139,165100850,109993768,133940570,257490,239355
North Carolina,9381,322307,34358,48586378,35024299,42305938,147895,147895
North Dakota,647,26362,40755,4486613,3552639,4069320,17667,17667
Ohio,11543,405184,35103,71862926,52899694,56813211,142945,142945
,,,,,,,,
Oklahoma,3687,126412,34285,21365899,16859443,18158546,72198,71637
Oregon,3826,135474,35412,24381062,18677287,19388496,63086,62848
Pennsylvania,12605,499331,39614,79812933,60668628,66894551,172622,168122
Rhode Island,1053,42889,40722,7440637,6437722,5963618,19669,18904
South Carolina,4561,145249,31844,28569063,23048084,22736275,77262,75419
,,,,,,,,
South Dakota,812,30862,37989,4112566,3404704,3732321,14053,14053
Tennessee,6296,213156,33854,28294693,21496758,25869928,84387,84387
Texas,24782,904212,36486,110998477,81746113,98299224,300112,300112
Utah,2785,86839,31186,15568462,12447935,13961499,51606,51226
Vermont,622,24273,39039,5467079,3934313,5035486,14598,14542
,,,,,,,,
Virginia,7883,342298,43425,42204081,30309687,38047366,125570,123849
Washington,6664,278665,41815,43453465,33409676,36537414,125423,124495
West Virginia,1820,57419,31553,11501520,9268962,10376402,39505,39440
Wisconsin,5655,209347,37021,35646272,25446752,30176862,70457,70457
Wyoming,544,24347,44733,5577990,3658759,4963188,13628,13550
,,,,,,,,
"Note:  ""Estimated population"" represents resident U.S. population (50 states excluding the District of Columbia) from the Bureau of the Census, Current Population Reports, July 2010.",,,,,,,,
"a/ ""Personal income"" is from the U.S. Department of Commerce, Survey of Current Business, August 2009.",,,,,,,,
"b/ ""Total general expenditure"" excludes utilities, State-operated liquor stores, and insurance trust benefits.",,,,,,,,
"c/ ""General functions only"" FTE excludes utilities, and State-operated liquor stores.",,,,,,,,
