Bureau of Justice Statistics,,,,,,
Filename:  jeeus0919.csv,,,,,,
Table 19. Supplemental data for 68 large county governments (final),,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2009, NCJ 247018",,,,,,
Data source:  Justice Expenditure and Employment Extracts Program (JEE),,,,,,
Author: Tracey Kyckelhahn,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version:  ,,,,,,
,,,,,,
Table 19. Supplemental data for 68 large county governments (revised),,,,,,
,,,,,,
,,"Expenditures, fiscal 2009 (thousands of dollars)",,,"Full-time equivalent employment, March 2009",
,,,,,,
,,All functions,,,,
,,,,,,
,Population,Total (direct and,Direct expenditure,Total general,,General functions
County,2009/a,intergovernmental),only,expenditure/b,All functions,only/c
,,,,,,
"Alameda, CA",1491482,2942231,2924647,2595877,12624,12624
"Allegheny, PA",1218494,1718050,1637635,1650006,6768,6768
"Baltimore, MD",789814,2931081,2857484,2692573,25425,25425
"Bergen, NJ",895250,1184141,1142880,1184141,4755,4755
"Bexar, TX",1651448,1443521,1408266,1443521,10626,10626
"Broward, FL",1766476,2414437,2413074,2204464,12758,11604
"Clark, NV",1902834,5135718,5107535,4606684,19998,18150
,,,,,,
"Contra Costa, CA",1041274,2426545,2383171,2171962,8311,8311
"Cook, IL",5287037,3205657,3195997,2740803,22820,22820
"Cuyahoga, OH",1275709,2265349,2243500,2265349,15691,15691
"Dade, FL",2500625,8967067,8743221,8254933,46382,41892
"Dallas, TX",2451730,2056763,2056763,2046392,16138,16138
"Dekalb, GA",747274,1106015,1106015,915577,7434,6762
"Delaware, PA",558028,624128,615695,624128,2949,2949
,,,,,,
"Du Page, IL",932541,470493,461546,470493,3371,3341
"Erie, NY",909247,1918157,1527760,1800422,10053,9806
"Essex, NJ",769644,938265,867731,937847,4852,4852
"Fairfax, VA",1037605,5159483,5079842,4623422,39459,39030
"Franklin, OH",1150122,1141703,1086519,1139909,6446,6446
"Fresno, CA",915267,1659564,1638668,1487860,8441,8441
"Fulton, GA",1033756,1238770,965062,1033931,8602,8551
,,,,,,
"Hamilton, OH",855062,1110669,896859,1110669,5271,5271
"Harris, TX",4070989,4312268,4312207,4312119,25522,25502
"Hennepin, MN",1156212,2302422,2286046,2277535,7483,7483
"Hillsborough, FL",1195317,1983759,1754868,1768249,11429,11042
"Hudson, NJ",597924,588835,545498,588835,4025,4025
"Jackson, MO",705708,491453,491230,486193,1935,1935
"Jefferson, AL",665027,911215,790024,885503,4361,4361
,,,,,,
"King, WA",1916441,3122284,3065364,2461947,13651,9348
"Lake, IN",494211,326398,326398,326398,3040,3040
"Los Angeles, CA",9848011,20433370,20089182,18340859,105767,105667
"Macomb, MI",831427,637866,626632,602984,3143,3143
"Maricopa, AZ",4023132,1760109,1570727,1759743,13566,13566
"Middlesex, NJ",790738,773992,769722,773992,4264,4264
"Milwaukee, WI",959521,1508102,1508102,1204678,7117,6015
,,,,,,
"Monmouth, NJ",644105,757427,730668,757361,5293,5293
"Monroe, NY",733703,1498692,1159113,1434168,5968,5745
"Montgomery, MD",971600,5360457,5154292,4691508,35510,34405
"Montgomery, OH",532562,627162,600640,596882,4875,4744
"Montgomery, PA",782339,669157,645908,644907,4056,4056
"Multnomah, OR",726855,827949,801639,827949,4414,4414
"Nassau, NY",1357429,3880678,3535648,3880675,15725,15725
,,,,,,
"Norfolk, MA",666303,118265,118265,65130,455,455
"Oakland, MI",1205508,979792,960514,914850,4375,4375
"Oklahoma, OK",716704,137989,137989,137989,2255,2255
"Orange, CA",3026786,3751199,3661732,3368798,18378,18378
"Orange, FL",1086480,1862013,1804584,1849361,10913,10444
"Palm Beach, FL",1279950,2227885,2143747,2108010,11197,10713
"Pima, AZ",1020200,1372276,1343590,1372276,7359,7287
,,,,,,
"Pinellas, FL",909013,1358687,1248717,1262090,6377,5986
"Prince Georges, MD",834560,3946709,3813531,3676449,29526,29179
"Riverside, CA",2125440,3987235,3936626,3987235,20730,20730
"Sacramento, CA",1400949,3414530,3351097,2990806,13683,13324
"St. Louis, MO",992408,617309,533010,612080,3989,3989
"Salt Lake, UT",1034989,622413,622413,622413,4596,4596
"San Bernadino, CA",2017673,3629193,3464937,3364445,20120,20119
,,,,,,
"San Diego, CA",3053793,4444011,4104090,4061776,20452,20452
"San Mateo, CA",718989,1480567,1414023,1367136,7239,7239
"Santa Clara, CA",1784642,4139927,4064434,4139927,18334,18334
"Shelby, TN",920232,2034439,1441769,1984606,13981,13981
"Suffolk, NY",1518475,3197486,2910402,2954744,14987,14387
"Summit, OH",542405,532644,530761,532620,3824,3769
,,,,,,
"Tarrant, TX",1789900,1533668,1533668,1533668,11277,11277
"Travis, TX",1026158,625153,625153,625153,5115,5115
"Union, NJ",526426,608567,579917,608567,4118,4118
"Ventura, CA",802983,1816249,1712520,1634161,9136,9082
"Wayne, MI",1925848,1788536,1574883,1680342,5232,5232
"Westchester, NY",955962,3313864,3004003,3161936,10630,10568
,,,,,,
Note: Jurisdictions without data did not report for 2009.,,,,,,
"a/ Population data are from the Bureau of the Census, July 1, 2010 county population estimates. ",,,,,,
"b/ ""Total general expenditure"" excludes utilities, county-operated liquor stores, and insurance trust benefits.",,,,,,
"c/ ""General functions only"" FTE excludes utilities and county-operated liquor stores.",,,,,,
