Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,
Filename:  jeeus1005.csv,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2010 (final)",,,,,,,,,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2010, NCJ 247019",,,,,,,,,,,,,,,,,,
Data source:  Justice Expenditure and Employment Extracts Program (JEE),,,,,,,,,,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,
Date of version:  ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2010 (final)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,,Police protection,,,,Judicial and legal,,,,Corrections,,,
,,,,,,,,,,,,,,,,,,
,,,Full-time equivalent employment,,,,,Full-time equivalent employment,,,,Full-time equivalent employment,,,,Full-time equivalent employment,,
,,Number of employees,,,,Number of employees,,,,Number of employees,,,,Number of employees,,,,
,,,,,,,,,,,,,,,,,,
,,,,,Percent of,,,,Percent of,,,,Percent of,,,,Percent of,
,,,,,total,,,,total justice,,,,total justice,,,,total justice,
,Total full-time,,,,full-time,,,,full-time,,,,full-time,,,,full-time,
State and,equivalent,,Full-time,,equivalent,,Full-time,,equivalent,,Full-time,,equivalent,,Full-time,,equivalent,State and
type of government,employment/a,Total,only,Number,employment/b,Total,only,Number,employment/b,Total,only,Number,employment/b,Total,only,Number,employment/b,type of government
,,,,,,,,,,,,,,,,,,
"States-local, total",16581654,2166230,2012458,2075203,12.5,944802,857108,887722,42.8,457251,418115,435706,21,764177,737235,751775,36.2,"States-local, total"
State,4377814,766474,743972,755666,17.3,108740,105608,106864,14.1,181138,171364,176496,23.4,476596,467000,472306,62.5,State
"Local, total",12203840,1399756,1268486,1319537,10.8,836062,751500,780858,59.2,276113,246751,259210,19.6,287581,270235,279469,21.2,"Local, total"
Counties,3109876,745999,683841,711441,22.9,280946,256403,266320,37.4,216008,194440,203782,28.6,249045,232998,241339,33.9,Counties
Municipalities,3194090,653757,584645,608096,19,555116,495097,514538,84.6,60105,52311,55428,9.1,38536,37237,38130,6.3,Municipalities
,,,,,,,,,,,,,,,,,,
Alabama,287128,28898,27081,27852,9.7,14036,12963,13389,48.1,5413,5010,5154,18.5,9449,9108,9309,33.4,Alabama
State,89632,10711,10591,10662,11.9,1641,1641,1641,15.4,3567,3496,3534,33.1,5503,5454,5487,51.5,State
"Local, total",197496,18187,16490,17190,8.7,12395,11322,11748,68.3,1846,1514,1620,9.4,3946,3654,3822,22.2,"Local, total"
Counties,24979,8424,7563,7955,31.8,3698,3363,3517,44.2,1079,844,916,11.5,3647,3356,3522,44.3,Counties
Municipalities,42945,9763,8927,9235,21.5,8697,7959,8231,89.1,767,670,704,7.6,299,298,300,3.2,Municipalities
,,,,,,,,,,,,,,,,,,
Alaska,54449,5588,5340,5468,10,1967,1862,1913,35,1576,1517,1545,28.3,2045,1961,2010,36.8,Alaska
State,26689,4136,3981,4059,15.2,702,668,676,16.7,1469,1416,1441,35.5,1965,1897,1942,47.8,State
