Bureau of Justice Statistics,,,,,,,,,,,
Filename:  jeeus1007.csv,,,,,,,,,,,
"Table 7.   Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment by state and type of government, March 2010 (final)",,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2010, NCJ 247019",,,,,,,,,,,
Data source:  Justice Expenditure and Employment Extracts Program (JEE),,,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,
Date of version:  ,,,,,,,,,,,
,,,,,,,,,,,
"Table 7.   Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment by state and type of government, March 2010 (final)",,,,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,,,
,,,,,,,,,,,
,,Sworn,,,,,Nonsworn,,,,
,,,,,,,,,,,
,,Number of,,Full-time equivalent,,,Number of,,Full-time equivalent,,
,,employees,,employment,,,employees,,employment,,
,,,,,,,,,,,
,Total police,,,,Percent of,,,,,Percent of,
,protection,,,,total police,,,,,total police,
,full-time,,,,protection,,,,,protection,
State and type,equivalent,,Full-time,,full-time,March,,Full-time,,full-time,March
of government,employment,Total,only,Number,equivalent,payrolls,Total,only,Number,equivalent,payrolls
,,,,,,,,,,,
"States-local, total",887722,670370,648191,658678,74.2,3740806,274432,208917,229044,25.8,894218
State,106864,69087,68083,68326,63.9,409612,39653,37525,38538,36.1,151033
"Local, total",780858,601283,580108,590352,75.6,3331194,234779,171392,190506,24.4,743185
Counties,266320,186917,178991,182704,68.6,948518,94029,77412,83616,31.4,326348
Municipalities,514538,414366,401117,407648,79.2,2382676,140750,93980,106890,20.8,416837
,,,,,,,,,,,
Alabama,13389,10224,10007,10116,75.6,39880,3812,2956,3273,24.4,9265
State,1641,866,866,866,52.8,3834,775,775,775,47.2,2443
"Local, total",11748,9358,9141,9250,78.7,36045,3037,2181,2498,21.3,6822
Counties,3517,2802,2679,2739,77.9,10089,896,684,778,22.1,2068
Municipalities,8231,6556,6462,6511,79.1,25957,2141,1497,1720,20.9,4755
,,,,,,,,,,,
Alaska,1913,1110,1079,1105,57.8,7666,857,783,808,42.2,3713
State,676,295,295,295,43.6,2224,407,373,381,56.4,1704
"Local, total",1237,815,784,810,65.5,5443,450,410,427,34.5,2009
Boroughs,67,52,52,54,80.6,333,18,12,13,19.4,69
Municipalities,1170,763,732,756,64.6,5109,432,398,414,35.4,1940
,,,,,,,,,,,
Arizona,20334,15085,15038,15062,74.1,86642,5401,5153,5272,25.9,22729
State,2048,1181,1181,1181,57.7,6641,881,848,867,42.3,3917
"Local, total",18286,13904,13857,13881,75.9,80001,4520,4305,4405,24.1,18812
Counties,5746,4991,4953,4966,86.4,21987,795,764,780,13.6,2841
Municipalities,12540,8913,8904,8915,71.1,58014,3725,3541,3625,28.9,15971
,,,,,,,,,,,
Arkansas,8880,6646,6447,6527,73.5,21681,2552,2221,2353,26.5,6118
State,1211,552,552,552,45.6,2371,662,657,659,54.4,2090
"Local, total",7669,6094,5895,5975,77.9,19309,1890,1564,1694,22.1,4028
Counties,2296,1945,1816,1851,80.6,4723,528,383,445,19.4,801
Municipalities,5373,4149,4079,4124,76.8,14587,1362,1181,1249,23.2,3227
,,,,,,,,,,,
California,99207,71929,69399,70471,71,579309,31401,26859,28736,29,151142
State,11924,8650,8214,8280,69.4,65324,3677,3608,3644,30.6,13064
"Local, total",87283,63279,61185,62191,71.3,513985,27724,23251,25092,28.7,138078
Counties,38172,27547,26413,26964,70.6,198958,11635,10872,11208,29.4,62988
Municipalities,49111,35732,34772,35227,71.7,315027,16089,12379,13884,28.3,75090
,,,,,,,,,,,
Colorado,15031,10620,10539,10581,70.4,62224,4908,4232,4450,29.6,18710
State,1507,1050,1050,1050,69.7,6212,502,448,457,30.3,1879
"Local, total",13524,9570,9489,9531,70.5,56012,4406,3784,3993,29.5,16830
Counties,4635,3245,3178,3203,69.1,16366,1565,1365,1432,30.9,6220
Municipalities,8889,6325,6311,6328,71.2,39646,2841,2419,2561,28.8,10610
,,,,,,,,,,,
Connecticut,7072,5475,5470,5491,77.6,36395,2161,1316,1581,22.4,7396
State,1868,1210,1209,1210,64.8,7214,698,648,658,35.2,3530
"Local, total",5204,4265,4261,4281,82.3,29181,1463,668,923,17.7,3866
Municipalities,5204,4265,4261,4281,82.3,29181,1463,668,923,17.7,3866
,,,,,,,,,,,
Delaware,2554,1963,1950,1948,76.3,11580,679,490,606,23.7,1956
State,999,692,692,692,69.3,4596,310,299,307,30.7,1140
"Local, total",1555,1271,1258,1256,80.8,6984,369,191,299,19.2,816
Counties,542,405,405,403,74.4,2452,191,38,139,25.6,347
Municipalities,1013,866,853,853,84.2,4533,178,153,160,15.8,469
,,,,,,,,,,,
District of Columbia,4690,3998,3998,3998,85.2,28317,692,692,692,14.8,3923
"Local, total",4690,3998,3998,3998,85.2,28317,692,692,692,14.8,3923
Municipality,4690,3998,3998,3998,85.2,28317,692,692,692,14.8,3923
,,,,,,,,,,,
Florida,63774,40346,39547,39815,62.4,230259,26971,22016,23959,37.6,88385
State,4372,2607,2196,2298,52.6,9964,2150,2030,2074,47.4,7066
"Local, total",59402,37739,37351,37517,63.2,220295,24821,19986,21885,36.8,81319
Counties,35903,20678,20517,20569,57.3,118865,17376,14043,15334,42.7,57203
Municipalities,23499,17061,16834,16948,72.1,101430,7445,5943,6551,27.9,24116
,,,,,,,,,,,
Georgia,26524,20652,20432,20597,77.7,77478,6684,5561,5927,22.3,18088
State,2041,1087,1086,1087,53.3,4466,969,935,954,46.7,3259
