Bureau of Justice Statistics,,,,,,,,,,
Filename:  jeeus1008.csv,,,,,,,,,,
"Table 8.   Per capita justice expenditure (fiscal 2010) and full-time equivalent justice employment per 10,000 population (July 2010) of State and local governments by activity and state (final)",,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2010, NCJ 247019",,,,,,,,,,
Data source:  Justice Expenditure and Employment Extracts Program (JEE),,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version:  ,,,,,,,,,,
,,,,,,,,,,
"Table 8.   Per capita justice expenditure (fiscal 2010) and full-time equivalent justice employment per 10,000 population (July 2010) of State and local governments by activity and state (final)",,,,,,,,,,
,,,,,,,,,,
,,"Per capita justice expenditure,",,,,Full-time equivalent justice employment,,,,
,,fiscal 2010,,,,"per 10,000 population, March 2010",,,,
,,,,,,,,,,
,Population,Total,,,,Total,,Police protection,,
State,2010,justice,Police,Judicial,,justice,,,Judicial,
,,system,Protection,and legal,Corrections,system,Total,Sworn only,and legal,Corrections
,,,,,,,,,,
Total,308745538,682,307.58,139.42,235,67.2,28.8,21.3,14.1,24.3
,,,,,,,,,,
Alabama,4779736,478.97,235.68,88.49,154.8,58.27,28.01,21.16,10.78,19.48
Alaska,710231,1235.77,462.22,387.38,386.17,76.99,26.93,15.56,21.75,28.3
Arizona,6392017,744.92,335.31,149.42,260.19,73.45,31.81,23.56,17.13,24.51
Arkansas,2915918,419.51,182.54,67.27,169.7,69.37,30.45,22.38,11.6,27.32
California,37253956,998.33,410.69,240.66,346.97,66.22,26.63,18.92,13.9,25.69
,,,,,,,,,,
Colorado,5029196,690.37,315.3,114.33,260.75,65.83,29.89,21.04,14.04,21.9
Connecticut,3574097,665.37,295.56,181.97,187.84,53.92,19.79,15.36,13.93,20.2
Delaware,897934,772.91,316.01,165.18,291.73,80.46,28.44,21.69,19.99,32.03
District of Columbia,601723,1572.49,945.48,198.43,428.58,141.11,77.94,66.44,40.43,22.73
Florida,18801310,753.59,392.89,121.23,239.47,77.76,33.92,21.18,18.07,25.77
,,,,,,,,,,
Georgia,9687653,562.73,227.96,101.57,233.2,72.15,27.38,21.26,14.35,30.42
Hawaii,1360301,629.33,283.13,194.25,151.95,68.36,28.65,21.78,22.24,17.47
Idaho,1567582,547.51,235.29,119.93,192.3,63.29,27.66,19.11,13.16,22.47
Illinois,12830632,627.09,359.07,114.99,153.04,64.09,32.52,25.34,13.92,17.65
Indiana,6483802,425.49,194.29,75.38,155.81,57.37,25.79,18.95,11.83,19.74
,,,,,,,,,,
Iowa,3046355,454.49,205.9,108.81,139.78,49.16,22.87,16.7,10.19,16.1
Kansas,2853118,535.92,256.85,104.84,174.23,68.23,31.7,22.14,13.17,23.37
Kentucky,4339367,436.21,158.18,113.17,164.85,55.87,23.93,18.29,14.5,17.44
Louisiana,4533372,746.77,317.22,161.23,268.32,87.11,38.08,28.13,18.02,31.01
Maine,1328361,430.19,196.93,80.42,152.84,36.59,15.76,11.29,6.29,14.53
,,,,,,,,,,
Maryland,5773552,795.96,353.6,141.41,300.95,75.81,32.13,23.34,15.24,28.45
Massachusetts,6547629,627.23,297.66,147.63,181.94,55.22,30.99,25.84,14.8,9.44
Michigan,9883640,576,241.39,104.35,230.26,53.72,20.45,15.97,11.72,21.55
Minnesota,5303925,606.08,318.53,125.32,162.23,51.4,22.87,16.76,11.1,17.43
Mississippi,2967297,469.09,211.86,75.53,181.7,60.68,32.11,23.26,9.9,18.67
,,,,,,,,,,
Missouri,5988927,505.5,266.39,87.63,151.48,71.46,31.43,22.49,13.54,26.49
