Bureau of Justice Statistics,,,,,,,,
Filename:  jeeus1018.csv,,,,,,,,
Table 18. Supplemental data for state governments (final),,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2010, NCJ 247019",,,,,,,,
Data source:  Justice Expenditure and Employment Extracts Program (JEE),,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,
Date of version:  ,,,,,,,,
,,,,,,,,
Table 18. Supplemental data for state governments (final),,,,,,,,
,,,,,,,,
,,"Personal income,",,"Expenditures, fiscal 2010",,,Full-time equivalent employment,
,,calendar year 2010/a,,(thousands of dollars),,,10-Mar,
,,,,All functions,,,,
,Estimated,,,,,,,
,population as of,Amount,,Total (direct,Direct,,,
,1-Jul-10,(millions of,,and inter,expenditure,Total general,,General
State,(thousands),dollars),Per capita,governmental),only,expenditure/b,All functions,functions only/c
,,,,,,,,
Total,308144,12487349,40524,1943587897,1458044319,1593595176,4377814,4330939
,,,,,,,,
Alabama,4780,162249,33945,27699687,21095674,24016434,89632,88899
Alaska,710,31374,44174,10998837,9343370,9734692,26689,26689
Arizona,6392,223716,34999,33015591,23836077,27982432,66807,66799
Arkansas,2916,96663,33150,18005386,12947788,15801236,63484,63484
California,37254,1605790,43104,257380859,166850728,210491325,410653,410653
,,,,,,,,
Colorado,5029,215259,42802,26996775,20483071,21153440,71064,71064
Connecticut,3574,200154,56001,27456676,22609806,21571811,63199,63199
Delaware,898,35883,39962,7826826,6591218,6917204,26023,25202
Florida,18801,738373,39272,81831697,63353248,68685083,184465,183794
Georgia,9688,343817,35490,44482207,33734587,36710385,124159,124159
,,,,,,,,
Hawaii,1360,55801,41021,11208830,11031206,9742970,58121,58121
Idaho,1568,50565,32257,8514075,6491179,7119304,21940,21712
Illinois,12831,553753,43159,75269664,59738918,59248040,131352,131352
Indiana,6484,226562,34943,35474194,25768940,30502869,89549,89549
Iowa,3046,116616,38281,19108896,14580577,16306414,51328,51328
,,,,,,,,
Kansas,2853,113375,39737,16583949,12406991,14175566,43824,43824
Kentucky,4339,144711,33348,29097531,24018686,24192556,80714,80714
Louisiana,4533,174292,38446,33615486,26957089,29560930,88720,88720
Maine,1328,49548,37300,9024322,7677683,7929528,21130,21129
Maryland,5774,283049,49025,37487628,28894849,32110165,88318,87574
,,,,,,,,
Massachusetts,6548,337542,51552,51802490,42695007,41790896,95355,94867
Michigan,9884,351830,35597,63917651,44507633,51510080,145606,145606
Minnesota,5304,227234,42843,37904398,27476741,31603258,79941,77456
Mississippi,2967,92539,31186,20022652,14750210,17500003,56858,56699
Missouri,5989,221465,36979,30781944,24553989,25805030,88818,88818
,,,,,,,,
Montana,989,34943,35317,7052380,5717902,6004791,20375,20348
Nebraska,1826,72244,39557,9480245,7287907,8711162,32560,32560
Nevada,2701,99913,36997,12934509,9230935,9478097,28345,28309
New Hampshire,1316,58036,44085,7705787,6444333,6350744,19470,18903
New Jersey,8792,446464,50781,67776049,55898457,49106061,152003,141394
,,,,,,,,
New Mexico,2059,69676,33837,17996040,13687186,15890396,48160,48160
New York,19378,946054,48821,174754082,120435719,137973286,251150,233232
North Carolina,9535,339828,35638,52189891,38759945,43013853,146409,146409
North Dakota,673,27305,40597,5134130,3888444,4688497,18139,18139
Ohio,11537,419871,36395,76690552,58341809,57813231,139907,139907
,,,,,,,,
Oklahoma,3751,136627,36421,22639978,18093532,19233124,70501,69955
Oregon,3831,142113,37095,26978154,21113272,20559825,65348,65118
Pennsylvania,12702,522731,41152,87285286,68413852,69431023,168268,163622
Rhode Island,1053,44817,42579,8211203,7017603,6352238,18694,17914
South Carolina,4625,153392,33163,29036789,23667270,22919524,77083,75223
,,,,,,,,
South Dakota,814,31643,38865,4429196,3692006,3988279,14310,14310
Tennessee,6346,224064,35307,29675372,23010544,26326505,82871,82871
Texas,25146,993063,39493,119871583,92410268,102372521,317912,317912
Utah,2764,90090,32595,16267432,13239752,14183072,51291,50930
Vermont,626,25207,40283,5745943,4227814,5172036,14408,14358
,,,,,,,,
Virginia,8001,358140,44762,43297502,32338108,37994323,124709,122877
Washington,6725,292950,43564,46237740,36439296,36469145,122772,121800
West Virginia,1853,60484,32641,12343051,9960418,10767434,39375,39312
Wisconsin,5687,218564,38432,38589815,28336691,31677742,72428,72428
Wyoming,564,26970,47851,5756937,3995991,4956616,13577,13537
,,,,,,,,
"Note:  ""Estimated population"" represents resident U.S. population (50 states excluding the District of Columbia) from the Bureau of the Census, Current Population Reports, July 2011.",,,,,,,,
"a/ ""Personal income"" is from the U.S. Department of Commerce, Survey of Current Business, August 2010.",,,,,,,,
"b/ ""Total general expenditure"" excludes utilities, State-operated liquor stores, and insurance trust benefits.",,,,,,,,
"c/ ""General functions only"" FTE excludes utilities, and State-operated liquor stores.",,,,,,,,
