Bureau of Justice Statistics,,,,,,
Filename:  jeeus1019.csv,,,,,,
Table 19. Supplemental data for 68 large county governments (final),,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2010, NCJ 247019",,,,,,
Data source:  Justice Expenditure and Employment Extracts Program (JEE),,,,,,
Author: Tracey Kyckelhahn,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version:  ,,,,,,
,,,,,,
Table 19. Supplemental data for 68 large county governments (final),,,,,,
,,,,,,
,,"Expenditures, fiscal 2010 (thousands of dollars)",,,"Full-time equivalent employment, March 2010",
,,All functions,,,,
,,,,,,
,Population,Total (direct and,Direct expenditure,Total general,,General functions
County,2010/a,intergovernmental),only,expenditure/b,All functions,only/c
,,,,,,
"Alameda, CA",1510271,3021485,3036814,2685293,11534,11534
"Allegheny, PA",1223348,1707903,1616722,1638503,6967,6967
"Baltimore, MD",805029,3343325,3265639,3041915,26185,26185
"Bergen, NJ",905116,1235175,1195825,1235175,4939,4939
"Bexar, TX",1714773,1502574,1464232,1502574,10585,10585
"Broward, FL",1748066,2347170,2347093,2160103,11674,10541
"Clark, NV",1951269,4639139,5827479,5381997,20271,18541
,,,,,,
"Contra Costa, CA",1049025,2430837,2349526,2158834,7925,7925
"Cook, IL",5194675,3335737,3327686,2850428,22752,22752
"Cuyahoga, OH",1280122,2343222,2331558,2354859,14240,14240
"Dade, FL",2496435,9235366,9024236,8512292,49902,44862
"Dallas, TX",2368139,2209254,2209254,2190000,16840,16840
"Dekalb, GA",691893,994598,994598,775200,7354,6767
"Delaware, PA",558979,630375,621782,613710,2874,2874
,,,,,,
"Du Page, IL",916924,482121,470353,482121,2859,2859
"Erie, NY",919040,1973826,1592090,1876094,9998,9752
"Essex, NJ",783969,969130,891438,968918,4637,4637
"Fairfax, VA",1081726,5331352,5208825,4620256,39212,38800
"Franklin, OH",1163414,1262437,1242703,1256969,6433,6433
"Fresno, CA",930450,1592507,1571143,1415715,8358,8358
"Fulton, GA",920581,1296676,1030153,1089960,5984,5909
,,,,,,
"Hamilton, OH",802374,1088726,1008658,1112685,4974,4974
"Harris, TX",4092459,4529094,4529043,4528978,26397,26377
"Hennepin, MN",1152425,2372382,2350725,2360797,7618,7618
"Hillsborough, FL",1229226,1820645,1723957,1704160,10111,9732
"Hudson, NJ",634266,887599,582512,887599,4579,4579
"Jackson, MO",674158,537528,530810,529696,1966,1966
"Jefferson, AL",658466,789383,789383,763671,4011,4011
,,,,,,
"King, WA",1931249,3384649,3344101,2583180,13448,9161
"Lake, IN",496005,275863,275863,275863,2443,2443
"Los Angeles, CA",9818605,21064007,20673676,18847177,103865,103769
"Macomb, MI",840978,676193,665500,635430,2864,2864
"Maricopa, AZ",3817117,1627068,1501571,1625735,13141,13141
"Middlesex, NJ",809858,793513,789319,793513,3715,3715
"Milwaukee, WI",947735,1446884,1446884,1132732,6820,5766
,,,,,,
"Monmouth, NJ",630380,693399,665046,693333,5164,5164
"Monroe, NY",744344,1486170,1163504,1426703,6154,5930
"Montgomery, MD",971777,5922647,5728216,5188534,36329,35297
"Montgomery, OH",535153,614563,610108,585718,4705,4519
"Montgomery, PA",799874,627472,602370,603690,3505,3505
"Multnomah, OR",735334,799652,772205,799652,4562,4562
"Nassau, NY",1339532,3800369,3452584,3800369,15953,15953
,,,,,,
"Norfolk, MA",670850,105828,105828,47293,119,119
"Oakland, MI",1202362,975836,956373,904919,4024,4024
"Oklahoma, OK",718633,139307,139307,139307,2214,2214
"Orange, CA",3010232,3792649,3752587,3414197,16928,16928
"Orange, FL",1145956,1818553,1761920,1808212,10439,9981
"Palm Beach, FL",1320134,2060851,1977380,1921146,10945,10401
"Pima, AZ",980263,1322125,1297861,1315220,7171,7099
,,,,,,
"Pinellas, FL",916542,1352256,1244865,1239794,6064,5688
"Prince Georges, MD",863420,4031527,3900187,3748438,29402,29058
"Riverside, CA",2189641,4128314,4067094,4128314,20131,20131
"Sacramento, CA",1418788,3172140,3113554,2799469,12652,12164
"St. Louis, MO",998954,619033,545381,615112,3958,3958
"Salt Lake, UT",1029655,625341,625341,625341,5422,5422
"San Bernadino, CA",2035210,3843062,3488052,3548673,19916,19915
,,,,,,
"San Diego, CA",3095313,4287046,4066892,3881491,19466,19466
"San Mateo, CA",718451,1506249,1433790,1381409,6935,6935
"Santa Clara, CA",1781642,4185052,4102684,4185052,18174,18174
"Shelby, TN",927644,1881841,1426822,1835681,13354,13354
"Suffolk, NY",1493350,3258224,3003788,3002657,13163,12565
"Summit, OH",541781,543988,541438,543973,3622,3570
,,,,,,
"Tarrant, TX",1809034,1542963,1542963,1542963,10745,10745
"Travis, TX",1024266,651225,651225,651225,5214,5214
"Union, NJ",536499,696753,664765,696753,4083,4083
"Ventura, CA",823318,1949368,1846315,1749761,8905,8849
"Wayne, MI",1820584,1689502,1494172,1568394,4676,4676
"Westchester, NY",949113,3568257,3229301,3409173,10344,10283
,,,,,,
Note: Jurisdictions without data did not report for 2010.,,,,,,
"a/ Population data are from the Bureau of the Census, July 1, 2011 county population estimates. ",,,,,,
"b/ ""Total general expenditure"" excludes utilities, county-operated liquor stores, and insurance trust benefits.",,,,,,
"c/ ""General functions only"" FTE excludes utilities and county-operated liquor stores.",,,,,,
